window,secondary_dominance_issue,count
S1,would_later_face_tau0_and_reverse_competition,61
S1,would_later_face_reverse_competition,32
S1,dominance_metrics_not_main_blocker,22
S1,would_later_face_tau0_competition,8
S2,would_later_face_tau0_and_reverse_competition,69
S2,dominance_metrics_not_main_blocker,27
S2,would_later_face_reverse_competition,23
S2,would_later_face_tau0_competition,13
S3,would_later_face_tau0_and_reverse_competition,92
S3,dominance_metrics_not_main_blocker,40
S3,would_later_face_reverse_competition,27
S3,would_later_face_tau0_competition,21
S4,would_later_face_tau0_and_reverse_competition,92
S4,dominance_metrics_not_main_blocker,48
S4,would_later_face_reverse_competition,29
S4,would_later_face_tau0_competition,17
S5,would_later_face_tau0_and_reverse_competition,91
S5,dominance_metrics_not_main_blocker,56
S5,would_later_face_reverse_competition,32
S5,would_later_face_tau0_competition,28
T1,would_later_face_tau0_and_reverse_competition,94
T1,dominance_metrics_not_main_blocker,35
T1,would_later_face_reverse_competition,29
T1,would_later_face_tau0_competition,15
T2,would_later_face_tau0_and_reverse_competition,90
T2,dominance_metrics_not_main_blocker,50
T2,would_later_face_reverse_competition,32
T2,would_later_face_tau0_competition,16
T3,would_later_face_tau0_and_reverse_competition,111
T3,would_later_face_reverse_competition,43
T3,dominance_metrics_not_main_blocker,36
T3,would_later_face_tau0_competition,21
T4,would_later_face_tau0_and_reverse_competition,97
T4,dominance_metrics_not_main_blocker,58
T4,would_later_face_reverse_competition,46
T4,would_later_face_tau0_competition,13
