window_id,k,year_index,year,cluster_id,cluster_size,cluster_label_provisional,cluster_stability,peak_P,relative_peak_P,peak_V,relative_peak_V,peak_H,relative_peak_H,peak_Je,relative_peak_Je,peak_Jw,relative_peak_Jw,method_role
W113,2,0,1979,1,26,k2_cluster1,not_tested_first_pass,116.0,3.0,112.0,-1.0,113.0,0.0,113.0,0.0,119.0,6.0,provisional_year_type_cluster_not_physical_type
W113,2,1,1980,1,26,k2_cluster1,not_tested_first_pass,108.0,-5.0,111.0,-2.0,118.0,5.0,106.0,-7.0,127.0,14.0,provisional_year_type_cluster_not_physical_type
W113,2,2,1981,2,19,k2_cluster2,not_tested_first_pass,107.0,-6.0,118.0,5.0,121.0,8.0,108.0,-5.0,113.0,0.0,provisional_year_type_cluster_not_physical_type
W113,2,3,1982,2,19,k2_cluster2,not_tested_first_pass,115.0,2.0,113.0,0.0,114.0,1.0,121.0,8.0,114.0,1.0,provisional_year_type_cluster_not_physical_type
W113,2,4,1983,1,26,k2_cluster1,not_tested_first_pass,116.0,3.0,109.0,-4.0,111.0,-2.0,117.0,4.0,107.0,-6.0,provisional_year_type_cluster_not_physical_type
W113,2,5,1984,2,19,k2_cluster2,not_tested_first_pass,121.0,8.0,113.0,0.0,121.0,8.0,111.0,-2.0,122.0,9.0,provisional_year_type_cluster_not_physical_type
W113,2,6,1985,1,26,k2_cluster1,not_tested_first_pass,110.0,-3.0,110.0,-3.0,111.0,-2.0,107.0,-6.0,114.0,1.0,provisional_year_type_cluster_not_physical_type
W113,2,7,1986,2,19,k2_cluster2,not_tested_first_pass,110.0,-3.0,116.0,3.0,118.0,5.0,115.0,2.0,108.0,-5.0,provisional_year_type_cluster_not_physical_type
W113,2,8,1987,1,26,k2_cluster1,not_tested_first_pass,113.0,0.0,107.0,-6.0,109.0,-4.0,100.0,-13.0,110.0,-3.0,provisional_year_type_cluster_not_physical_type
W113,2,9,1988,2,19,k2_cluster2,not_tested_first_pass,113.0,0.0,115.0,2.0,114.0,1.0,118.0,5.0,117.0,4.0,provisional_year_type_cluster_not_physical_type
W113,2,10,1989,2,19,k2_cluster2,not_tested_first_pass,113.0,0.0,117.0,4.0,115.0,2.0,108.0,-5.0,116.0,3.0,provisional_year_type_cluster_not_physical_type
W113,2,11,1990,2,19,k2_cluster2,not_tested_first_pass,114.0,1.0,115.0,2.0,111.0,-2.0,113.0,0.0,111.0,-2.0,provisional_year_type_cluster_not_physical_type
W113,2,12,1991,1,26,k2_cluster1,not_tested_first_pass,120.0,7.0,112.0,-1.0,102.0,-11.0,104.0,-9.0,119.0,6.0,provisional_year_type_cluster_not_physical_type
W113,2,13,1992,1,26,k2_cluster1,not_tested_first_pass,109.0,-4.0,118.0,5.0,100.0,-13.0,110.0,-3.0,110.0,-3.0,provisional_year_type_cluster_not_physical_type
W113,2,14,1993,1,26,k2_cluster1,not_tested_first_pass,108.0,-5.0,108.0,-5.0,110.0,-3.0,110.0,-3.0,113.0,0.0,provisional_year_type_cluster_not_physical_type
W113,2,15,1994,1,26,k2_cluster1,not_tested_first_pass,107.0,-6.0,109.0,-4.0,109.0,-4.0,120.0,7.0,103.0,-10.0,provisional_year_type_cluster_not_physical_type
W113,2,16,1995,2,19,k2_cluster2,not_tested_first_pass,115.0,2.0,116.0,3.0,113.0,0.0,115.0,2.0,106.0,-7.0,provisional_year_type_cluster_not_physical_type
W113,2,17,1996,2,19,k2_cluster2,not_tested_first_pass,109.0,-4.0,115.0,2.0,112.0,-1.0,117.0,4.0,111.0,-2.0,provisional_year_type_cluster_not_physical_type
W113,2,18,1997,1,26,k2_cluster1,not_tested_first_pass,111.0,-2.0,109.0,-4.0,108.0,-5.0,107.0,-6.0,108.0,-5.0,provisional_year_type_cluster_not_physical_type
W113,2,19,1998,2,19,k2_cluster2,not_tested_first_pass,105.0,-8.0,119.0,6.0,119.0,6.0,117.0,4.0,107.0,-6.0,provisional_year_type_cluster_not_physical_type
W113,2,20,1999,1,26,k2_cluster1,not_tested_first_pass,107.0,-6.0,108.0,-5.0,109.0,-4.0,115.0,2.0,114.0,1.0,provisional_year_type_cluster_not_physical_type
W113,2,21,2000,1,26,k2_cluster1,not_tested_first_pass,110.0,-3.0,114.0,1.0,112.0,-1.0,112.0,-1.0,119.0,6.0,provisional_year_type_cluster_not_physical_type
W113,2,22,2001,2,19,k2_cluster2,not_tested_first_pass,110.0,-3.0,109.0,-4.0,120.0,7.0,115.0,2.0,119.0,6.0,provisional_year_type_cluster_not_physical_type
W113,2,23,2002,1,26,k2_cluster1,not_tested_first_pass,118.0,5.0,105.0,-8.0,114.0,1.0,113.0,0.0,108.0,-5.0,provisional_year_type_cluster_not_physical_type
W113,2,24,2003,2,19,k2_cluster2,not_tested_first_pass,109.0,-4.0,108.0,-5.0,121.0,8.0,116.0,3.0,114.0,1.0,provisional_year_type_cluster_not_physical_type
W113,2,25,2004,2,19,k2_cluster2,not_tested_first_pass,110.0,-3.0,122.0,9.0,123.0,10.0,111.0,-2.0,111.0,-2.0,provisional_year_type_cluster_not_physical_type
W113,2,26,2005,2,19,k2_cluster2,not_tested_first_pass,113.0,0.0,115.0,2.0,118.0,5.0,117.0,4.0,112.0,-1.0,provisional_year_type_cluster_not_physical_type
W113,2,27,2006,1,26,k2_cluster1,not_tested_first_pass,116.0,3.0,105.0,-8.0,107.0,-6.0,120.0,7.0,118.0,5.0,provisional_year_type_cluster_not_physical_type
