window_id,anchor_day,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,field,left_out_year_index,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,onset_day,midpoint_day,finish_day,duration,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,progress_quality_label,near_left_boundary,near_right_boundary,near_excluded_candidate_days,left_out_year
W002,45,40,48,30,60,30,37,53,60,P,0,0.8717287130301955,0.12492497949657719,0.08800610939381409,8.187895131375015,clear_separation,40.0,44.0,46.0,7.0,0.9466999638202898,1,1,1,monotonic_clear_progress,False,False,none,1979
W003,81,75,86,66,96,66,73,89,96,P,0,1.5846711171007302,0.13896182566622628,0.14421449348939183,11.192116076759158,clear_separation,77.0,82.0,86.0,10.0,0.9796027469518898,1,1,1,monotonic_clear_progress,False,False,none,1979
W005,113,107,117,98,128,98,105,121,128,P,0,0.8655884229299685,0.16296438088436244,0.12065080663466393,6.103963828564691,clear_separation,109.0,112.0,115.0,7.0,0.949949226628129,1,1,1,monotonic_clear_progress,False,False,none,1979
W007,160,155,164,145,175,145,152,168,175,P,0,0.9514370287878448,0.09329535785036573,0.09932674584343057,9.878793871864545,clear_separation,154.0,158.0,163.0,10.0,0.973536222841335,1,1,1,monotonic_clear_progress,False,False,none,1979
W002,45,40,48,30,60,30,37,53,60,V,0,0.9325134104442707,0.0469454446812355,0.022038861390197326,27.03552339720931,clear_separation,42.0,45.0,49.0,8.0,0.972370518046098,1,1,1,monotonic_clear_progress,False,False,none,1979
W003,81,75,86,66,96,66,73,89,96,V,0,1.0644369459613596,0.11319659006026563,0.1168813985265145,9.252835983922257,clear_separation,75.0,80.0,85.0,11.0,0.9694533897089309,1,1,1,monotonic_clear_progress,False,False,none,1979
W005,113,107,117,98,128,98,105,121,128,V,0,0.9403895575511567,0.06363278777777048,0.129906007531094,9.717840353823542,clear_separation,112.0,115.0,118.0,7.0,0.9656914294669211,1,1,1,monotonic_clear_progress,False,False,none,1979
W007,160,155,164,145,175,145,152,168,175,V,0,1.4775524055624278,0.11013917461989331,0.1649326674278426,10.743029126880028,clear_separation,156.0,161.0,165.0,10.0,0.9856486517615547,1,1,1,monotonic_clear_progress,False,False,none,1979
W002,45,40,48,30,60,30,37,53,60,H,0,0.5455093644476706,0.09657913664183457,0.060408556526188956,6.949708648267907,clear_separation,37.0,39.0,52.0,16.0,0.9328959607991308,1,1,1,monotonic_clear_progress,False,False,none,1979
W003,81,75,86,66,96,66,73,89,96,H,0,0.8828639049366144,0.08179717358760284,0.14709752603135856,7.714148963681504,clear_separation,76.0,79.0,85.0,10.0,0.9826804106757822,1,1,1,monotonic_clear_progress,False,False,none,1979
W005,113,107,117,98,128,98,105,121,128,H,0,1.053401551426291,0.03524516498253096,0.06894521440934746,20.220706701605167,clear_separation,111.0,115.0,117.0,7.0,0.9500437759133642,1,1,1,monotonic_clear_progress,False,False,none,1979
W007,160,155,164,145,175,145,152,168,175,H,0,0.5737804447830701,0.029850026948338316,0.09754930574175757,9.007589485100475,clear_separation,154.0,155.0,159.0,6.0,0.8975702898479775,1,1,3,nonmonotonic_progress,False,False,none,1979
