window_id,n_total_pairs,n_separated_progress_order,n_shifted_progress_order,n_moderate_progress_order,n_sync_progress,n_ambiguous_progress_order,n_fields_no_clear_prepost_separation,n_fields_nonmonotonic,order_pair_fraction,sync_pair_fraction,ambiguous_pair_fraction,early_group,middle_group,late_group,uncertain_group,window_progress_order_class,window_level_result,usable_for_scientific_interpretation,caution
W002,10,0,5,1,3,1,0,0,0.6,0.3,0.1,H,P;V;Jw,Je,P;V;Jw,progress_order_supported,"Progress timing structure: early=H, late=Je, middle_or_uncertain=P;V;Jw.",True,progress_order_only_not_causality; whole_field_progress_only; no_spatial_earliest_regions
W003,10,0,3,1,5,1,0,0,0.4,0.5,0.1,H,P;V;Je;Jw,none,P;V;Je;Jw,progress_order_supported,"Progress timing structure: early=H, late=none, middle_or_uncertain=P;V;Je;Jw.",True,progress_order_only_not_causality; whole_field_progress_only; no_spatial_earliest_regions
W005,10,0,5,0,3,2,0,0,0.5,0.3,0.2,Je;Jw,P,V;H,P,progress_order_supported,"Progress timing structure: early=Je;Jw, late=V;H, middle_or_uncertain=P.",True,progress_order_only_not_causality; whole_field_progress_only; no_spatial_earliest_regions
W007,10,0,4,2,2,2,0,1,0.6,0.2,0.2,P;H,Jw,V;Je,Jw,progress_order_supported,"Progress timing structure: early=P;H, late=V;Je, middle_or_uncertain=Jw.",True,progress_order_only_not_causality; whole_field_progress_only; no_spatial_earliest_regions
