window_id,field,n_valid_midpoints,valid_midpoint_fraction,onset_median,midpoint_median,midpoint_q025,midpoint_q975,midpoint_iqr,midpoint_modal_rounded_day,support_midpoint_within_2d_of_modal,support_midpoint_within_3d_of_modal,finish_median,duration_median,duration_iqr,support_near_boundary,dominant_progress_quality_label,dominant_prepost_separation_label,progress_timing_confidence_label
W002,P,1000,1.0,40.0,44.0,40.975,46.0,3.0,45.0,0.649,0.833,46.0,7.0,2.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W003,P,1000,1.0,77.0,81.0,78.0,85.0,3.0,81.0,0.793,0.914,86.0,9.0,3.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W005,P,1000,1.0,109.0,112.0,109.0,117.0,3.0,111.0,0.614,0.773,116.0,7.0,3.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W007,P,1000,1.0,155.0,158.0,156.0,163.0,2.0,158.0,0.876,0.939,163.0,9.0,4.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W002,V,1000,1.0,41.0,45.0,42.0,48.0,2.0,45.0,0.89,0.967,48.0,7.0,3.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W003,V,1000,1.0,75.0,80.0,77.0,84.0,3.0,79.0,0.732,0.884,84.0,10.0,2.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W005,V,1000,1.0,112.0,115.0,112.0,117.0,1.0,115.0,0.922,0.978,118.0,7.0,3.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W007,V,1000,1.0,156.0,161.0,157.0,164.0,2.0,161.0,0.921,0.963,165.0,9.0,3.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W002,H,1000,1.0,37.0,39.0,37.0,51.0,3.0,39.0,0.793,0.835,51.0,14.0,11.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W003,H,1000,1.0,76.0,79.0,77.0,82.0,2.0,79.0,0.927,0.985,85.0,10.0,2.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W005,H,1000,1.0,111.0,114.0,111.0,117.0,2.0,115.0,0.837,0.929,117.0,6.5,2.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W007,H,1000,1.0,154.0,155.0,153.0,169.0,3.0,155.0,0.76,0.813,158.0,5.0,8.0,0.007,nonmonotonic_progress,clear_separation,nonmonotonic_progress
W002,Je,1000,1.0,44.0,46.0,44.0,50.0,2.0,46.0,0.885,0.955,51.0,7.0,3.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W003,Je,1000,1.0,77.0,82.0,79.0,85.0,2.0,82.0,0.926,0.983,87.0,11.0,2.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W005,Je,1000,1.0,108.0,111.0,108.0,114.0,2.0,112.0,0.863,0.968,115.0,8.0,1.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W007,Je,1000,1.0,158.0,161.0,159.0,164.0,1.0,161.0,0.959,0.996,165.0,8.0,2.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W002,Jw,1000,1.0,39.0,43.0,40.0,49.0,3.0,43.0,0.701,0.87,48.0,9.0,3.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W003,Jw,1000,1.0,77.0,82.0,77.0,85.0,3.0,83.0,0.724,0.873,86.0,9.0,3.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W005,Jw,1000,1.0,106.0,110.0,107.0,112.02499999999998,3.0,110.0,0.898,0.975,113.0,7.0,3.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_moderate
W007,Jw,1000,1.0,154.0,160.0,155.0,164.0,4.0,159.0,0.543,0.708,165.0,12.0,4.0,0.0,monotonic_clear_progress,clear_separation,progress_timing_uncertain
