window_id,anchor_day,region_id,region_label,lat_min,lat_max,lat_center,n_raw_lat_points,uses_2deg_interp,construction_method,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,observed_onset_day,observed_midpoint_day,observed_finish_day,observed_duration,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,progress_quality_label
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,36.0,38.0,41.0,6.0,2.2626640269356826,0.5378592500832917,0.34116067868592787,2.574075914415052,clear_separation,0.9005399406400287,1,1,3,nonmonotonic_progress
W002,45,1,R2_mid,21.75,28.25,25.0,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,37.0,39.0,43.0,7.0,13.418788874001375,2.3571939447139085,1.2124124072101001,3.759178898471167,clear_separation,0.9229332431194919,1,1,3,nonmonotonic_progress
W002,45,2,R3_high,28.5,35.0,31.75,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,37.0,40.0,52.0,16.0,25.295615599822906,4.613973274010897,2.2137033883154715,3.7048643119552804,clear_separation,0.9671705730037219,1,3,1,nonmonotonic_progress
