bootstrap_id,region_id,region_label,lat_min,lat_max,lat_center,n_raw_lat_points,onset_day,midpoint_day,finish_day,duration,pre_post_separation_label,progress_quality_label
0,0,R1_low,15.0,21.5,18.25,27,37.0,38.0,40.0,4.0,moderate_separation,monotonic_clear_progress
0,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,39.0,4.0,clear_separation,nonmonotonic_progress
0,2,R3_high,28.5,35.0,31.75,27,36.0,39.0,52.0,17.0,clear_separation,nonmonotonic_progress
1,0,R1_low,15.0,21.5,18.25,27,36.0,45.0,48.0,13.0,clear_separation,nonmonotonic_progress
1,1,R2_mid,21.75,28.25,25.0,27,37.0,40.0,41.0,5.0,clear_separation,monotonic_clear_progress
1,2,R3_high,28.5,35.0,31.75,27,36.0,39.0,42.0,7.0,clear_separation,nonmonotonic_progress
2,0,R1_low,15.0,21.5,18.25,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
2,1,R2_mid,21.75,28.25,25.0,27,38.0,42.0,54.0,17.0,clear_separation,nonmonotonic_progress
2,2,R3_high,28.5,35.0,31.75,27,41.0,49.0,53.0,13.0,clear_separation,monotonic_clear_progress
3,0,R1_low,15.0,21.5,18.25,27,39.0,43.0,52.0,14.0,clear_separation,monotonic_clear_progress
3,1,R2_mid,21.75,28.25,25.0,27,38.0,41.0,49.0,12.0,clear_separation,monotonic_clear_progress
3,2,R3_high,28.5,35.0,31.75,27,38.0,48.0,51.0,14.0,clear_separation,monotonic_clear_progress
4,0,R1_low,15.0,21.5,18.25,27,37.0,39.0,41.0,5.0,clear_separation,monotonic_clear_progress
4,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,43.0,7.0,clear_separation,monotonic_clear_progress
4,2,R3_high,28.5,35.0,31.75,27,37.0,43.0,50.0,14.0,clear_separation,monotonic_clear_progress
5,0,R1_low,15.0,21.5,18.25,27,37.0,39.0,53.0,17.0,clear_separation,monotonic_clear_progress
5,1,R2_mid,21.75,28.25,25.0,27,36.0,39.0,51.0,16.0,clear_separation,monotonic_clear_progress
5,2,R3_high,28.5,35.0,31.75,27,38.0,49.0,53.0,16.0,clear_separation,monotonic_clear_progress
6,0,R1_low,15.0,21.5,18.25,27,37.0,39.0,54.0,18.0,clear_separation,nonmonotonic_progress
6,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,54.0,18.0,clear_separation,nonmonotonic_progress
6,2,R3_high,28.5,35.0,31.75,27,37.0,51.0,53.0,17.0,clear_separation,monotonic_clear_progress
7,0,R1_low,15.0,21.5,18.25,27,42.0,45.0,47.0,6.0,clear_separation,nonmonotonic_progress
7,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,monotonic_clear_progress
7,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,43.0,8.0,clear_separation,monotonic_clear_progress
8,0,R1_low,15.0,21.5,18.25,27,35.0,37.0,41.0,7.0,clear_separation,nonmonotonic_progress
8,1,R2_mid,21.75,28.25,25.0,27,38.0,40.0,51.0,14.0,clear_separation,monotonic_clear_progress
8,2,R3_high,28.5,35.0,31.75,27,38.0,44.0,51.0,14.0,clear_separation,nonmonotonic_progress
9,0,R1_low,15.0,21.5,18.25,27,47.0,52.0,53.0,7.0,moderate_separation,nonmonotonic_progress
9,1,R2_mid,21.75,28.25,25.0,27,37.0,38.0,42.0,6.0,clear_separation,monotonic_clear_progress
9,2,R3_high,28.5,35.0,31.75,27,38.0,42.0,51.0,14.0,clear_separation,monotonic_clear_progress
10,0,R1_low,15.0,21.5,18.25,27,46.0,48.0,53.0,8.0,clear_separation,nonmonotonic_progress
10,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,39.0,4.0,clear_separation,nonmonotonic_progress
10,2,R3_high,28.5,35.0,31.75,27,37.0,43.0,54.0,18.0,clear_separation,nonmonotonic_progress
11,0,R1_low,15.0,21.5,18.25,27,36.0,40.0,54.0,19.0,clear_separation,monotonic_clear_progress
11,1,R2_mid,21.75,28.25,25.0,27,39.0,43.0,53.0,15.0,clear_separation,monotonic_clear_progress
11,2,R3_high,28.5,35.0,31.75,27,39.0,50.0,54.0,16.0,clear_separation,monotonic_clear_progress
12,0,R1_low,15.0,21.5,18.25,27,36.0,40.0,53.0,18.0,clear_separation,nonmonotonic_progress
12,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
12,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,52.0,17.0,clear_separation,nonmonotonic_progress
13,0,R1_low,15.0,21.5,18.25,27,38.0,52.0,54.0,17.0,moderate_separation,nonmonotonic_progress
13,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,54.0,18.0,clear_separation,nonmonotonic_progress
13,2,R3_high,28.5,35.0,31.75,27,36.0,51.0,53.0,18.0,clear_separation,nonmonotonic_progress
14,0,R1_low,15.0,21.5,18.25,27,36.0,38.0,52.0,17.0,clear_separation,nonmonotonic_progress
14,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,42.0,7.0,clear_separation,nonmonotonic_progress
14,2,R3_high,28.5,35.0,31.75,27,36.0,39.0,51.0,16.0,clear_separation,monotonic_clear_progress
15,0,R1_low,15.0,21.5,18.25,27,36.0,38.0,41.0,6.0,clear_separation,nonmonotonic_progress
15,1,R2_mid,21.75,28.25,25.0,27,36.0,39.0,44.0,9.0,clear_separation,nonmonotonic_progress
15,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,50.0,15.0,clear_separation,monotonic_clear_progress
16,0,R1_low,15.0,21.5,18.25,27,37.0,40.0,42.0,6.0,clear_separation,monotonic_clear_progress
16,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,41.0,6.0,clear_separation,monotonic_clear_progress
16,2,R3_high,28.5,35.0,31.75,27,37.0,42.0,54.0,18.0,clear_separation,monotonic_clear_progress
17,0,R1_low,15.0,21.5,18.25,27,36.0,38.0,39.0,4.0,clear_separation,nonmonotonic_progress
17,1,R2_mid,21.75,28.25,25.0,27,37.0,38.0,40.0,4.0,clear_separation,nonmonotonic_progress
17,2,R3_high,28.5,35.0,31.75,27,38.0,41.0,51.0,14.0,clear_separation,monotonic_clear_progress
18,0,R1_low,15.0,21.5,18.25,27,38.0,40.0,42.0,5.0,clear_separation,nonmonotonic_progress
18,1,R2_mid,21.75,28.25,25.0,27,37.0,40.0,50.0,14.0,clear_separation,nonmonotonic_progress
18,2,R3_high,28.5,35.0,31.75,27,37.0,39.0,52.0,16.0,clear_separation,nonmonotonic_progress
19,0,R1_low,15.0,21.5,18.25,27,35.0,37.0,38.0,4.0,clear_separation,nonmonotonic_progress
19,1,R2_mid,21.75,28.25,25.0,27,36.0,40.0,47.0,12.0,clear_separation,monotonic_clear_progress
19,2,R3_high,28.5,35.0,31.75,27,37.0,47.0,51.0,15.0,clear_separation,monotonic_clear_progress
20,0,R1_low,15.0,21.5,18.25,27,42.0,52.0,55.0,14.0,clear_separation,monotonic_clear_progress
20,1,R2_mid,21.75,28.25,25.0,27,38.0,42.0,51.0,14.0,clear_separation,monotonic_clear_progress
20,2,R3_high,28.5,35.0,31.75,27,37.0,39.0,51.0,15.0,clear_separation,nonmonotonic_progress
21,0,R1_low,15.0,21.5,18.25,27,37.0,39.0,41.0,5.0,clear_separation,nonmonotonic_progress
21,1,R2_mid,21.75,28.25,25.0,27,38.0,40.0,53.0,16.0,clear_separation,nonmonotonic_progress
21,2,R3_high,28.5,35.0,31.75,27,37.0,40.0,53.0,17.0,clear_separation,nonmonotonic_progress
22,0,R1_low,15.0,21.5,18.25,27,40.0,45.0,47.0,8.0,clear_separation,monotonic_clear_progress
22,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,38.0,3.0,clear_separation,monotonic_clear_progress
22,2,R3_high,28.5,35.0,31.75,27,36.0,37.0,39.0,4.0,clear_separation,nonmonotonic_progress
23,0,R1_low,15.0,21.5,18.25,27,43.0,45.0,47.0,5.0,clear_separation,monotonic_clear_progress
23,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,42.0,6.0,clear_separation,nonmonotonic_progress
23,2,R3_high,28.5,35.0,31.75,27,38.0,42.0,54.0,17.0,clear_separation,nonmonotonic_progress
24,0,R1_low,15.0,21.5,18.25,27,38.0,39.0,41.0,4.0,clear_separation,monotonic_clear_progress
24,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
24,2,R3_high,28.5,35.0,31.75,27,36.0,41.0,53.0,18.0,clear_separation,nonmonotonic_progress
25,0,R1_low,15.0,21.5,18.25,27,30.0,44.0,50.0,21.0,clear_separation,boundary_limited_progress
25,1,R2_mid,21.75,28.25,25.0,27,38.0,40.0,52.0,15.0,clear_separation,monotonic_clear_progress
25,2,R3_high,28.5,35.0,31.75,27,37.0,40.0,52.0,16.0,clear_separation,nonmonotonic_progress
26,0,R1_low,15.0,21.5,18.25,27,38.0,40.0,41.0,4.0,clear_separation,monotonic_clear_progress
26,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,38.0,3.0,clear_separation,monotonic_clear_progress
26,2,R3_high,28.5,35.0,31.75,27,36.0,37.0,42.0,7.0,clear_separation,nonmonotonic_progress
27,0,R1_low,15.0,21.5,18.25,27,36.0,39.0,41.0,6.0,clear_separation,nonmonotonic_progress
27,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,39.0,4.0,clear_separation,nonmonotonic_progress
27,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,53.0,18.0,clear_separation,nonmonotonic_progress
28,0,R1_low,15.0,21.5,18.25,27,41.0,45.0,48.0,8.0,clear_separation,nonmonotonic_progress
28,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,40.0,5.0,clear_separation,nonmonotonic_progress
28,2,R3_high,28.5,35.0,31.75,27,38.0,50.0,54.0,17.0,clear_separation,nonmonotonic_progress
29,0,R1_low,15.0,21.5,18.25,27,39.0,50.0,53.0,15.0,clear_separation,monotonic_clear_progress
29,1,R2_mid,21.75,28.25,25.0,27,37.0,40.0,54.0,18.0,clear_separation,nonmonotonic_progress
29,2,R3_high,28.5,35.0,31.75,27,37.0,51.0,54.0,18.0,clear_separation,monotonic_clear_progress
30,0,R1_low,15.0,21.5,18.25,27,36.0,39.0,53.0,18.0,clear_separation,monotonic_clear_progress
30,1,R2_mid,21.75,28.25,25.0,27,38.0,41.0,53.0,16.0,clear_separation,nonmonotonic_progress
30,2,R3_high,28.5,35.0,31.75,27,37.0,49.0,51.0,15.0,clear_separation,monotonic_clear_progress
31,0,R1_low,15.0,21.5,18.25,27,37.0,39.0,42.0,6.0,clear_separation,monotonic_clear_progress
31,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,39.0,4.0,clear_separation,nonmonotonic_progress
31,2,R3_high,28.5,35.0,31.75,27,36.0,38.0,53.0,18.0,clear_separation,nonmonotonic_progress
32,0,R1_low,15.0,21.5,18.25,27,37.0,41.0,48.0,12.0,clear_separation,monotonic_clear_progress
32,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,54.0,19.0,clear_separation,nonmonotonic_progress
32,2,R3_high,28.5,35.0,31.75,27,37.0,50.0,53.0,17.0,clear_separation,monotonic_clear_progress
33,0,R1_low,15.0,21.5,18.25,27,37.0,38.0,40.0,4.0,moderate_separation,monotonic_clear_progress
33,1,R2_mid,21.75,28.25,25.0,27,37.0,39.0,42.0,6.0,clear_separation,monotonic_clear_progress
33,2,R3_high,28.5,35.0,31.75,27,36.0,39.0,53.0,18.0,clear_separation,nonmonotonic_progress
34,0,R1_low,15.0,21.5,18.25,27,36.0,40.0,42.0,7.0,clear_separation,nonmonotonic_progress
34,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,38.0,3.0,clear_separation,nonmonotonic_progress
34,2,R3_high,28.5,35.0,31.75,27,35.0,37.0,53.0,19.0,clear_separation,nonmonotonic_progress
35,0,R1_low,15.0,21.5,18.25,27,39.0,48.0,53.0,15.0,clear_separation,monotonic_clear_progress
35,1,R2_mid,21.75,28.25,25.0,27,39.0,49.0,51.0,13.0,clear_separation,monotonic_clear_progress
35,2,R3_high,28.5,35.0,31.75,27,42.0,46.0,51.0,10.0,clear_separation,monotonic_clear_progress
36,0,R1_low,15.0,21.5,18.25,27,51.0,52.0,54.0,4.0,moderate_separation,monotonic_clear_progress
36,1,R2_mid,21.75,28.25,25.0,27,40.0,50.0,53.0,14.0,clear_separation,monotonic_clear_progress
36,2,R3_high,28.5,35.0,31.75,27,42.0,50.0,53.0,12.0,clear_separation,nonmonotonic_progress
37,0,R1_low,15.0,21.5,18.25,27,41.0,46.0,52.0,12.0,clear_separation,monotonic_clear_progress
37,1,R2_mid,21.75,28.25,25.0,27,35.0,36.0,37.0,3.0,clear_separation,monotonic_clear_progress
37,2,R3_high,28.5,35.0,31.75,27,35.0,38.0,53.0,19.0,clear_separation,monotonic_clear_progress
38,0,R1_low,15.0,21.5,18.25,27,37.0,38.0,40.0,4.0,clear_separation,monotonic_clear_progress
38,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,39.0,4.0,clear_separation,monotonic_clear_progress
38,2,R3_high,28.5,35.0,31.75,27,37.0,38.0,41.0,5.0,clear_separation,nonmonotonic_progress
39,0,R1_low,15.0,21.5,18.25,27,36.0,38.0,39.0,4.0,clear_separation,nonmonotonic_progress
39,1,R2_mid,21.75,28.25,25.0,27,37.0,40.0,53.0,17.0,clear_separation,nonmonotonic_progress
39,2,R3_high,28.5,35.0,31.75,27,38.0,50.0,53.0,16.0,clear_separation,nonmonotonic_progress
40,0,R1_low,15.0,21.5,18.25,27,40.0,49.0,53.0,14.0,clear_separation,monotonic_clear_progress
40,1,R2_mid,21.75,28.25,25.0,27,36.0,38.0,42.0,7.0,clear_separation,monotonic_clear_progress
40,2,R3_high,28.5,35.0,31.75,27,37.0,41.0,53.0,17.0,clear_separation,monotonic_clear_progress
41,0,R1_low,15.0,21.5,18.25,27,36.0,37.0,39.0,4.0,moderate_separation,nonmonotonic_progress
41,1,R2_mid,21.75,28.25,25.0,27,36.0,37.0,39.0,4.0,clear_separation,nonmonotonic_progress
41,2,R3_high,28.5,35.0,31.75,27,35.0,37.0,39.0,5.0,clear_separation,nonmonotonic_progress
42,0,R1_low,15.0,21.5,18.25,27,37.0,40.0,53.0,17.0,clear_separation,nonmonotonic_progress
