window_id,anchor_day,region_id,region_label,lat_min,lat_max,lat_center,n_raw_lat_points,uses_2deg_interp,construction_method,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,day,raw_progress,progress
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,30,-0.34323894184884357,0.0
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,31,-0.2717954046858072,0.0
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,32,-0.18581622518616478,0.0
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,33,-0.07223786344671572,0.0
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,34,0.044454450707847946,0.044454450707847946
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,35,0.16631029267859274,0.16631029267859274
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,36,0.27379705106294644,0.27379705106294644
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,37,0.38852664071805854,0.38852664071805854
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,38,0.5150674435311776,0.5150674435311776
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,39,0.6351479469657243,0.6351479469657243
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,40,0.7323753267184843,0.7323753267184843
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,41,0.7842138402696577,0.7842138402696577
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,42,0.7972465969979031,0.7972465969979031
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,43,0.7951429137938266,0.7951429137938266
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,44,0.7731941589786125,0.7731941589786125
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,45,0.771510146155045,0.771510146155045
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,46,0.7558521938461517,0.7558521938461517
W002,45,0,R1_low,15.0,21.5,18.25,27,False,raw025_equal_count_lat_partition_after_lon_mean,30,60,30,37,53,60,47,0.7410711417109017,0.7410711417109017
