region_id,region_label,lat_min,lat_max,lat_center,n_raw_lat_points,n_samples,n_valid_onset,valid_onset_fraction,onset_median,onset_q05,onset_q95,onset_q025,onset_q975,onset_q90_width,onset_q95_width,onset_iqr,n_valid_midpoint,valid_midpoint_fraction,midpoint_median,midpoint_q05,midpoint_q95,midpoint_q025,midpoint_q975,midpoint_q90_width,midpoint_q95_width,midpoint_iqr,n_valid_finish,valid_finish_fraction,finish_median,finish_q05,finish_q95,finish_q025,finish_q975,finish_q90_width,finish_q95_width,finish_iqr,n_valid_duration,valid_duration_fraction,duration_median,duration_q05,duration_q95,duration_q025,duration_q975,duration_q90_width,duration_q95_width,duration_iqr,dominant_progress_quality_label,dominant_prepost_separation_label
0,R1_low,15.0,21.5,18.25,27,1000,1000,1.0,37.0,35.0,46.0,35.0,50.0,11.0,15.0,2.0,1000,1.0,39.0,37.0,52.0,37.0,53.0,15.0,16.0,7.0,1000,1.0,46.0,39.0,55.0,38.0,55.0,16.0,17.0,13.0,1000,1.0,7.0,3.0,18.0,3.0,19.0,15.0,16.0,11.0,nonmonotonic_progress,clear_separation
1,R2_mid,21.75,28.25,25.0,27,1000,1000,1.0,37.0,36.0,39.0,35.0,39.0,3.0,4.0,1.0,1000,1.0,39.0,37.0,49.0,37.0,50.02499999999998,12.0,13.024999999999977,2.0,1000,1.0,43.0,38.0,54.0,38.0,54.0,16.0,16.0,12.0,1000,1.0,7.0,3.0,18.0,3.0,19.0,15.0,16.0,11.0,nonmonotonic_progress,clear_separation
2,R3_high,28.5,35.0,31.75,27,1000,1000,1.0,37.0,36.0,39.0,35.0,39.0,3.0,4.0,1.0,1000,1.0,41.0,37.0,51.0,37.0,51.0,14.0,14.0,11.0,1000,1.0,52.0,40.0,54.0,38.0,54.0,14.0,16.0,2.0,1000,1.0,16.0,5.0,19.0,4.0,19.0,14.0,15.0,3.0,monotonic_clear_progress,clear_separation
