region_id,region_label,lat_min,lat_max,lat_center,n_raw_lat_points,raw_lat_indices_sorted,raw_lat_indices_original,raw_lat_values,construction_method,uses_2deg_interp,uses_2deg_latbin,lon_min,lon_max
0,R1_low,15.0,21.5,18.25,27,0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26,180;179;178;177;176;175;174;173;172;171;170;169;168;167;166;165;164;163;162;161;160;159;158;157;156;155;154,15;15.25;15.5;15.75;16;16.25;16.5;16.75;17;17.25;17.5;17.75;18;18.25;18.5;18.75;19;19.25;19.5;19.75;20;20.25;20.5;20.75;21;21.25;21.5,raw025_equal_count_lat_partition_after_lon_mean,False,False,110.0,140.0
1,R2_mid,21.75,28.25,25.0,27,27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53,153;152;151;150;149;148;147;146;145;144;143;142;141;140;139;138;137;136;135;134;133;132;131;130;129;128;127,21.75;22;22.25;22.5;22.75;23;23.25;23.5;23.75;24;24.25;24.5;24.75;25;25.25;25.5;25.75;26;26.25;26.5;26.75;27;27.25;27.5;27.75;28;28.25,raw025_equal_count_lat_partition_after_lon_mean,False,False,110.0,140.0
2,R3_high,28.5,35.0,31.75,27,54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80,126;125;124;123;122;121;120;119;118;117;116;115;114;113;112;111;110;109;108;107;106;105;104;103;102;101;100,28.5;28.75;29;29.25;29.5;29.75;30;30.25;30.5;30.75;31;31.25;31.5;31.75;32;32.25;32.5;32.75;33;33.25;33.5;33.75;34;34.25;34.5;34.75;35,raw025_equal_count_lat_partition_after_lon_mean,False,False,110.0,140.0
