window_id,object_A,object_B,A_peak_day,B_peak_day,delta_observed,delta_median,delta_q025,delta_q975,P_A_earlier,P_B_earlier,P_same_day,peak_order_decision
W160,P,V,158.0,161.0,3.0,3.0,-11.0,9.0,0.7397397397397397,0.2062062062062062,0.05405405405405406,A_peak_earlier_tendency
W160,P,H,158.0,155.0,-3.0,-2.0,-11.0,8.0,0.296,0.635,0.069,B_peak_earlier_tendency
W160,P,Je,158.0,162.0,4.0,4.0,-5.0,10.0,0.838,0.132,0.03,A_peak_earlier_tendency
W160,P,Jw,158.0,152.0,-6.0,-3.0,-19.0,10.0,0.3376753507014028,0.6112224448897795,0.05110220440881764,B_peak_earlier_tendency
W160,V,H,161.0,155.0,-6.0,-5.0,-13.0,12.0,0.2602602602602603,0.7067067067067067,0.03303303303303303,B_peak_earlier_tendency
W160,V,Je,161.0,162.0,1.0,1.0,-6.0,15.0,0.5465465465465466,0.30430430430430433,0.14914914914914915,A_peak_earlier_tendency
W160,V,Jw,161.0,152.0,-9.0,-5.0,-18.0,11.0,0.28084252758274825,0.6940822467402207,0.025075225677031094,B_peak_earlier_tendency
W160,H,Je,155.0,162.0,7.0,6.0,-6.0,13.024999999999977,0.811,0.169,0.02,A_peak_earlier_tendency
W160,H,Jw,155.0,152.0,-3.0,-1.0,-18.075,12.0,0.4248496993987976,0.530060120240481,0.045090180360721446,B_peak_earlier_tendency
W160,Je,Jw,162.0,152.0,-10.0,-7.0,-20.075,7.0,0.20841683366733466,0.7595190380761523,0.03206412825651302,B_peak_earlier_tendency
