mean_Y_high,median_Y_high,n_years_high,prob_A_earlier_high,prob_B_earlier_high,mean_Y_low,median_Y_low,n_years_low,prob_A_earlier_low,prob_B_earlier_low,high_low_Y_shift,order_probability_shift_A_earlier,cohens_d_high_low,phase_separation_flag,window_id,target_pair,target_set
1.4666666666666666,-1.0,15,0.3333333333333333,0.6,-7.266666666666667,-6.0,15,0.0,1.0,8.733333333333333,0.3333333333333333,1.4109988498573398,clear,W081,P-V,priority
2.8666666666666667,3.0,15,0.6666666666666666,0.3333333333333333,-4.866666666666666,-4.0,15,0.06666666666666667,0.8666666666666667,7.7333333333333325,0.6,1.5450488909818672,clear,W081,P-H,exploratory_full_pair
3.533333333333333,2.0,15,0.6,0.3333333333333333,-6.4,-7.0,15,0.13333333333333333,0.8666666666666667,9.933333333333334,0.4666666666666667,1.8661483874337454,clear,W081,P-Je,exploratory_full_pair
4.2,4.0,15,0.7333333333333333,0.26666666666666666,-3.933333333333333,-5.0,15,0.13333333333333333,0.8,8.133333333333333,0.6,1.6967957203956587,clear,W081,P-Jw,exploratory_full_pair
5.533333333333333,4.0,15,0.7333333333333333,0.2,-3.3333333333333335,-2.0,15,0.2,0.7333333333333333,8.866666666666667,0.5333333333333332,1.4828864517331717,clear,W081,V-H,exploratory_full_pair
7.2,7.0,15,0.8,0.13333333333333333,-4.066666666666666,-6.0,15,0.26666666666666666,0.6666666666666666,11.266666666666666,0.5333333333333334,1.6539187519040277,clear,W081,V-Je,exploratory_full_pair
8.466666666666667,9.0,15,0.9333333333333333,0.06666666666666667,-1.9333333333333333,-1.0,15,0.3333333333333333,0.5333333333333333,10.4,0.6000000000000001,2.241680785340061,clear,W081,V-Jw,priority
3.2666666666666666,2.0,15,0.6666666666666666,0.26666666666666666,-5.333333333333333,-6.0,15,0.2,0.8,8.6,0.4666666666666666,1.2620055135873443,clear,W081,H-Je,exploratory_full_pair
6.333333333333333,6.0,15,0.8666666666666667,0.06666666666666667,-3.1333333333333333,-4.0,15,0.2,0.8,9.466666666666667,0.6666666666666667,2.2697702353436435,clear,W081,H-Jw,priority
8.133333333333333,8.0,15,0.8,0.13333333333333333,-3.0,-3.0,15,0.26666666666666666,0.7333333333333333,11.133333333333333,0.5333333333333334,1.8079919880005786,clear,W081,Je-Jw,exploratory_full_pair
