unit_type,unit_label,lat_min,lat_max,lat_center,n_raw_lat_points,onset_median,onset_q05,onset_q95,onset_q90_width,onset_q25,onset_q75,onset_iqr,onset_valid_fraction,midpoint_median,midpoint_q05,midpoint_q95,midpoint_q90_width,midpoint_q25,midpoint_q75,midpoint_iqr,midpoint_valid_fraction,finish_median,finish_q05,finish_q95,finish_q90_width,finish_q25,finish_q75,finish_iqr,finish_valid_fraction,duration_median,duration_q05,duration_q95,duration_q90_width,duration_q25,duration_q75,duration_iqr,duration_valid_fraction,most_stable_marker,least_stable_marker,most_stable_order_marker,least_stable_order_marker,timing_marker_label,marker_stability_interpretation
whole_field,whole_field_H,,,,,37.0,36.0,39.0,3.0,36.0,37.0,1.0,1.0,39.0,37.0,50.0,13.0,38.0,41.0,3.0,1.0,51.0,39.0,54.0,15.0,41.0,53.0,12.0,1.0,14.0,4.0,18.0,14.0,6.0,17.0,11.0,1.0,onset,finish,onset,finish,onset_most_stable_candidate,Onset has the smallest q90 width among onset/midpoint/finish. Progress quality is not flagged as nonmonotonic in the observed row.
raw025_threeband,R1_low,15.0,21.5,18.25,27.0,37.0,35.0,46.0,11.0,36.0,38.0,2.0,1.0,39.0,37.0,52.0,15.0,38.0,45.0,7.0,1.0,46.0,39.0,55.0,16.0,40.0,53.0,13.0,1.0,7.0,3.0,18.0,15.0,4.0,15.0,11.0,1.0,onset,finish,onset,finish,onset_most_stable_candidate,"Onset has the smallest q90 width among onset/midpoint/finish. Progress quality is nonmonotonic or uncertain; marker stability is diagnostic, not a confirmed timing result."
raw025_threeband,R2_mid,21.75,28.25,25.0,27.0,37.0,36.0,39.0,3.0,36.0,37.0,1.0,1.0,39.0,37.0,49.0,12.0,38.0,40.0,2.0,1.0,43.0,38.0,54.0,16.0,40.0,52.0,12.0,1.0,7.0,3.0,18.0,15.0,5.0,16.0,11.0,1.0,onset,finish,onset,finish,onset_most_stable_candidate,"Onset has the smallest q90 width among onset/midpoint/finish. Progress quality is nonmonotonic or uncertain; marker stability is diagnostic, not a confirmed timing result."
raw025_threeband,R3_high,28.5,35.0,31.75,27.0,37.0,36.0,39.0,3.0,36.0,37.0,1.0,1.0,41.0,37.0,51.0,14.0,38.0,49.0,11.0,1.0,52.0,40.0,54.0,14.0,51.0,53.0,2.0,1.0,16.0,5.0,19.0,14.0,14.0,17.0,3.0,1.0,onset,midpoint;finish;duration,onset,midpoint;finish,onset_most_stable_candidate,"Onset has the smallest q90 width among onset/midpoint/finish. Progress quality is nonmonotonic or uncertain; marker stability is diagnostic, not a confirmed timing result."
