window_id,year,som_grid,node_id,node_x,node_y,node_count,distance_to_node_center,som_role
W160,1979,2x2,2,1,0,11,6.357041303144325,topology_audit_only_not_primary_type_evidence
W160,1980,2x2,1,0,1,9,4.995575901667065,topology_audit_only_not_primary_type_evidence
W160,1981,2x2,0,0,0,14,4.342083711784149,topology_audit_only_not_primary_type_evidence
W160,1982,2x2,1,0,1,9,2.98033245513016,topology_audit_only_not_primary_type_evidence
W160,1983,2x2,0,0,0,14,6.446343021828632,topology_audit_only_not_primary_type_evidence
W160,1984,2x2,0,0,0,14,3.3112617354362115,topology_audit_only_not_primary_type_evidence
W160,1985,2x2,3,1,1,11,5.33793670980211,topology_audit_only_not_primary_type_evidence
W160,1986,2x2,0,0,0,14,6.686922515829753,topology_audit_only_not_primary_type_evidence
W160,1987,2x2,3,1,1,11,5.115503586883879,topology_audit_only_not_primary_type_evidence
W160,1988,2x2,3,1,1,11,5.041117295498863,topology_audit_only_not_primary_type_evidence
W160,1989,2x2,0,0,0,14,5.190564526042907,topology_audit_only_not_primary_type_evidence
W160,1990,2x2,0,0,0,14,4.212944950628026,topology_audit_only_not_primary_type_evidence
W160,1991,2x2,0,0,0,14,4.253843945146327,topology_audit_only_not_primary_type_evidence
W160,1992,2x2,0,0,0,14,2.696715289031745,topology_audit_only_not_primary_type_evidence
W160,1993,2x2,1,0,1,9,2.5216588739457384,topology_audit_only_not_primary_type_evidence
W160,1994,2x2,1,0,1,9,6.420977359172144,topology_audit_only_not_primary_type_evidence
W160,1995,2x2,2,1,0,11,7.182118086661481,topology_audit_only_not_primary_type_evidence
W160,1996,2x2,0,0,0,14,4.685492533962622,topology_audit_only_not_primary_type_evidence
W160,1997,2x2,1,0,1,9,4.863929599390286,topology_audit_only_not_primary_type_evidence
W160,1998,2x2,2,1,0,11,4.635871513748431,topology_audit_only_not_primary_type_evidence
W160,1999,2x2,3,1,1,11,5.249011307443966,topology_audit_only_not_primary_type_evidence
W160,2000,2x2,3,1,1,11,6.4477360379248685,topology_audit_only_not_primary_type_evidence
W160,2001,2x2,0,0,0,14,4.359843639872882,topology_audit_only_not_primary_type_evidence
W160,2002,2x2,3,1,1,11,4.434399810590642,topology_audit_only_not_primary_type_evidence
W160,2003,2x2,2,1,0,11,2.448151648745665,topology_audit_only_not_primary_type_evidence
W160,2004,2x2,2,1,0,11,5.180289365598243,topology_audit_only_not_primary_type_evidence
W160,2005,2x2,3,1,1,11,5.750205601968181,topology_audit_only_not_primary_type_evidence
W160,2006,2x2,2,1,0,11,3.097424103418096,topology_audit_only_not_primary_type_evidence
W160,2007,2x2,3,1,1,11,3.207853287088008,topology_audit_only_not_primary_type_evidence
W160,2008,2x2,3,1,1,11,4.763727364148833,topology_audit_only_not_primary_type_evidence
W160,2009,2x2,0,0,0,14,7.825295836281506,topology_audit_only_not_primary_type_evidence
W160,2010,2x2,2,1,0,11,7.122315341933789,topology_audit_only_not_primary_type_evidence
W160,2011,2x2,0,0,0,14,7.518470538883062,topology_audit_only_not_primary_type_evidence
W160,2012,2x2,1,0,1,9,3.7642599567838597,topology_audit_only_not_primary_type_evidence
W160,2013,2x2,2,1,0,11,2.7068838535854005,topology_audit_only_not_primary_type_evidence
W160,2014,2x2,2,1,0,11,7.520018059880048,topology_audit_only_not_primary_type_evidence
W160,2015,2x2,0,0,0,14,4.250536506045342,topology_audit_only_not_primary_type_evidence
W160,2016,2x2,3,1,1,11,4.746749071350152,topology_audit_only_not_primary_type_evidence
W160,2017,2x2,1,0,1,9,4.333787755400263,topology_audit_only_not_primary_type_evidence
W160,2018,2x2,2,1,0,11,5.638791613008654,topology_audit_only_not_primary_type_evidence
W160,2019,2x2,0,0,0,14,3.9384539833445853,topology_audit_only_not_primary_type_evidence
W160,2020,2x2,1,0,1,9,3.7885902846498687,topology_audit_only_not_primary_type_evidence
W160,2021,2x2,1,0,1,9,7.317407701029921,topology_audit_only_not_primary_type_evidence
W160,2022,2x2,2,1,0,11,7.571988391940587,topology_audit_only_not_primary_type_evidence
W160,2023,2x2,3,1,1,11,5.437318087268414,topology_audit_only_not_primary_type_evidence
W160,1979,2x3,4,1,1,10,4.797758153547667,topology_audit_only_not_primary_type_evidence
W160,1980,2x3,0,0,0,8,6.1995291444730825,topology_audit_only_not_primary_type_evidence
W160,1981,2x3,4,1,1,10,3.412302297487294,topology_audit_only_not_primary_type_evidence
W160,1982,2x3,4,1,1,10,2.818828404648428,topology_audit_only_not_primary_type_evidence
W160,1983,2x3,1,0,1,9,6.328004901774111,topology_audit_only_not_primary_type_evidence
W160,1984,2x3,1,0,1,9,3.1724786605681095,topology_audit_only_not_primary_type_evidence
W160,1985,2x3,2,0,2,5,3.8344299244631004,topology_audit_only_not_primary_type_evidence
W160,1986,2x3,1,0,1,9,5.604039900445721,topology_audit_only_not_primary_type_evidence
W160,1987,2x3,3,1,0,6,6.003694700899031,topology_audit_only_not_primary_type_evidence
W160,1988,2x3,4,1,1,10,4.467678348685987,topology_audit_only_not_primary_type_evidence
W160,1989,2x3,1,0,1,9,3.905920707932879,topology_audit_only_not_primary_type_evidence
W160,1990,2x3,1,0,1,9,5.156820209853851,topology_audit_only_not_primary_type_evidence
W160,1991,2x3,0,0,0,8,4.512861316269854,topology_audit_only_not_primary_type_evidence
W160,1992,2x3,1,0,1,9,3.3278453416710883,topology_audit_only_not_primary_type_evidence
W160,1993,2x3,0,0,0,8,3.8916381003030827,topology_audit_only_not_primary_type_evidence
W160,1994,2x3,0,0,0,8,5.334386864458984,topology_audit_only_not_primary_type_evidence
W160,1995,2x3,2,0,2,5,6.847522300265807,topology_audit_only_not_primary_type_evidence
W160,1996,2x3,5,1,2,7,4.618790727494568,topology_audit_only_not_primary_type_evidence
