window_id,object_A,object_B,tau_sync_primary,tau_sync_q50,tau_sync_q75,tau_sync_q90,delta_observed,delta_median,delta_q025,delta_q975,P_within_tau_q50,P_within_tau_q75,P_within_tau_q90,synchrony_decision,tau_quality_flag,method,k,cluster_id,cluster_size,cluster_quality_status,years_in_type,v9_1b_role
W160,P,V,6.0,2.0,6.0,11.0,-2.0,-2.0,-13.0,7.0,0.4,0.772,0.942,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
W160,P,H,6.0,2.0,6.0,11.0,-2.0,-1.0,-8.0,10.0,0.368,0.806,0.976,synchrony_tendency,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
W160,P,Je,6.0,2.0,6.0,11.0,5.0,2.0,-23.0,14.0,0.288,0.674,0.87,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
W160,P,Jw,6.0,2.0,6.0,11.0,10.0,3.0,-22.349999999999998,13.675000000000011,0.1437246963562753,0.44534412955465585,0.7854251012145749,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
W160,V,H,6.0,2.0,6.0,11.0,0.0,2.0,-7.0,13.0,0.364,0.718,0.948,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
W160,V,Je,6.0,2.0,6.0,11.0,7.0,5.0,-19.0,16.524999999999977,0.216,0.472,0.77,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
W160,V,Jw,6.0,2.0,6.0,11.0,12.0,5.0,-19.674999999999997,17.0,0.145748987854251,0.3805668016194332,0.742914979757085,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
W160,H,Je,6.0,2.0,6.0,11.0,7.0,3.0,-23.0,12.0,0.19,0.6,0.872,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
W160,H,Jw,6.0,2.0,6.0,11.0,12.0,2.0,-23.0,12.0,0.1882591093117409,0.45546558704453444,0.7935222672064778,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
W160,Je,Jw,6.0,2.0,6.0,11.0,5.0,1.0,-23.0,24.67500000000001,0.2125506072874494,0.562753036437247,0.7550607287449392,synchrony_indeterminate,normal,kmedoids_behavior_pca,2,0,29,unstable_clustering,1979;1980;1981;1982;1983;1987;1988;1993;1994;1995;1997;1998;1999;2002;2003;2004;2005;2006;2008;2010;2011;2012;2014;2015;2017;2018;2020;2021;2022,type_group_multi_year_peak_not_single_year_peak
