window_id,component,explained_variance_ratio
W160,1,0.12896931328891556
W160,2,0.11373140755799156
W160,3,0.10983505683252438
W160,4,0.08879234527820186
W160,5,0.07769653579201251
W160,6,0.06664305834453955
W160,7,0.05604222658662308
W160,8,0.05366923374657277
