window_id,object,feature_kind,component,explained_variance_ratio
W160,P,profile_pca,1,0.09871092406236172
W160,P,profile_pca,2,0.08986983590098147
W160,P,profile_pca,3,0.06849292008279202
W160,V,profile_pca,1,0.17542722738762812
W160,V,profile_pca,2,0.11318792271056528
W160,V,profile_pca,3,0.10281645286494813
W160,H,profile_pca,1,0.277894797407102
W160,H,profile_pca,2,0.1178259997436781
W160,H,profile_pca,3,0.09666872464686918
W160,Je,profile_pca,1,0.18316579143877573
W160,Je,profile_pca,2,0.14382245845890565
W160,Je,profile_pca,3,0.11916357094465982
W160,Jw,profile_pca,1,0.17314514892455252
W160,Jw,profile_pca,2,0.15991424843411525
W160,Jw,profile_pca,3,0.12012407243004829
