window_id,method,k,cluster_id,cluster_size,object_A,object_B,v9_best_direction,v9_best_probability,v9_order_level,v9_order_decision_original,type_best_direction,type_best_probability,type_order_level,type_improves_over_v9,opposite_order_vs_v9,type_internal_stabilization
W160,kmedoids_behavior_pca,2,0,29,P,V,A_earlier,0.7397397397397397,unresolved,A_peak_earlier_tendency,B_earlier,0.688,unresolved,False,True,False
W160,kmedoids_behavior_pca,2,0,29,P,H,B_earlier,0.635,unresolved,B_peak_earlier_tendency,B_earlier,0.504,unresolved,False,False,False
W160,kmedoids_behavior_pca,2,0,29,P,Je,A_earlier,0.838,unresolved,A_peak_earlier_tendency,A_earlier,0.624,unresolved,False,False,False
W160,kmedoids_behavior_pca,2,0,29,P,Jw,B_earlier,0.6112224448897795,unresolved,B_peak_earlier_tendency,A_earlier,0.5870445344129555,unresolved,False,True,False
W160,kmedoids_behavior_pca,2,0,29,V,H,B_earlier,0.7067067067067067,unresolved,B_peak_earlier_tendency,A_earlier,0.662,unresolved,False,True,False
W160,kmedoids_behavior_pca,2,0,29,V,Je,A_earlier,0.5465465465465466,unresolved,A_peak_earlier_tendency,A_earlier,0.658,unresolved,True,False,False
W160,kmedoids_behavior_pca,2,0,29,V,Jw,B_earlier,0.6940822467402207,unresolved,B_peak_earlier_tendency,A_earlier,0.6538461538461539,unresolved,False,True,False
W160,kmedoids_behavior_pca,2,0,29,H,Je,A_earlier,0.811,unresolved,A_peak_earlier_tendency,A_earlier,0.6,unresolved,False,False,False
W160,kmedoids_behavior_pca,2,0,29,H,Jw,B_earlier,0.530060120240481,unresolved,B_peak_earlier_tendency,A_earlier,0.5728744939271255,unresolved,False,True,False
W160,kmedoids_behavior_pca,2,0,29,Je,Jw,B_earlier,0.7595190380761523,unresolved,B_peak_earlier_tendency,A_earlier,0.5364372469635628,unresolved,False,True,False
W160,kmedoids_behavior_pca,2,1,16,P,V,A_earlier,0.7397397397397397,unresolved,A_peak_earlier_tendency,A_earlier,0.652,unresolved,False,False,False
W160,kmedoids_behavior_pca,2,1,16,P,H,B_earlier,0.635,unresolved,B_peak_earlier_tendency,B_earlier,0.716,unresolved,True,False,False
W160,kmedoids_behavior_pca,2,1,16,P,Je,A_earlier,0.838,unresolved,A_peak_earlier_tendency,A_earlier,0.604,unresolved,False,False,False
W160,kmedoids_behavior_pca,2,1,16,P,Jw,B_earlier,0.6112224448897795,unresolved,B_peak_earlier_tendency,B_earlier,0.842,unresolved,True,False,False
W160,kmedoids_behavior_pca,2,1,16,V,H,B_earlier,0.7067067067067067,unresolved,B_peak_earlier_tendency,B_earlier,0.77,unresolved,True,False,False
W160,kmedoids_behavior_pca,2,1,16,V,Je,A_earlier,0.5465465465465466,unresolved,A_peak_earlier_tendency,B_earlier,0.41,unresolved,False,True,False
