object,baseline_config,pre_start,pre_end,post_start,post_end,pattern_dynamic_range,pattern_branch_valid,Rdiff_pre_mean,Rdiff_post_mean
P,C0_full_stage,49,74,88,107,1.2849173369458038,True,-0.6592795426016234,0.6256377943441805
P,C1_buffered_stage,54,69,93,102,1.3701562632623892,True,-0.6944628399188332,0.675693423343556
P,C2_immediate_pre,60,69,93,102,1.3811192445246623,True,-0.7002934341435129,0.6808258103811495
V,C0_full_stage,49,74,88,107,1.2517656667023853,True,-0.6279683731036685,0.6237972935987168
V,C1_buffered_stage,54,69,93,102,1.3634665543589848,True,-0.6819307250606584,0.6815358292983262
V,C2_immediate_pre,60,69,93,102,1.2664954585284411,True,-0.6327494067444086,0.6337460517840325
H,C0_full_stage,49,74,88,107,0.3431949997919264,True,-0.1613696908722693,0.18182530891965712
H,C1_buffered_stage,54,69,93,102,0.3668524432510841,True,-0.17992377893092346,0.18692866432016067
H,C2_immediate_pre,60,69,93,102,0.35891358483828895,True,-0.17606742341308673,0.1828461614252022
Je,C0_full_stage,49,74,88,107,0.5538257914237203,True,-0.2784262895743709,0.2753995018493494
Je,C1_buffered_stage,54,69,93,102,0.5838758438855554,True,-0.29199528022589166,0.29188056365966364
Je,C2_immediate_pre,60,69,93,102,0.536639737302963,True,-0.2678550502501276,0.2687846870528354
Jw,C0_full_stage,49,74,88,107,0.28483763231360426,True,-0.14766338755807132,0.13717424475553291
Jw,C1_buffered_stage,54,69,93,102,0.2908629634177232,True,-0.1470171605975819,0.1438458028201413
Jw,C2_immediate_pre,60,69,93,102,0.2446575978924291,True,-0.12293842144199955,0.12171917645042955
