object,baseline_config,baseline_role,day,D_pre,D_post,S_dist,R_pre,R_post,R_diff,S_pattern,V_dist,V_pattern,pattern_dynamic_range,pattern_branch_valid
P,C0_full_stage,main_full_stage,49,0.7550936698074652,2.887802760006447,0.20727837981549127,0.9824271851889689,0.28736528006458173,-0.6950619051243871,-0.027847987955254,,,1.2849173369458038,True
P,C0_full_stage,main_full_stage,50,0.644739252052036,2.7822640146876116,0.18813499780098614,0.9868255739729268,0.3239428480383265,-0.6628827259346003,-0.0028042141150819507,-0.019143382014505134,0.02504377384017205,1.2849173369458038,True
P,C0_full_stage,main_full_stage,51,0.49311000181854203,2.744258473137976,0.15231815767439483,0.9908630350282014,0.3412271343072282,-0.6496359007209732,0.007505262481376965,-0.03581684012659131,0.010309476596458915,1.2849173369458038,True
P,C0_full_stage,main_full_stage,52,0.4112210226087349,2.763232436847535,0.12954073129778065,0.9920637539878661,0.3285557076829829,-0.6635080463048831,-0.0032908760600201406,-0.022777426376614174,-0.010796138541397104,1.2849173369458038,True
P,C0_full_stage,main_full_stage,53,0.4126945924923412,2.7833076774483243,0.12912837902959404,0.9920582743598338,0.3253043041068806,-0.6667539702529532,-0.005817049421324095,-0.0004123522681866165,-0.0025261733613039542,1.2849173369458038,True
P,C0_full_stage,main_full_stage,54,0.3980080965840461,2.7656440838291756,0.12580652798945177,0.9950150676521151,0.33567250879209054,-0.6593425588600246,-4.904304470745429e-05,-0.003321851040142265,0.005768006376616641,1.2849173369458038,True
P,C0_full_stage,main_full_stage,55,0.4840249640983968,2.7282665355902473,0.1506790290187897,0.9940137014352691,0.3514269855580786,-0.6425867158771905,0.012991362358072786,0.02487250102933794,0.013040405402780241,1.2849173369458038,True
P,C0_full_stage,main_full_stage,56,0.5058224858995077,2.667419091047528,0.15940245128962344,0.9954866497733859,0.36120519661590456,-0.6342814531574813,0.01945501763059832,0.008723422270833725,0.006463655272525536,1.2849173369458038,True
P,C0_full_stage,main_full_stage,57,0.4305820450784285,2.6705482721872498,0.13884680778525954,0.9972658412904792,0.34847273876487217,-0.6487931025256071,0.008161178757959738,-0.020555643504363896,-0.011293838872638583,1.2849173369458038,True
P,C0_full_stage,main_full_stage,58,0.4011938303962277,2.7248205912149155,0.1283403645301972,0.997759523787649,0.3405878469074096,-0.6571716768802394,0.0016404679591251416,-0.010506443255062337,-0.0065207107988345964,1.2849173369458038,True
P,C0_full_stage,main_full_stage,59,0.439514261929564,2.771984527290652,0.13685643083685622,0.998534420220554,0.3292068616433277,-0.6693275585772264,-0.007819970737951699,0.00851606630665902,-0.00946043869707684,1.2849173369458038,True
P,C0_full_stage,main_full_stage,60,0.48943248035054054,2.7851372326906163,0.14946466963318825,0.9989695883043059,0.32394320434782575,-0.6750263839564802,-0.012255139612550037,0.012608238796332022,-0.004435168874598338,1.2849173369458038,True
P,C0_full_stage,main_full_stage,61,0.46429953755050096,2.7459559206117277,0.1446300905337602,0.9988556392635631,0.3266744210036725,-0.6721812182598906,-0.010040860440823402,-0.004834579099428055,0.002214279171726634,1.2849173369458038,True
