window_id,basis,object_A,object_B,baseline_config,metric_family,metric_name,median,q025,q975,P_positive,P_negative,decision
W081,profile,H,Je,C0_full_stage,growth_dist,growth_center_delta_B_minus_A,-0.19678816319841985,-1.719155847291259,1.2597218963598893,0.376,0.624,unresolved
W081,profile,H,Je,C0_full_stage,growth_pattern,growth_center_delta_B_minus_A,-3.674838388281273,-6.32556779280661,-0.3472194956308645,0.015,0.985,B_direction_supported
W081,profile,H,Je,C0_full_stage,state_dist,mean_state_advantage_A_minus_B,0.015679888371734542,-0.015371943468509832,0.046650679189341515,0.838,0.162,A_direction_tendency
W081,profile,H,Je,C0_full_stage,state_pattern,mean_state_advantage_A_minus_B,-0.14115798417879233,-0.21762600278090197,-0.04600803823305739,0.001,0.999,B_direction_supported
W081,profile,H,Je,C1_buffered_stage,growth_dist,growth_center_delta_B_minus_A,-0.34389360063392616,-1.8577925077053064,1.299919958863291,0.328,0.672,unresolved
W081,profile,H,Je,C1_buffered_stage,growth_pattern,growth_center_delta_B_minus_A,-3.716268570542965,-6.376376371501975,-0.3832818269388073,0.014,0.986,B_direction_supported
W081,profile,H,Je,C1_buffered_stage,state_dist,mean_state_advantage_A_minus_B,0.0036693976921144096,-0.03401925930835426,0.04509362739079792,0.567,0.433,unresolved
W081,profile,H,Je,C1_buffered_stage,state_pattern,mean_state_advantage_A_minus_B,-0.1441643610905899,-0.23374490019578928,-0.020687436677389967,0.013,0.987,B_direction_supported
W081,profile,H,Je,C2_immediate_pre,growth_dist,growth_center_delta_B_minus_A,-0.22890109267708425,-1.4860088879308986,1.1956302911274075,0.382,0.618,unresolved
W081,profile,H,Je,C2_immediate_pre,growth_pattern,growth_center_delta_B_minus_A,-3.711323661343229,-6.3517628418469405,-0.3479523359039798,0.016,0.984,B_direction_supported
W081,profile,H,Je,C2_immediate_pre,state_dist,mean_state_advantage_A_minus_B,0.0011514299806749983,-0.03609089187739847,0.04372234537575817,0.522,0.478,unresolved
W081,profile,H,Je,C2_immediate_pre,state_pattern,mean_state_advantage_A_minus_B,-0.12776216301008697,-0.2105324202546213,-0.0029868726634268267,0.021,0.979,B_direction_supported
W081,profile,H,Jw,C0_full_stage,growth_dist,growth_center_delta_B_minus_A,-1.3397649653032886,-3.4327741707091683,0.99218876252415,0.116,0.884,B_direction_tendency
W081,profile,H,Jw,C0_full_stage,growth_pattern,growth_center_delta_B_minus_A,-2.886379941533619,-6.912153319418764,1.2208214115458291,0.093,0.907,B_direction_tendency
W081,profile,H,Jw,C0_full_stage,state_dist,mean_state_advantage_A_minus_B,-0.0357650451259882,-0.08485196381421606,0.01652781783929689,0.086,0.914,B_direction_tendency
