window_id,target_name,year,target_y,target_z,mode_score,cv_score
W160,W160_V_earlier_minus_Je_earlier,1979,0.15504968760333449,0.860594002484847,0.08757361233174721,-0.1300146574839614
W160,W160_V_earlier_minus_Je_earlier,1980,0.2398123416204369,1.3394444252126003,0.5049823090770835,0.1328099302776557
W160,W160_V_earlier_minus_Je_earlier,1981,0.09381280348174839,0.5146479229503925,-0.34199718210760155,-0.4753714027055486
W160,W160_V_earlier_minus_Je_earlier,1982,-0.038393344244408004,-0.23222545495380176,-0.25711634443831677,-0.20793309842815655
W160,W160_V_earlier_minus_Je_earlier,1983,-0.0868757014590347,-0.5061172710639689,-0.004181906767471251,0.14127002562280505
W160,W160_V_earlier_minus_Je_earlier,1984,-0.2468625866396432,-1.4099326186128256,-0.955213844716222,-0.630720723243295
W160,W160_V_earlier_minus_Je_earlier,1985,-0.0694980694980693,-0.4079456587305865,-0.18179698865463229,-0.07652443158914059
W160,W160_V_earlier_minus_Je_earlier,1986,-0.44159592529711367,-2.5100414179019794,-1.3455927729492585,-0.6368737766295322
W160,W160_V_earlier_minus_Je_earlier,1987,0.24684684684684682,1.379184518776298,0.33194179786350475,-0.09403494825586943
W160,W160_V_earlier_minus_Je_earlier,1988,-0.0837503959455179,-0.4884614545530921,0.20847275717327596,0.33359407690671333
W160,W160_V_earlier_minus_Je_earlier,1989,0.1882196943261916,1.047981619417155,0.5480606037053369,0.26995257712467896
W160,W160_V_earlier_minus_Je_earlier,1990,-0.1401463041816792,-0.8070593655334706,-0.7723380840103709,-0.6158644913348759
W160,W160_V_earlier_minus_Je_earlier,1991,-0.1951653086154883,-1.1178787214950463,-0.7553204379388594,-0.5469325334453208
W160,W160_V_earlier_minus_Je_earlier,1992,-0.0895688603701542,-0.521331757892123,-0.43721870465625917,-0.3311964008164361
W160,W160_V_earlier_minus_Je_earlier,1993,0.1448786142935079,0.8031344666729701,0.4241281090938839,0.24438393511328937
W160,W160_V_earlier_minus_Je_earlier,1994,-0.1413828689370484,-0.8140451019135433,-0.5405318856915022,-0.3061312767876061
W160,W160_V_earlier_minus_Je_earlier,1995,-0.2672024761681817,-1.524838939231471,-0.9408617280668286,-0.4944324149297053
