window_id,target_name,mode,phase_group,year,mode_score,q33,q67,targeted_mode_status,phase_group_peak_eligible,performance_gate
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_mid,2010,0.09654368202604476,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_mid,2011,-0.138445236512712,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_low,2012,-0.5520220592849625,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_mid,2013,0.1581624342714023,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_high,2014,0.38303335142005235,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_mid,2015,0.03899887337794161,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_mid,2016,-0.13727734544704526,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_mid,2017,0.1323611296288449,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_high,2018,0.5941362019716676,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_mid,2019,0.08235610594903595,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_high,2020,0.4725579193214849,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_high,2021,0.6778310227437464,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_high,2022,0.4909616922060653,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_V_earlier_minus_Je_earlier,1,target_mode_high,2023,0.39512808281426687,-0.15383564505275552,0.21179129855406986,usable_targeted_mode,True,eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,1979,-0.4998744360546119,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,1980,0.6283541219961796,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,1981,0.37531946598785837,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,1982,0.19731227026378512,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,1983,-0.739920865027978,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,1984,-0.2698134821550472,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,1985,0.11330055327241256,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,1986,-0.26785590722952457,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,1987,-0.013401924218853188,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,1988,-0.37876788655131066,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,1989,0.4167377900313609,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,1990,0.14218350116669287,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,1991,-0.22891351551451905,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,1992,0.014682712744077016,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,1993,0.34312352777366045,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,1994,0.062373711716616556,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,1995,0.4266236714905386,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,1996,-0.1221689399434178,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,1997,0.15540681955760807,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,1998,-0.3136196625854504,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,1999,0.3475822756128847,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,2000,0.389899894571451,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_low,2001,-0.5226470254827078,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_high,2002,0.4557974081149324,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
W160,W160_P_earlier_minus_Jw_earlier,1,target_mode_mid,2003,0.08723476929504076,-0.13841790257984604,0.20333437359986292,not_supported,False,targeted_mode_not_eligible_for_group_peak
