window_id,object,feature_start_col,feature_end_col,source_days,n_source_features
W160,P,0,831,119-182,832
W160,V,832,1535,119-182,704
W160,H,1536,2239,119-182,704
W160,Je,2240,2943,119-182,704
W160,Jw,2944,3647,119-182,704
