window_id,target_pair,target_set,score_phase,year,score,score_z,Y_delta,order_label,peak_A,peak_B
W045,P-V,exploratory_full_pair,low,2009,-2.174366213827355,-2.174366213827355,-7.0,B_earlier,43.0,36.0
W045,P-V,exploratory_full_pair,low,1981,-1.8716952746662259,-1.8716952746662259,-10.0,B_earlier,51.0,41.0
W045,P-V,exploratory_full_pair,low,1992,-1.8497837110300053,-1.8497837110300053,-8.0,B_earlier,48.0,40.0
W045,P-V,exploratory_full_pair,low,1984,-1.434573776573365,-1.434573776573365,-3.0,B_earlier,43.0,40.0
W045,P-V,exploratory_full_pair,low,2000,-1.3668780318899871,-1.3668780318899871,2.0,A_earlier,39.0,41.0
W045,P-V,exploratory_full_pair,low,1985,-1.2233323378104193,-1.2233323378104193,-3.0,B_earlier,47.0,44.0
W045,P-V,exploratory_full_pair,low,1997,-1.0971017551799427,-1.0971017551799427,-2.0,B_earlier,47.0,45.0
W045,P-V,exploratory_full_pair,low,1982,-1.059796530323243,-1.059796530323243,-2.0,B_earlier,44.0,42.0
W045,P-V,exploratory_full_pair,low,2013,-0.9970083428578589,-0.9970083428578589,-9.0,B_earlier,50.0,41.0
W045,P-V,exploratory_full_pair,low,2008,-0.9524854060085487,-0.9524854060085487,-2.0,B_earlier,50.0,48.0
W045,P-V,exploratory_full_pair,low,1999,-0.8448600943361184,-0.8448600943361184,-1.0,B_earlier,41.0,40.0
W045,P-V,exploratory_full_pair,low,2007,-0.837523568539626,-0.837523568539626,2.0,A_earlier,44.0,46.0
W045,P-V,exploratory_full_pair,low,1996,-0.7639783719205119,-0.7639783719205119,1.0,A_earlier,38.0,39.0
W045,P-V,exploratory_full_pair,low,1979,-0.5513970283253145,-0.5513970283253145,-1.0,B_earlier,43.0,42.0
W045,P-V,exploratory_full_pair,low,2012,-0.5271459737991936,-0.5271459737991936,-1.0,B_earlier,43.0,42.0
W045,P-V,exploratory_full_pair,mid,1990,-0.5231979054555213,-0.5231979054555213,-1.0,B_earlier,50.0,49.0
W045,P-V,exploratory_full_pair,mid,1986,-0.4576398456841044,-0.4576398456841044,0.0,same_day,42.0,42.0
