window_id,year,object,peak_day,selected_candidate_id,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,detector_status,peak_source,boundary_flag,missing_flag,quality_flag
W045,1979,P,43,CP001,33,53,within_system_window,unstable_window,system_relevant_first,CP002@58:unstable_window;CP003@26:unstable_window,CP003@26:unstable_window,CP002@58:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1979,V,42,CP001,32,52,within_system_window,unstable_window,system_relevant_first,CP002@55:unstable_window;CP003@24:unstable_window,CP003@24:unstable_window,CP002@55:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1979,H,41,CP004,31,51,within_system_window,unstable_window,system_relevant_first,CP001@54:unstable_window;CP002@29:unstable_window;CP003@19:unstable_window,CP002@29:unstable_window;CP003@19:unstable_window,CP001@54:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1979,Je,47,CP001,37,57,within_system_window,unstable_window,system_relevant_first,CP002@19:unstable_window;CP003@28:unstable_window,CP002@19:unstable_window;CP003@28:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1979,Jw,49,CP001,39,59,late_or_catchup,unstable_window,system_relevant_first,CP002@39:unstable_window;CP003@24:unstable_window;CP004@31:unstable_window,CP003@24:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1980,P,40,CP001,30,50,within_system_window,unstable_window,system_relevant_first,CP002@55:unstable_window;CP003@19:unstable_window,CP003@19:unstable_window,CP002@55:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1980,V,45,CP002,35,55,within_system_window,unstable_window,system_relevant_first,CP001@19:unstable_window;CP003@55:unstable_window;CP004@41:unstable_window,CP001@19:unstable_window,CP003@55:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1980,H,41,CP002,31,51,within_system_window,unstable_window,system_relevant_first,CP001@20:unstable_window;CP003@52:unstable_window,CP001@20:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1980,Je,39,CP002,29,49,front_or_early,unstable_window,system_relevant_first,CP001@57:unstable_window;CP003@17:unstable_window,CP003@17:unstable_window,CP001@57:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1980,Jw,50,CP003,40,59,late_or_catchup,unstable_window,system_relevant_first,CP001@32:unstable_window;CP002@19:unstable_window,CP002@19:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1981,P,51,CP001,41,59,late_or_catchup,unstable_window,system_relevant_first,CP002@37:unstable_window,,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1981,V,41,CP001,31,51,within_system_window,unstable_window,system_relevant_first,CP002@36:unstable_window;CP003@52:unstable_window,,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1981,H,49,CP001,39,59,late_or_catchup,unstable_window,system_relevant_first,CP002@36:unstable_window;CP003@24:unstable_window,CP003@24:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1981,Je,44,CP001,34,54,within_system_window,unstable_window,system_relevant_first,CP002@31:unstable_window;CP003@19:unstable_window;CP004@53:unstable_window,CP003@19:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1981,Jw,42,CP001,32,52,within_system_window,unstable_window,system_relevant_first,CP002@52:unstable_window;CP003@30:unstable_window;CP004@23:unstable_window,CP004@23:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1982,P,44,CP002,34,54,within_system_window,unstable_window,system_relevant_first,CP001@55:unstable_window;CP003@19:unstable_window;CP004@35:unstable_window,CP003@19:unstable_window,CP001@55:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1982,V,42,CP001,32,52,within_system_window,unstable_window,system_relevant_first,CP002@54:unstable_window;CP003@15:unstable_window,CP003@15:unstable_window,CP002@54:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1982,H,46,CP002,36,56,within_system_window,unstable_window,system_relevant_first,CP001@32:unstable_window,,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1982,Je,46,CP004,36,56,within_system_window,unstable_window,system_relevant_first,CP001@54:unstable_window;CP002@23:unstable_window;CP003@31:unstable_window,CP002@23:unstable_window,CP001@54:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1982,Jw,47,CP001,37,57,within_system_window,unstable_window,system_relevant_first,CP002@35:unstable_window;CP003@20:unstable_window,CP003@20:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1983,P,45,CP002,35,55,within_system_window,unstable_window,system_relevant_first,CP001@58:unstable_window;CP003@20:unstable_window;CP004@31:unstable_window,CP003@20:unstable_window,CP001@58:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1983,V,50,CP001,40,59,late_or_catchup,unstable_window,system_relevant_first,CP002@36:unstable_window;CP003@15:unstable_window,CP003@15:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1983,H,50,CP002,40,59,late_or_catchup,unstable_window,system_relevant_first,CP001@36:unstable_window,,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1983,Je,50,CP003,40,59,late_or_catchup,unstable_window,system_relevant_first,CP001@33:unstable_window;CP002@21:unstable_window,CP002@21:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1983,Jw,38,CP001,28,48,front_or_early,unstable_window,system_relevant_first,CP002@23:unstable_window,CP002@23:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1984,P,43,CP001,33,53,within_system_window,unstable_window,system_relevant_first,CP002@32:unstable_window;CP003@22:unstable_window,CP003@22:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1984,V,40,CP001,30,50,within_system_window,unstable_window,system_relevant_first,CP002@23:unstable_window,CP002@23:unstable_window,,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
W045,1984,H,34,CP002,24,44,front_or_early,unstable_window,system_relevant_first,CP001@56:unstable_window,,CP001@56:unstable_window,ok,v7_detector_zero_bootstrap,False,False,warning_support_class
