window_id,object,n_years,analysis_start,analysis_end,n_days,n_profile_coord,n_features_raw,n_all_nan_features_removed,n_features_after_nan_filter,n_features_after_std_filter,n_partial_nan_values_filled,block_scale,block_variance_before_scale,block_variance_after_scale
W045,P,45,0,74,75,13,975,52,923,923,0,0.03291540093383166,1.0,0.0010834236186348864
W045,V,45,0,74,75,11,825,44,781,781,0,0.03578281334822566,1.0,0.0012804097311139568
W045,H,45,0,74,75,11,825,44,781,781,0,0.03578281334822566,1.0,0.0012804097311139564
W045,Je,45,0,74,75,11,825,44,781,781,0,0.03578281334822566,1.0,0.0012804097311139568
W045,Jw,45,0,74,75,11,825,44,781,781,0,0.03578281334822566,1.0,0.0012804097311139564
W081,P,45,49,107,59,13,767,0,767,767,0,0.036107907233705945,1.0,0.0013037809647979146
W081,V,45,49,107,59,11,649,0,649,649,0,0.03925343359894298,1.0,0.0015408320493066256
W081,H,45,49,107,59,11,649,0,649,649,0,0.03925343359894298,1.0,0.0015408320493066256
W081,Je,45,49,107,59,11,649,0,649,649,0,0.03925343359894298,1.0,0.0015408320493066256
W081,Jw,45,49,107,59,11,649,0,649,649,0,0.03925343359894298,1.0,0.0015408320493066256
W113,P,45,88,154,67,13,871,0,871,871,0,0.03388370737858486,1.0,0.001148105625717566
W113,V,45,88,154,67,11,737,0,737,737,0,0.03683547343418787,1.0,0.0013568521031207604
W113,H,45,88,154,67,11,737,0,737,737,0,0.03683547343418787,1.0,0.0013568521031207602
W113,Je,45,88,154,67,11,737,0,737,737,0,0.03683547343418787,1.0,0.0013568521031207602
W113,Jw,45,88,154,67,11,737,0,737,737,0,0.03683547343418787,1.0,0.0013568521031207602
W160,P,45,119,182,64,13,832,52,780,780,0,0.03580574370197165,1.0,0.0012820512820512827
W160,V,45,119,182,64,11,704,44,660,660,0,0.03892494720807615,1.0,0.0015151515151515147
W160,H,45,119,182,64,11,704,44,660,660,0,0.03892494720807615,1.0,0.0015151515151515147
W160,Je,45,119,182,64,11,704,44,660,660,0,0.03892494720807615,1.0,0.0015151515151515147
W160,Jw,45,119,182,64,11,704,44,660,660,0,0.03892494720807615,1.0,0.0015151515151515147
