window_id,target_pair,target_set,mean_Y_high,median_Y_high,n_years_high,prob_A_earlier_high,prob_B_earlier_high,mean_Y_low,median_Y_low,n_years_low,prob_A_earlier_low,prob_B_earlier_low,high_low_Y_shift,order_probability_shift_A_earlier,cohens_d_high_low,phase_separation_flag
W045,P-V,exploratory_full_pair,3.0,2.0,15,0.6666666666666666,0.26666666666666666,-2.933333333333333,-2.0,15,0.2,0.8,5.933333333333334,0.4666666666666666,1.4687617120663312,clear
W045,P-H,exploratory_full_pair,5.8,4.0,15,0.8666666666666667,0.06666666666666667,-5.066666666666666,-4.0,15,0.0,0.9333333333333333,10.866666666666667,0.8666666666666667,2.3606194832224205,clear
W045,P-Je,exploratory_full_pair,4.866666666666666,4.0,15,0.8666666666666667,0.06666666666666667,-5.266666666666667,-4.0,15,0.13333333333333333,0.8666666666666667,10.133333333333333,0.7333333333333334,2.187835064978649,clear
W045,P-Jw,priority,4.8,5.0,15,0.8666666666666667,0.13333333333333333,-5.733333333333333,-6.0,15,0.06666666666666667,0.8666666666666667,10.533333333333333,0.8,2.3609529608979014,clear
W045,V-H,exploratory_full_pair,4.8,5.0,15,0.8666666666666667,0.13333333333333333,-3.1333333333333333,-1.0,15,0.13333333333333333,0.5333333333333333,7.933333333333334,0.7333333333333334,1.7051030608615876,clear
W045,V-Je,exploratory_full_pair,5.866666666666666,5.0,15,0.9333333333333333,0.06666666666666667,-5.133333333333334,-3.0,15,0.06666666666666667,0.6666666666666666,11.0,0.8666666666666667,2.207158598686239,clear
W045,V-Jw,priority,3.6,3.0,15,0.7333333333333333,0.06666666666666667,-6.266666666666667,-6.0,15,0.13333333333333333,0.8,9.866666666666667,0.6,2.119932999628399,clear
W045,H-Je,exploratory_full_pair,4.0,3.0,15,0.7333333333333333,0.2,-4.866666666666666,-3.0,15,0.2,0.8,8.866666666666667,0.5333333333333332,1.613328008698237,clear
W045,H-Jw,exploratory_full_pair,4.333333333333333,6.0,15,0.8,0.2,-6.266666666666667,-7.0,15,0.06666666666666667,0.9333333333333333,10.6,0.7333333333333334,2.202967222288236,clear
W045,Je-Jw,priority,6.2,6.0,15,0.8666666666666667,0.06666666666666667,-4.933333333333334,-3.0,15,0.06666666666666667,0.8666666666666667,11.133333333333333,0.8,2.486530619353357,clear
W081,P-V,priority,1.4666666666666666,-1.0,15,0.3333333333333333,0.6,-7.266666666666667,-6.0,15,0.0,1.0,8.733333333333333,0.3333333333333333,1.4109988498573398,clear
W081,P-H,exploratory_full_pair,2.8666666666666667,3.0,15,0.6666666666666666,0.3333333333333333,-4.866666666666666,-4.0,15,0.06666666666666667,0.8666666666666667,7.7333333333333325,0.6,1.5450488909818672,clear
W081,P-Je,exploratory_full_pair,3.533333333333333,2.0,15,0.6,0.3333333333333333,-6.4,-7.0,15,0.13333333333333333,0.8666666666666667,9.933333333333334,0.4666666666666667,1.8661483874337454,clear
W081,P-Jw,exploratory_full_pair,4.2,4.0,15,0.7333333333333333,0.26666666666666666,-3.933333333333333,-5.0,15,0.13333333333333333,0.8,8.133333333333333,0.6,1.6967957203956587,clear
W081,V-H,exploratory_full_pair,5.533333333333333,4.0,15,0.7333333333333333,0.2,-3.3333333333333335,-2.0,15,0.2,0.7333333333333333,8.866666666666667,0.5333333333333332,1.4828864517331717,clear
W081,V-Je,exploratory_full_pair,7.2,7.0,15,0.8,0.13333333333333333,-4.066666666666666,-6.0,15,0.26666666666666666,0.6666666666666666,11.266666666666666,0.5333333333333334,1.6539187519040277,clear
W081,V-Jw,priority,8.466666666666667,9.0,15,0.9333333333333333,0.06666666666666667,-1.9333333333333333,-1.0,15,0.3333333333333333,0.5333333333333333,10.4,0.6000000000000001,2.241680785340061,clear
W081,H-Je,exploratory_full_pair,3.2666666666666666,2.0,15,0.6666666666666666,0.26666666666666666,-5.333333333333333,-6.0,15,0.2,0.8,8.6,0.4666666666666666,1.2620055135873443,clear
W081,H-Jw,priority,6.333333333333333,6.0,15,0.8666666666666667,0.06666666666666667,-3.1333333333333333,-4.0,15,0.2,0.8,9.466666666666667,0.6666666666666667,2.2697702353436435,clear
W081,Je-Jw,exploratory_full_pair,8.133333333333333,8.0,15,0.8,0.13333333333333333,-3.0,-3.0,15,0.26666666666666666,0.7333333333333333,11.133333333333333,0.5333333333333334,1.8079919880005786,clear
W113,P-V,priority,6.266666666666667,6.0,15,0.8666666666666667,0.06666666666666667,-6.0,-7.0,15,0.06666666666666667,0.9333333333333333,12.266666666666666,0.8,2.3138574974907655,clear
W113,P-H,exploratory_full_pair,6.6,6.0,15,0.8666666666666667,0.06666666666666667,-4.6,-4.0,15,0.06666666666666667,0.8666666666666667,11.2,0.8,2.148066135856788,clear
W113,P-Je,exploratory_full_pair,4.666666666666667,5.0,15,0.7333333333333333,0.26666666666666666,-5.6,-6.0,15,0.13333333333333333,0.7333333333333333,10.266666666666666,0.6,1.6255294849378927,clear
W113,P-Jw,exploratory_full_pair,7.533333333333333,5.0,15,0.8,0.2,-3.8,-3.0,15,0.26666666666666666,0.6666666666666666,11.333333333333332,0.5333333333333334,1.5683507246083888,clear
W113,V-H,exploratory_full_pair,4.733333333333333,5.0,15,0.8666666666666667,0.06666666666666667,-3.066666666666667,-2.0,15,0.3333333333333333,0.6,7.800000000000001,0.5333333333333334,1.5277484561499457,clear
W113,V-Je,priority,6.266666666666667,7.0,15,0.8666666666666667,0.06666666666666667,-5.733333333333333,-7.0,15,0.13333333333333333,0.8666666666666667,12.0,0.7333333333333334,2.309604754589014,clear
W113,V-Jw,exploratory_full_pair,6.266666666666667,6.0,15,0.9333333333333333,0.06666666666666667,-5.933333333333334,-6.0,15,0.06666666666666667,0.9333333333333333,12.2,0.8666666666666667,2.276915094010073,clear
W113,H-Je,priority,5.4,6.0,15,0.7333333333333333,0.13333333333333333,-7.133333333333334,-7.0,15,0.0,1.0,12.533333333333335,0.7333333333333333,2.544509891028404,clear
W113,H-Jw,exploratory_full_pair,7.666666666666667,7.0,15,0.9333333333333333,0.0,-6.0,-4.0,15,0.06666666666666667,0.7333333333333333,13.666666666666668,0.8666666666666667,2.3620799154114045,clear
W113,Je-Jw,exploratory_full_pair,6.6,7.0,15,0.7333333333333333,0.26666666666666666,-3.6,-5.0,15,0.2,0.8,10.2,0.5333333333333332,1.388411540815689,clear
W113,Jw-V,priority,5.933333333333334,6.0,15,0.9333333333333333,0.06666666666666667,-6.266666666666667,-6.0,15,0.06666666666666667,0.9333333333333333,12.2,0.8666666666666667,2.276915094010073,clear
W113,Jw-H,priority,6.0,4.0,15,0.7333333333333333,0.06666666666666667,-7.666666666666667,-7.0,15,0.0,0.9333333333333333,13.666666666666668,0.7333333333333333,2.3620799154114045,clear
W160,P-V,priority,3.4,3.0,15,0.8666666666666667,0.06666666666666667,-5.333333333333333,-3.0,15,0.0,0.9333333333333333,8.733333333333333,0.8666666666666667,2.001808872596267,clear
W160,P-H,exploratory_full_pair,3.7333333333333334,4.0,15,0.8666666666666667,0.06666666666666667,-6.466666666666667,-6.0,15,0.0,0.9333333333333333,10.2,0.8666666666666667,2.334197678645174,clear
W160,P-Je,exploratory_full_pair,2.533333333333333,2.0,15,0.8,0.06666666666666667,-7.066666666666666,-5.0,15,0.06666666666666667,0.8,9.6,0.7333333333333334,1.973343484303291,clear
W160,P-Jw,exploratory_full_pair,1.3333333333333333,0.0,15,0.4666666666666667,0.4666666666666667,-8.8,-9.0,15,0.0,0.9333333333333333,10.133333333333335,0.4666666666666667,1.8308602701956196,clear
W160,V-H,exploratory_full_pair,3.2666666666666666,2.0,15,0.8,0.06666666666666667,-4.866666666666666,-5.0,15,0.2,0.8,8.133333333333333,0.6000000000000001,1.8440903217161253,clear
W160,V-Je,priority,5.4,4.0,15,0.8666666666666667,0.06666666666666667,-7.4,-7.0,15,0.0,0.9333333333333333,12.8,0.8666666666666667,2.461408424376188,clear
W160,V-Jw,exploratory_full_pair,3.4,1.0,15,0.6666666666666666,0.26666666666666666,-7.533333333333333,-7.0,15,0.13333333333333333,0.8,10.933333333333334,0.5333333333333333,1.6212894271633809,clear
W160,H-Je,exploratory_full_pair,3.3333333333333335,3.0,15,0.8666666666666667,0.06666666666666667,-6.666666666666667,-8.0,15,0.06666666666666667,0.9333333333333333,10.0,0.8,1.7891952135513671,clear
W160,H-Jw,priority,2.2666666666666666,1.0,15,0.5333333333333333,0.3333333333333333,-8.066666666666666,-6.0,15,0.0,1.0,10.333333333333332,0.5333333333333333,1.8247926813389865,clear
W160,Je-Jw,exploratory_full_pair,3.8666666666666667,4.0,15,0.6666666666666666,0.3333333333333333,-6.333333333333333,-7.0,15,0.13333333333333333,0.8666666666666667,10.2,0.5333333333333333,1.4749526815207603,clear
W160,Jw-V,priority,7.533333333333333,7.0,15,0.8,0.13333333333333333,-3.4,-1.0,15,0.26666666666666666,0.6666666666666666,10.933333333333334,0.5333333333333334,1.6212894271633806,clear
