window_id,year,object_A,object_B,target_pair,target_set,peak_A,peak_B,delta_B_minus_A,order_label,quality_A,quality_B,pair_y_quality_flag
W045,1979,P,V,P-V,exploratory_full_pair,43.0,42.0,-1.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1979,P,H,P-H,exploratory_full_pair,43.0,41.0,-2.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1979,P,Je,P-Je,exploratory_full_pair,43.0,47.0,4.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1979,P,Jw,P-Jw,priority,43.0,49.0,6.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1979,V,H,V-H,exploratory_full_pair,42.0,41.0,-1.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1979,V,Je,V-Je,exploratory_full_pair,42.0,47.0,5.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1979,V,Jw,V-Jw,priority,42.0,49.0,7.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1979,H,Je,H-Je,exploratory_full_pair,41.0,47.0,6.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1979,H,Jw,H-Jw,exploratory_full_pair,41.0,49.0,8.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1979,Je,Jw,Je-Jw,priority,47.0,49.0,2.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,P,V,P-V,exploratory_full_pair,40.0,45.0,5.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,P,H,P-H,exploratory_full_pair,40.0,41.0,1.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,P,Je,P-Je,exploratory_full_pair,40.0,39.0,-1.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,P,Jw,P-Jw,priority,40.0,50.0,10.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,V,H,V-H,exploratory_full_pair,45.0,41.0,-4.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,V,Je,V-Je,exploratory_full_pair,45.0,39.0,-6.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,V,Jw,V-Jw,priority,45.0,50.0,5.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,H,Je,H-Je,exploratory_full_pair,41.0,39.0,-2.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,H,Jw,H-Jw,exploratory_full_pair,41.0,50.0,9.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1980,Je,Jw,Je-Jw,priority,39.0,50.0,11.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,P,V,P-V,exploratory_full_pair,51.0,41.0,-10.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,P,H,P-H,exploratory_full_pair,51.0,49.0,-2.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,P,Je,P-Je,exploratory_full_pair,51.0,44.0,-7.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,P,Jw,P-Jw,priority,51.0,42.0,-9.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,V,H,V-H,exploratory_full_pair,41.0,49.0,8.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,V,Je,V-Je,exploratory_full_pair,41.0,44.0,3.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,V,Jw,V-Jw,priority,41.0,42.0,1.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,H,Je,H-Je,exploratory_full_pair,49.0,44.0,-5.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,H,Jw,H-Jw,exploratory_full_pair,49.0,42.0,-7.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1981,Je,Jw,Je-Jw,priority,44.0,42.0,-2.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,P,V,P-V,exploratory_full_pair,44.0,42.0,-2.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,P,H,P-H,exploratory_full_pair,44.0,46.0,2.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,P,Je,P-Je,exploratory_full_pair,44.0,46.0,2.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,P,Jw,P-Jw,priority,44.0,47.0,3.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,V,H,V-H,exploratory_full_pair,42.0,46.0,4.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,V,Je,V-Je,exploratory_full_pair,42.0,46.0,4.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,V,Jw,V-Jw,priority,42.0,47.0,5.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,H,Je,H-Je,exploratory_full_pair,46.0,46.0,0.0,same_day,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,H,Jw,H-Jw,exploratory_full_pair,46.0,47.0,1.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1982,Je,Jw,Je-Jw,priority,46.0,47.0,1.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,P,V,P-V,exploratory_full_pair,45.0,50.0,5.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,P,H,P-H,exploratory_full_pair,45.0,50.0,5.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,P,Je,P-Je,exploratory_full_pair,45.0,50.0,5.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,P,Jw,P-Jw,priority,45.0,38.0,-7.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,V,H,V-H,exploratory_full_pair,50.0,50.0,0.0,same_day,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,V,Je,V-Je,exploratory_full_pair,50.0,50.0,0.0,same_day,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,V,Jw,V-Jw,priority,50.0,38.0,-12.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,H,Je,H-Je,exploratory_full_pair,50.0,50.0,0.0,same_day,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,H,Jw,H-Jw,exploratory_full_pair,50.0,38.0,-12.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1983,Je,Jw,Je-Jw,priority,50.0,38.0,-12.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1984,P,V,P-V,exploratory_full_pair,43.0,40.0,-3.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1984,P,H,P-H,exploratory_full_pair,43.0,34.0,-9.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1984,P,Je,P-Je,exploratory_full_pair,43.0,47.0,4.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1984,P,Jw,P-Jw,priority,43.0,40.0,-3.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1984,V,H,V-H,exploratory_full_pair,40.0,34.0,-6.0,B_earlier,warning_support_class,warning_support_class,warning_peak_quality
W045,1984,V,Je,V-Je,exploratory_full_pair,40.0,47.0,7.0,A_earlier,warning_support_class,warning_support_class,warning_peak_quality
