field,stage,min,max,mean,std,finite_count
precip,raw,0.0,737.3976440429688,3.101559522859897,7.964537959094989,862377435
u200,raw,-49.69231033325195,95.41112518310547,12.040437325688032,18.20887031579123,862377435
z500,raw,4877.1318359375,5996.7880859375,5764.564447894667,137.88840821897438,862377435
v850,raw,-47.1204719543457,51.704280853271484,-0.006594628032482396,4.39060870036788,862377435
precip,smoothed,0.0,292.1006134033203,3.122686346643728,5.546407690866864,843527655
u200,smoothed,-37.26173553466797,84.30865173339843,11.877494706473515,17.219645853185778,843527655
z500,smoothed,4963.3251953125,5972.783984375,5765.915803939774,132.61685329040407,843527655
v850,smoothed,-27.746430969238283,30.863985061645508,-0.0024965509527150294,3.31777927298822,843527655
precip,climatology,0.0,107.66647015889488,3.122686346643727,3.5866499772889413,18745059
u200,climatology,-25.508747749328606,52.789550336201984,11.877494706473515,15.322112526150354,18745059
z500,climatology,5218.669932725696,5910.809053819446,5765.915803939774,124.66842995518513,18745059
v850,climatology,-21.490004011789956,13.764559756384953,-0.002496550952715027,2.156525137849932,18745059
precip,anomaly,-96.09386778937446,278.2820456526015,1.1040806653997355e-18,4.230671366783329,843527655
u200,anomaly,-44.919063175254394,48.73114936305417,-8.832645323197884e-18,7.858057714545283,843527655
z500,anomaly,-438.86802300347335,327.72162543402646,2.826446503423323e-16,45.22181275842061,843527655
v850,anomaly,-27.635921595862342,28.031785444443425,1.1040806653997355e-18,2.521320811418407,843527655
