method_family,scope,object,k,energy_peak_rank_fullseason,energy_peak_day,energy_peak_month_day,energy_peak_score,score_ratio_to_top1,nearest_object_candidate_id,nearest_object_candidate_day,distance_to_nearest_object_candidate,nearest_object_support_class,nearest_object_bootstrap_match_fraction,nearest_joint_lineage_day,nearest_joint_lineage_status,distance_to_nearest_joint_lineage
detector_external_profile_energy,P_only,P,7,1,83,06-23,0.8224670832373386,1.0,CP005,82,1.0,object_candidate,0.916,81,strict_accepted_main_window,2.0
detector_external_profile_energy,P_only,P,7,2,97,07-07,0.6477928519353344,0.7876216144548138,CP006,95,2.0,object_weak_candidate,0.695,96,derived_non_strict_candidate_window,1.0
detector_external_profile_energy,P_only,P,7,3,45,05-16,0.6007556714548886,0.7304312643008584,CP003,45,0.0,object_strong_candidate,0.985,45,strict_accepted_main_window,0.0
detector_external_profile_energy,P_only,P,7,4,113,07-23,0.5753289613101351,0.6995160937572901,CP007,113,0.0,object_candidate,0.938,113,strict_accepted_main_window,0.0
detector_external_profile_energy,P_only,P,7,5,156,09-04,0.508257459374357,0.617966931118737,CP010,158,2.0,object_strong_candidate,0.957,160,strict_accepted_main_window,4.0
detector_external_profile_energy,P_only,P,7,6,65,06-05,0.4915004644249218,0.5975928696019193,CP004,65,0.0,object_candidate,0.811,81,strict_accepted_main_window,16.0
detector_external_profile_energy,P_only,P,7,7,32,05-03,0.3751196420128365,0.4560907660113475,CP002,34,2.0,object_weak_candidate,0.6,45,strict_accepted_main_window,13.0
detector_external_profile_energy,P_only,P,7,8,175,09-23,0.31433475359832297,0.38218520838677217,CP010,158,17.0,object_strong_candidate,0.957,160,strict_accepted_main_window,15.0
detector_external_profile_energy,P_only,P,7,9,125,08-04,0.30311704231293163,0.36854610779050645,CP008,126,1.0,object_candidate,0.839,132,derived_non_strict_candidate_window,7.0
detector_external_profile_energy,P_only,P,7,10,16,04-17,0.2941446776033985,0.3576370211019344,CP001,18,2.0,object_weak_candidate,0.793,18,derived_non_strict_candidate_window,2.0
detector_external_profile_energy,P_only,P,7,11,138,08-17,0.2677721991811911,0.32557193429213543,CP009,138,0.0,object_candidate,0.918,135,derived_non_strict_candidate_window,3.0
detector_external_profile_energy,P_only,P,7,12,56,05-27,0.210893769493549,0.2564160606445712,CP004,65,9.0,object_candidate,0.811,45,strict_accepted_main_window,11.0
detector_external_profile_energy,P_only,P,7,13,7,04-08,0.12087103661986867,0.14696154908000011,CP001,18,11.0,object_weak_candidate,0.793,18,derived_non_strict_candidate_window,11.0
detector_external_profile_energy,P_only,P,9,1,81,06-21,0.9678141610909444,1.0,CP005,82,1.0,object_candidate,0.916,81,strict_accepted_main_window,0.0
detector_external_profile_energy,P_only,P,9,2,95,07-05,0.7284835294679389,0.7527101366720796,CP006,95,0.0,object_weak_candidate,0.695,96,derived_non_strict_candidate_window,1.0
detector_external_profile_energy,P_only,P,9,3,44,05-15,0.6595564063133462,0.6814907580706173,CP003,45,1.0,object_strong_candidate,0.985,45,strict_accepted_main_window,1.0
detector_external_profile_energy,P_only,P,9,4,112,07-22,0.6540782561144441,0.6758304253134204,CP007,113,1.0,object_candidate,0.938,113,strict_accepted_main_window,1.0
detector_external_profile_energy,P_only,P,9,5,157,09-05,0.584773151752656,0.6042204952792641,CP010,158,1.0,object_strong_candidate,0.957,160,strict_accepted_main_window,3.0
detector_external_profile_energy,P_only,P,9,6,64,06-04,0.5301277249095254,0.5477577681979278,CP004,65,1.0,object_candidate,0.811,81,strict_accepted_main_window,17.0
