method_family,scope,object,candidate_id,candidate_day,candidate_month_day,candidate_score,candidate_rank,candidate_role,lineage_status
main_method_ruptures_window,joint_all,joint_all,CP001,18,04-19,3.021425291663116,,joint_candidate,
main_method_ruptures_window,joint_all,joint_all,CP002,45,05-16,5.878578493131532,,joint_candidate,
main_method_ruptures_window,joint_all,joint_all,CP003,81,06-21,9.238311473412097,,joint_candidate,
main_method_ruptures_window,joint_all,joint_all,CP004,96,07-06,6.44414632933013,,joint_candidate,
main_method_ruptures_window,joint_all,joint_all,CP005,113,07-23,9.678099825113602,,joint_candidate,
main_method_ruptures_window,joint_all,joint_all,CP006,132,08-11,3.754151835202237,,joint_candidate,
main_method_ruptures_window,joint_all,joint_all,CP007,135,08-14,3.766608107078832,,joint_candidate,
main_method_ruptures_window,joint_all,joint_all,CP008,160,09-08,7.120567750300529,,joint_candidate,
main_method_ruptures_window,P_only,P,CP001,18,04-19,4.698734265329099,,object_native_candidate,
main_method_ruptures_window,P_only,P,CP002,34,05-05,13.170076876576443,,object_native_candidate,
main_method_ruptures_window,P_only,P,CP003,45,05-16,26.563465838769996,,object_native_candidate,
main_method_ruptures_window,P_only,P,CP004,65,06-05,17.206599258152806,,object_native_candidate,
main_method_ruptures_window,P_only,P,CP005,82,06-22,59.21762425438138,,object_native_candidate,
main_method_ruptures_window,P_only,P,CP006,95,07-05,33.259216108942724,,object_native_candidate,
main_method_ruptures_window,P_only,P,CP007,113,07-23,26.61681235144173,,object_native_candidate,
main_method_ruptures_window,P_only,P,CP008,126,08-05,5.946778876241709,,object_native_candidate,
main_method_ruptures_window,P_only,P,CP009,138,08-17,5.071550450487186,,object_native_candidate,
main_method_ruptures_window,P_only,P,CP010,158,09-06,21.186921722771807,,object_native_candidate,
main_method_ruptures_window,V_only,V,CP001,16,04-17,5.335538519795408,,object_native_candidate,
main_method_ruptures_window,V_only,V,CP002,30,05-01,6.941599316355871,,object_native_candidate,
main_method_ruptures_window,V_only,V,CP003,45,05-16,19.23500775537361,,object_native_candidate,
main_method_ruptures_window,V_only,V,CP004,69,06-09,15.678308096706484,,object_native_candidate,
main_method_ruptures_window,V_only,V,CP005,80,06-20,20.958436491781047,,object_native_candidate,
main_method_ruptures_window,V_only,V,CP006,95,07-05,10.70290382054478,,object_native_candidate,
main_method_ruptures_window,V_only,V,CP007,114,07-24,20.004865865386734,,object_native_candidate,
main_method_ruptures_window,V_only,V,CP008,136,08-15,8.498506242322458,,object_native_candidate,
main_method_ruptures_window,V_only,V,CP009,161,09-09,34.08042868585578,,object_native_candidate,
main_method_ruptures_window,H_only,H,CP001,19,04-20,18.08402735192542,,object_native_candidate,
main_method_ruptures_window,H_only,H,CP002,35,05-06,10.10918859242761,,object_native_candidate,
main_method_ruptures_window,H_only,H,CP003,57,05-28,3.066305324426809,,object_native_candidate,
main_method_ruptures_window,H_only,H,CP004,77,06-17,13.498661553176769,,object_native_candidate,
main_method_ruptures_window,H_only,H,CP005,95,07-05,13.787305052806545,,object_native_candidate,
main_method_ruptures_window,H_only,H,CP006,115,07-25,34.607065236011024,,object_native_candidate,
main_method_ruptures_window,H_only,H,CP007,129,08-08,4.241067494898854,,object_native_candidate,
main_method_ruptures_window,H_only,H,CP008,155,09-03,9.746850391531572,,object_native_candidate,
main_method_ruptures_window,Je_only,Je,CP001,26,04-27,6.0665828732930125,,object_native_candidate,
main_method_ruptures_window,Je_only,Je,CP002,33,05-04,5.442389697096082,,object_native_candidate,
main_method_ruptures_window,Je_only,Je,CP003,46,05-17,12.201986759874025,,object_native_candidate,
main_method_ruptures_window,Je_only,Je,CP004,81,06-21,5.948923321784777,,object_native_candidate,
main_method_ruptures_window,Je_only,Je,CP005,94,07-04,7.771161835682942,,object_native_candidate,
main_method_ruptures_window,Je_only,Je,CP006,111,07-21,16.652666002833563,,object_native_candidate,
main_method_ruptures_window,Je_only,Je,CP007,136,08-15,14.318820217804232,,object_native_candidate,
main_method_ruptures_window,Je_only,Je,CP008,162,09-10,20.266046161694703,,object_native_candidate,
main_method_ruptures_window,Jw_only,Jw,CP001,41,05-12,11.770966007882706,,object_native_candidate,
main_method_ruptures_window,Jw_only,Jw,CP002,83,06-23,14.807843176914874,,object_native_candidate,
main_method_ruptures_window,Jw_only,Jw,CP003,104,07-14,25.06998583750547,,object_native_candidate,
main_method_ruptures_window,Jw_only,Jw,CP004,130,08-09,21.9408475625849,,object_native_candidate,
main_method_ruptures_window,Jw_only,Jw,CP005,152,08-31,11.561730035015003,,object_native_candidate,
