window,source,target,lag,n_pairs,n_years_used,valid_year_fraction,r,signed_r,abs_r,eff_n,p_effn,same_year_only,target_window_rule,sample_status
T3_expand17,V_strength,P_main_band_share,-10,765,45,1.0,0.15230735483847285,0.15230735483847285,0.15230735483847285,43.6353598240915,0.32782204312531515,True,True,ok
T3_expand17,V_strength,P_south_band_share_18_24,-10,765,45,1.0,-0.0981775912149316,-0.0981775912149316,0.0981775912149316,46.545069195391676,0.5157214792937252,True,True,ok
T3_expand17,V_strength,P_main_minus_south,-10,765,45,1.0,0.14585112467342531,0.14585112467342531,0.14585112467342531,43.960817669886175,0.3471348281272766,True,True,ok
T3_expand17,V_strength,P_spread_lat,-10,765,45,1.0,0.021572988448388772,0.021572988448388772,0.021572988448388772,52.76668389299305,0.8790202392266866,True,True,ok
T3_expand17,V_strength,P_north_band_share_35_45,-10,765,45,1.0,-0.008651573498877043,-0.008651573498877043,0.008651573498877043,55.18900373547384,0.9501628943660869,True,True,ok
T3_expand17,V_strength,P_north_minus_main_35_45,-10,765,45,1.0,-0.11835001160738899,-0.11835001160738899,0.11835001160738899,50.99442465608586,0.4100726033662956,True,True,ok
T3_expand17,V_strength,P_total_centroid_lat_10_50,-10,765,45,1.0,0.09944172667017058,0.09944172667017058,0.09944172667017058,44.888176321297664,0.5184531490275428,True,True,ok
T3_expand17,V_strength,P_main_28_35_mean,-10,765,45,1.0,0.16872921591005252,0.16872921591005252,0.16872921591005252,51.134717821193554,0.237232519432915,True,True,ok
T3_expand17,V_strength,P_south_10_25_mean,-10,765,45,1.0,-0.062361882758824407,-0.062361882758824407,0.062361882758824407,42.41889483570414,0.6950253226747583,True,True,ok
T3_expand17,V_strength,P_scs_10_20_mean,-10,765,45,1.0,-0.05717421173704425,-0.05717421173704425,0.05717421173704425,42.41889483570414,0.7193279201648715,True,True,ok
T3_expand17,V_strength,P_highlat_40_60_mean,-10,765,45,1.0,0.01846430940311557,0.01846430940311557,0.01846430940311557,57.490108833320804,0.8915728566237353,True,True,ok
T3_expand17,V_strength,P_highlat_35_60_mean,-10,765,45,1.0,0.06804088839775,0.06804088839775,0.06804088839775,52.61637712745759,0.6312173261731755,True,True,ok
T3_expand17,V_strength,P_highlat_minus_main,-10,765,45,1.0,-0.14470722108733486,-0.14470722108733486,0.14470722108733486,51.528763669912436,0.31001331343449645,True,True,ok
T3_expand17,V_strength,P_south_minus_main,-10,765,45,1.0,-0.1263508256104179,-0.1263508256104179,0.1263508256104179,43.13886033561425,0.4209352257454415,True,True,ok
T3_expand17,V_strength,P_south_plus_highlat_minus_main,-10,765,45,1.0,-0.11784289016884392,-0.11784289016884392,0.11784289016884392,42.92343294923748,0.4544203993920566,True,True,ok
