window,source,target,source_family,target_family,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,sample_status,surrogate_mode,T_pos_obs,T_pos_null90,T_pos_null95,T_pos_null99,p_pos_surrogate,T_neg_obs,T_neg_null90,T_neg_null95,T_neg_null99,p_neg_surrogate,T_0_obs,T_0_null90,T_0_null95,T_0_null99,p_0_surrogate,S_pos,S_neg,S_0,strength_excess,strength_ratio,q_pos_global,q_pos_within_window
T3_expand17,V_strength,P_main_band_share,V,P,3,0.13810961189655124,0.13810961189655124,-4,-0.07774830354983929,0.07774830354983929,0.06721448969898212,0.06721448969898212,ok,pooled_window_variable_ar1,0.13810961189655124,0.20801780530173203,0.24584779798087045,0.31433141861376906,0.3046953046953047,0.07774830354983929,0.2110290248849353,0.2385091230477629,0.30989352804211445,0.5994005994005994,0.06721448969898212,0.19367077756357082,0.23030868295864415,0.30965755018216096,0.5544455544455544,-0.1077381860843192,-0.1607608194979236,-0.163094193259662,-0.1077381860843192,0.5617687570555243,0.4224766829808847,0.4224766829808847
T3_expand17,V_strength,P_south_band_share_18_24,V,P,4,-0.2565739412697878,0.2565739412697878,-3,0.08468503405660827,0.08468503405660827,-0.027078354385529208,0.027078354385529208,ok,pooled_window_variable_ar1,0.2565739412697878,0.20782860361185726,0.24725027632614247,0.3082474990944628,0.03996003996003996,0.08468503405660827,0.20208067396484133,0.2395772433299639,0.29664321333350624,0.5404595404595405,0.027078354385529208,0.19465813586194622,0.22733070886747597,0.2914409089235052,0.8081918081918081,0.00932366494364531,-0.15489220927335565,-0.20025235448194675,0.00932366494364531,1.0377094217332508,0.1402852466682254,0.1402852466682254
T3_expand17,V_strength,P_main_minus_south,V,P,4,0.2025816876463601,0.2025816876463601,-4,-0.08702407630694704,0.08702407630694704,0.05645115536913371,0.05645115536913371,ok,pooled_window_variable_ar1,0.2025816876463601,0.19988098182067923,0.23494802274322693,0.3107568485441012,0.0969030969030969,0.08702407630694704,0.2054058359134363,0.245685803805891,0.31140947038576,0.5474525474525475,0.05645115536913371,0.19150202239538677,0.2280996869521119,0.29564341076978706,0.6273726273726273,-0.032366335096866844,-0.15866172749894397,-0.17164853158297821,-0.032366335096866844,0.8622404448483494,0.24475524475524474,0.24475524475524474
T3_expand17,V_strength,P_spread_lat,V,P,4,0.24888813322862657,0.24888813322862657,-3,-0.058090258059526306,0.058090258059526306,0.045676414375584014,0.045676414375584014,ok,pooled_window_variable_ar1,0.24888813322862657,0.19657152427138386,0.2273062752847485,0.27693466109268555,0.03396603396603397,0.058090258059526306,0.19795212002591148,0.23113584322540467,0.28125898100612234,0.6993006993006993,0.045676414375584014,0.18661083710692045,0.21703680580514825,0.26870721381007495,0.6843156843156843,0.02158185794387807,-0.17304558516587837,-0.17136039142956425,0.02158185794387807,1.0949461598314534,0.12454212454212456,0.12454212454212456
T3_expand17,V_strength,P_north_band_share_35_45,V,P,4,0.26295512760758216,0.26295512760758216,-4,-0.07236165118716324,0.07236165118716324,0.12245906256442497,0.12245906256442497,ok,pooled_window_variable_ar1,0.26295512760758216,0.1886724297509154,0.22568099834674443,0.2937785743114211,0.022977022977022976,0.07236165118716324,0.19242274382955446,0.22665360829569883,0.28792961747221535,0.5714285714285714,0.12245906256442497,0.17635236784077446,0.21089838375936082,0.27364297317602493,0.24475524475524477,0.03727412926083773,-0.1542919571085356,-0.08843932119493585,0.03727412926083773,1.1651629048696799,0.10692010692010692,0.10692010692010692
T3_expand17,V_strength,P_north_minus_main_35_45,V,P,5,0.07694295544083396,0.07694295544083396,-4,0.023371674531837465,0.023371674531837465,0.016515522278985367,0.016515522278985367,ok,pooled_window_variable_ar1,0.07694295544083396,0.199806531951883,0.23058013150018516,0.292626378598402,0.5844155844155844,0.023371674531837465,0.19736991870412932,0.22801109282332166,0.292821965928836,0.938061938061938,0.016515522278985367,0.18915184644024355,0.21731117028419644,0.28286703775928984,0.8861138861138861,-0.1536371760593512,-0.2046394182914842,-0.20079564800521107,-0.1536371760593512,0.3336929116148595,0.6272299129441987,0.6272299129441987
T3_expand17,V_strength,P_total_centroid_lat_10_50,V,P,3,0.2996006727033443,0.2996006727033443,-4,-0.0930230350333929,0.0930230350333929,0.12814064520789212,0.12814064520789212,ok,pooled_window_variable_ar1,0.2996006727033443,0.20015509414029728,0.23251292856137445,0.2842514681493826,0.007992007992007992,0.0930230350333929,0.2003407239723507,0.2329038177448914,0.30613897650248095,0.47952047952047955,0.12814064520789212,0.18697823557401794,0.2233854324561607,0.27530940081351635,0.2547452547452547,0.06708774414196983,-0.1398807827114985,-0.09524478724826857,0.06708774414196983,1.2885333927754528,0.06593406593406594,0.06593406593406594
T3_expand17,V_strength,P_main_28_35_mean,V,P,1,0.19600131748769,0.19600131748769,-1,0.1546494911209394,0.1546494911209394,0.18711094631113118,0.18711094631113118,ok,pooled_window_variable_ar1,0.19600131748769,0.19477996843602324,0.2237768207224362,0.2857507712502888,0.0979020979020979,0.1546494911209394,0.20159742394763094,0.2336589403217139,0.28805341091933023,0.21178821178821178,0.18711094631113118,0.18775222172047876,0.2162411452142787,0.2743942911928172,0.1018981018981019,-0.0277755032347462,-0.07900944920077449,-0.029130198903147525,-0.0277755032347462,0.8758785510265256,0.24475524475524474,0.24475524475524474
T3_expand17,V_strength,P_south_10_25_mean,V,P,4,-0.31794780009927726,0.31794780009927726,-4,0.15047701983348305,0.15047701983348305,-0.09530577165225945,0.09530577165225945,ok,pooled_window_variable_ar1,0.31794780009927726,0.19956510693802945,0.2377294957473739,0.2997206267781881,0.006993006993006993,0.15047701983348305,0.201824310237395,0.2359027698297029,0.3089078264854511,0.22477522477522477,0.09530577165225945,0.18697505688772265,0.22369334906523675,0.3019056707501075,0.4085914085914086,0.08021830435190336,-0.08542574999621985,-0.1283875774129773,0.08021830435190336,1.3374352185441403,0.06072874493927125,0.06072874493927125
T3_expand17,V_strength,P_scs_10_20_mean,V,P,3,-0.2602202600525895,0.2602202600525895,-4,0.1471792953477869,0.1471792953477869,-0.10239907076408701,0.10239907076408701,ok,pooled_window_variable_ar1,0.2602202600525895,0.20334911098355166,0.2316092270890479,0.29234609971019665,0.023976023976023976,0.1471792953477869,0.20295748744031594,0.23050508454572044,0.2845804636070103,0.24975024975024976,0.10239907076408701,0.18753944892368013,0.213459316642945,0.27006659104051184,0.3776223776223776,0.028611032963541616,-0.08332578919793354,-0.111060245878858,0.028611032963541616,1.1235314901877436,0.10692010692010692,0.10692010692010692
