window,variable,surrogate_mode,n_years,n_days,n_finite,n_pair_for_phi,nan_fraction,mu,raw_phi_before_clip,phi,phi_after_clip,phi_clip_limit,phi_clipped_flag,phi_clip_amount,phi_clip_direction,phi_clip_severity,sigma,stationary_std,ar1_estimation_scope,family,n_as_source_pairs,n_as_source_yes,n_as_source_tier1,n_as_source_surrogate_sensitive,n_as_target_pairs,n_as_target_yes,n_as_target_tier1,n_as_target_surrogate_sensitive
T3_expand17,V_strength,pooled_window_variable_ar1,45,37,1665,1620,0.0,-1.70700957539964e-17,0.9420285981806242,0.9420285981806242,0.9420285981806242,0.95,False,0.0,none,none,0.39596946024825336,1.1801221992665938,window_variable_pooled_across_years,V,15,2,0,0,0,0,0,0
T3_expand17,V_pos_centroid_lat,pooled_window_variable_ar1,45,37,1665,1620,0.0,2.5605143630994602e-17,0.9045280221490207,0.9045280221490207,0.9045280221490207,0.95,False,0.0,none,none,1.0806556525789777,2.5342863597383682,window_variable_pooled_across_years,V,15,1,1,0,0,0,0,0
T3_expand17,V_NS_diff,pooled_window_variable_ar1,45,37,1665,1620,0.0,3.277458384767309e-15,0.9480739873633027,0.9480739873633027,0.9480739873633027,0.95,False,0.0,none,none,28.196691231252878,88.65493946905262,window_variable_pooled_across_years,V,15,7,0,0,0,0,0,0
T3_expand17,V_pos_north_edge_lat,pooled_window_variable_ar1,45,37,1665,1620,0.0,-1.877710532939604e-16,0.8212270402415444,0.8212270402415444,0.8212270402415444,0.95,False,0.0,none,none,4.4856859533671045,7.86132778458864,window_variable_pooled_across_years,V,15,1,0,0,0,0,0,0
T3_expand17,V_pos_south_edge_lat,pooled_window_variable_ar1,45,37,1665,1620,0.0,-8.5350478769982e-18,0.7266087663596246,0.7266087663596246,0.7266087663596246,0.95,False,0.0,none,none,1.167461993571881,1.6992351686622704,window_variable_pooled_across_years,V,15,1,0,0,0,0,0,0
T3_expand17,V_pos_band_width,pooled_window_variable_ar1,45,37,1665,1620,0.0,6.82803830159856e-16,0.8184243739762552,0.8184243739762552,0.8184243739762552,0.95,False,0.0,none,none,4.624869021923977,8.048649972476275,window_variable_pooled_across_years,V,15,1,0,0,0,0,0,0
T3_expand17,V_pos_centroid_lat_recomputed,pooled_window_variable_ar1,45,37,1665,1620,0.0,5.12102872619892e-16,0.9328073447906724,0.9328073447906724,0.9328073447906724,0.95,False,0.0,none,none,1.519224499249628,4.215671580492534,window_variable_pooled_across_years,V,15,1,0,0,0,0,0,0
T3_expand17,V_highlat_35_55_mean,pooled_window_variable_ar1,45,37,1665,1620,0.0,-3.8407715446491904e-17,0.9310524738445134,0.9310524738445134,0.9310524738445134,0.95,False,0.0,none,none,0.334794577448322,0.917533719210726,window_variable_pooled_across_years,V,15,3,1,0,0,0,0,0
T3_expand17,V_lowlat_20_30_mean,pooled_window_variable_ar1,45,37,1665,1620,0.0,-8.5350478769982e-18,0.9674704965719128,0.95,0.95,0.95,True,0.017470496571912797,upper,moderate,0.33016730896629676,1.0573816326313377,window_variable_pooled_across_years,V,15,1,1,0,0,0,0,0
T3_expand17,V_high_minus_low_35_55_minus_20_30,pooled_window_variable_ar1,45,37,1665,1620,0.0,-4.2675239384991e-18,0.952797227008723,0.95,0.95,0.95,True,0.002797227008723091,upper,minor,0.46809404638254465,1.4991007090877937,window_variable_pooled_across_years,V,15,0,0,0,0,0,0,0
T3_expand17,V_lowlat_weakening_proxy_20_30,pooled_window_variable_ar1,45,37,1665,1620,0.0,8.5350478769982e-18,0.9674704965719128,0.95,0.95,0.95,True,0.017470496571912797,upper,moderate,0.33016730896629676,1.0573816326313377,window_variable_pooled_across_years,V,15,1,1,0,0,0,0,0
T3_expand17,P_main_band_share,pooled_window_variable_ar1,45,37,1665,1620,0.0,8.5350478769982e-18,0.9469739554269154,0.9469739554269154,0.9469739554269154,0.95,False,0.0,none,none,0.04482101891055058,0.13949448497989225,window_variable_pooled_across_years,P,0,0,0,0,11,0,0,0
T3_expand17,P_south_band_share_18_24,pooled_window_variable_ar1,45,37,1665,1620,0.0,2.0270738707870726e-17,0.9397726441333896,0.9397726441333896,0.9397726441333896,0.95,False,0.0,none,none,0.036973554038945936,0.10817300265206052,window_variable_pooled_across_years,P,0,0,0,0,11,1,0,0
T3_expand17,P_main_minus_south,pooled_window_variable_ar1,45,37,1665,1620,0.0,2.13376196924955e-18,0.9461658986554996,0.9461658986554996,0.9461658986554996,0.95,False,0.0,none,none,0.06824327729020974,0.21083427359573784,window_variable_pooled_across_years,P,0,0,0,0,11,0,0,0
T3_expand17,P_spread_lat,pooled_window_variable_ar1,45,37,1665,1620,0.0,1.4936333784746852e-16,0.9245465539168499,0.9245465539168499,0.9245465539168499,0.95,False,0.0,none,none,0.39185959868021547,1.0283163454857525,window_variable_pooled_across_years,P,0,0,0,0,11,3,1,0
T3_expand17,P_north_band_share_35_45,pooled_window_variable_ar1,45,37,1665,1620,0.0,-4.2675239384991e-18,0.9186809129766068,0.9186809129766068,0.9186809129766068,0.95,False,0.0,none,none,0.03126480342129056,0.07915130464623323,window_variable_pooled_across_years,P,0,0,0,0,11,1,0,0
T3_expand17,P_north_minus_main_35_45,pooled_window_variable_ar1,45,37,1665,1620,0.0,-2.13376196924955e-18,0.9288601352123783,0.9288601352123783,0.9288601352123783,0.95,False,0.0,none,none,0.05812458575526154,0.1569108533754416,window_variable_pooled_across_years,P,0,0,0,0,11,1,0,0
T3_expand17,P_total_centroid_lat_10_50,pooled_window_variable_ar1,45,37,1665,1620,0.0,7.510842131758416e-16,0.9438669857103587,0.9438669857103587,0.9438669857103587,0.95,False,0.0,none,none,0.9327532878919784,2.823737585890848,window_variable_pooled_across_years,P,0,0,0,0,11,2,0,0
T3_expand17,P_main_28_35_mean,pooled_window_variable_ar1,45,37,1665,1620,0.0,6.82803830159856e-17,0.9285179865767431,0.9285179865767431,0.9285179865767431,0.95,False,0.0,none,none,0.9090361253630312,2.448335373707116,window_variable_pooled_across_years,P,0,0,0,0,11,0,0,0
T3_expand17,P_south_10_25_mean,pooled_window_variable_ar1,45,37,1665,1620,0.0,0.0,0.9588239121705524,0.95,0.95,0.95,True,0.00882391217055245,upper,minor,1.0687267829958622,3.4226649336635475,window_variable_pooled_across_years,P,0,0,0,0,11,1,0,0
T3_expand17,P_scs_10_20_mean,pooled_window_variable_ar1,45,37,1665,1620,0.0,1.365607660319712e-16,0.9559010488076058,0.95,0.95,0.95,True,0.005901048807605891,upper,minor,1.3093595921574037,4.1933066831829375,window_variable_pooled_across_years,P,0,0,0,0,11,0,0,0
T3_expand17,P_highlat_40_60_mean,pooled_window_variable_ar1,45,37,1665,1620,0.0,1.70700957539964e-17,0.9131407929764207,0.9131407929764207,0.9131407929764207,0.95,False,0.0,none,none,0.39075096894960265,0.9585585990124429,window_variable_pooled_across_years,P,0,0,0,0,11,4,1,0
