window_id,legacy_bootstrap_match_fraction,strict_bootstrap_match_fraction,legacy_param_hit_fraction,strict_param_hit_fraction,support_score_legacy,support_score_strict,delta_support_score,support_rule_change_flag
W001,0.93,0.67,1.0,0.6,0.93,0.67,-0.26,True
W002,0.83,0.75,1.0,1.0,0.83,0.75,-0.07999999999999996,True
W003,0.94,0.87,1.0,1.0,0.94,0.87,-0.06999999999999995,True
W004,0.5,0.08,0.6,0.4,0.5,0.08,-0.42,True
W005,0.89,0.75,1.0,1.0,0.89,0.75,-0.14,True
