year,window_id,candidate_id,candidate_start_day,candidate_end_day,candidate_center_day,main_start_day,main_end_day,main_center_day,overlap_days,overlap_ratio,center_distance_days,near_peak_flag,overlap_any_flag,strict_overlap_flag,relation_tier,priority,is_best_relation_for_year_window
1979,W001,Y1979_C02,40,46,42,43,47,45,4,0.5,3,True,True,True,strict_overlap,3,True
1979,W002,Y1979_C03,75,80,78,76,85,81,5,0.45454545454545453,3,True,True,False,overlap_any,2,True
1979,W003,Y1979_C05,110,117,113,109,116,113,7,0.7777777777777778,0,True,True,True,strict_overlap,3,True
1979,W004,Y1979_C06,132,139,136,135,135,135,1,0.125,1,True,True,False,overlap_any,2,True
1979,W005,Y1979_C07,167,168,168,156,163,160,0,0.0,8,False,False,False,none,0,True
1980,W001,Y1980_C02,36,43,40,43,47,45,1,0.08333333333333333,5,False,True,False,overlap_any,2,True
1980,W002,Y1980_C04,83,87,85,76,85,81,3,0.25,4,False,True,False,overlap_any,2,True
1980,W003,Y1980_C05,118,123,121,109,116,113,0,0.0,8,False,False,False,none,0,True
1980,W004,Y1980_C05,118,123,121,135,135,135,0,0.0,14,False,False,False,none,0,True
1980,W005,Y1980_C06,156,160,158,156,163,160,5,0.625,2,True,True,True,strict_overlap,3,True
1981,W001,Y1981_C01,36,36,36,43,47,45,0,0.0,9,False,False,False,none,0,True
1981,W002,Y1981_C03,77,83,80,76,85,81,7,0.7,1,True,True,True,strict_overlap,3,True
1981,W003,Y1981_C04,102,108,105,109,116,113,0,0.0,8,False,False,False,none,0,True
1981,W004,Y1981_C05,117,129,126,135,135,135,0,0.0,9,False,False,False,none,0,True
1981,W005,Y1981_C06,157,163,160,156,163,160,7,0.875,0,True,True,True,strict_overlap,3,True
1982,W001,Y1982_C02,42,46,44,43,47,45,4,0.6666666666666666,1,True,True,True,strict_overlap,3,True
1982,W002,Y1982_C03,80,84,82,76,85,81,5,0.5,1,True,True,True,strict_overlap,3,True
1982,W003,Y1982_C05,112,117,114,109,116,113,5,0.5555555555555556,1,True,True,True,strict_overlap,3,True
1982,W004,Y1982_C06,140,140,140,135,135,135,0,0.0,5,False,False,False,none,0,True
1982,W005,Y1982_C07,158,158,158,156,163,160,1,0.125,2,True,True,False,overlap_any,2,True
1983,W001,Y1983_C01,34,37,36,43,47,45,0,0.0,9,False,False,False,none,0,True
1983,W002,Y1983_C02,70,73,71,76,85,81,0,0.0,10,False,False,False,none,0,True
1983,W003,Y1983_C03,103,107,106,109,116,113,0,0.0,7,False,False,False,none,0,True
1983,W004,Y1983_C04,124,130,127,135,135,135,0,0.0,8,False,False,False,none,0,True
1983,W005,Y1983_C05,167,168,168,156,163,160,0,0.0,8,False,False,False,none,0,True
