window_id,anchor_day,field,band_id,band_label,feature_indices,lat_values,lat_min,lat_max,lat_center,n_features,accepted_window_start,accepted_window_end,analysis_window_start,analysis_window_end,pre_period_start,pre_period_end,post_period_start,post_period_end,bootstrap_id,pre_post_distance,within_pre_variability,within_post_variability,separation_ratio,pre_post_separation_label,onset_day,midpoint_day,finish_day,duration,progress_monotonicity_corr,n_crossings_025,n_crossings_050,n_crossings_075,progress_quality_label,near_left_boundary,near_right_boundary
W002,45,H,8,H_band_31_35,8;9;10,31;33;35,31.0,35.0,33.0,3,40,48,30,60,30,37,53,60,1,0.5329207984630887,0.11890009819852496,0.03444158169076844,6.95076249120116,clear_separation,36.0,39.0,51.0,16.0,0.9337145840461369,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,H_band_15_19,0;1;2,15;17;19,15.0,19.0,17.0,3,40,48,30,60,30,37,53,60,2,0.28396876728694487,0.07071415601001564,0.08721700129339557,3.5961082300916587,clear_separation,36.0,37.0,40.0,5.0,0.789283334093106,1,1,5,nonmonotonic_progress,False,False
W002,45,H,1,H_band_17_21,1;2;3,17;19;21,17.0,21.0,19.0,3,40,48,30,60,30,37,53,60,2,0.31122983992370223,0.05431660986635588,0.1299280491076497,3.3784408368031342,clear_separation,37.0,39.0,54.0,18.0,0.872457665875301,1,3,3,nonmonotonic_progress,False,False
W002,45,H,2,H_band_19_23,2;3;4,19;21;23,19.0,23.0,21.0,3,40,48,30,60,30,37,53,60,2,0.4833212528601795,0.05193426325564701,0.14916597554817396,4.806769556617647,clear_separation,38.0,41.0,55.0,18.0,0.8436326617065579,3,3,1,nonmonotonic_progress,False,False
W002,45,H,3,H_band_21_25,3;4;5,21;23;25,21.0,25.0,23.0,3,40,48,30,60,30,37,53,60,2,0.6272225156348322,0.06094163840353849,0.15007395284103392,5.944797841045978,clear_separation,38.0,42.0,55.0,18.0,0.8680596864749714,1,3,1,nonmonotonic_progress,False,False
W002,45,H,4,H_band_23_27,4;5;6,23;25;27,23.0,27.0,25.0,3,40,48,30,60,30,37,53,60,2,0.7010724730599067,0.07255150380597293,0.12094683854925062,7.246289188003834,clear_separation,38.0,42.0,54.0,17.0,0.9270923656118437,1,3,1,nonmonotonic_progress,False,False
W002,45,H,5,H_band_25_29,5;6;7,25;27;29,25.0,29.0,27.0,3,40,48,30,60,30,37,53,60,2,0.6558534053221179,0.07016635908493207,0.09120353803223247,8.128571896377911,clear_separation,38.0,42.0,54.0,17.0,0.9620138760264197,1,3,1,nonmonotonic_progress,False,False
W002,45,H,6,H_band_27_31,6;7;8,27;29;31,27.0,31.0,29.0,3,40,48,30,60,30,37,53,60,2,0.5930871361041656,0.0626740317687,0.06977829548754853,8.955480788915029,clear_separation,39.0,43.0,53.0,15.0,0.9793210538201849,1,3,1,nonmonotonic_progress,False,False
W002,45,H,7,H_band_29_33,7;8;9,29;31;33,29.0,33.0,31.0,3,40,48,30,60,30,37,53,60,2,0.5406770719047629,0.05502333928982911,0.05514613165372334,9.81537021580097,clear_separation,39.0,49.0,53.0,15.0,0.9851912627765307,1,1,1,monotonic_clear_progress,False,False
W002,45,H,8,H_band_31_35,8;9;10,31;33;35,31.0,35.0,33.0,3,40,48,30,60,30,37,53,60,2,0.5123233551956438,0.0472374036478923,0.0467451450055289,10.902521000447276,clear_separation,42.0,49.0,53.0,12.0,0.9816478711077044,1,1,1,monotonic_clear_progress,False,False
W002,45,H,0,H_band_15_19,0;1;2,15;17;19,15.0,19.0,17.0,3,40,48,30,60,30,37,53,60,3,0.30198154144383504,0.022012528140489117,0.05304343922913224,8.046836301466795,clear_separation,39.0,52.0,53.0,15.0,0.9164370708802067,3,1,1,nonmonotonic_progress,False,False
