mode,year,H_H_E1_strength,H_H_E2_strength,P_E2_CONTROL_strength,P_P45_strength,V_E2_CONTROL_strength,V_V45_strength,H_package_strength,M_combined_strength,joint45_strength_proxy
anomaly,1979,10.550162002989449,11.313488834503412,2.3054495855572004,5.581032461970783,0.78703453702032,2.206943421472792,-1.0444651204202011,0.8401481697901313,0.8401481697901313
anomaly,1980,17.279439603180336,8.511283798256732,3.4164147445905226,7.203887575048206,1.1842221169498535,2.066865466802027,-0.8738562205067996,1.345272306282221,1.345272306282221
anomaly,1981,15.662857949808942,10.195122742250543,2.0886490220894656,4.707112721630136,1.0443112345317276,2.2220850125048894,-0.845299615772263,0.5194061662927064,0.5194061662927064
anomaly,1982,35.161801530475536,17.684924613412072,3.6942418280822227,3.8281888306760083,1.9549548896874758,1.441738375490878,0.7231314808587053,-0.4461731548425935,-0.4461731548425935
anomaly,1983,35.851643427430325,9.247901699937934,2.3576949756009182,4.813906514476043,1.1824156955916691,1.4327730520736082,0.17984837244626595,-0.07784225251916849,-0.07784225251916849
anomaly,1984,22.613774742178407,22.140249456725282,3.7182323757455618,3.450959801933737,1.3682222631547147,1.159643774033277,0.35202124887787195,-0.8178993739416696,-0.8178993739416696
anomaly,1985,27.697313100380786,23.426173368216617,3.2171899619033715,4.167512144095621,2.4510231218599787,1.7272717932193895,0.7150476831118449,-0.08611039701552867,-0.08611039701552867
anomaly,1986,7.799317673556464,17.864113865637417,1.8354957572714998,4.915542917948883,0.9700146493470645,1.8027130068548045,-0.7422896995514926,0.2598765213183506,0.2598765213183506
anomaly,1987,17.885635885255255,13.807733280455489,1.95158150845438,4.142115078028089,1.1425809333420016,1.5596477095621486,-0.47667687421419974,-0.23126453266385535,-0.23126453266385535
anomaly,1988,22.164278037939432,13.830938184859836,2.7645397965600953,3.2461089898354025,1.1497367413198873,1.1909851258901307,-0.2440058571039374,-0.8706206111596373,-0.8706206111596373
anomaly,1989,23.08810939893593,17.822558477695107,2.478788242510388,4.860326591680651,0.7425419939594577,1.5998887323189845,0.08054447533622222,0.07491114093197661,0.07491114093197661
anomaly,1990,32.816348707358294,11.88692171631165,2.272046364809234,3.5978302647693607,1.2313892135174178,1.1626944951711742,0.19750989710212136,-0.759473323111088,-0.759473323111088
anomaly,1991,17.08598528546941,16.61273790878928,1.8654906111529401,5.011638204445311,1.4453381160240666,1.1496145078364672,-0.326854966905993,-0.23135758826934058,-0.23135758826934058
anomaly,1992,21.222933688094432,13.036242341702453,2.416335796701552,2.2590542010047545,1.6213308492559078,0.9232332528200953,-0.34952637618506954,-1.463109747044439,-1.463109747044439
anomaly,1993,11.998094801668454,10.624395780203956,3.5367493232714713,4.25929805537998,1.4663278407770162,2.152419817097704,-1.0136828643022198,0.29247550031908887,0.29247550031908887
anomaly,1994,16.065136112737942,20.186809632441374,3.079354016438112,3.9600592666092984,1.4477612195999332,1.9865943174079423,-0.13606084606120383,0.04443620202651288,0.04443620202651288
anomaly,1995,22.678970760779475,20.55344254772068,2.3588177765297744,5.051827372570922,1.0416438909776093,1.0044812224876298,0.2463564261685528,-0.33334459688943285,-0.33334459688943285
anomaly,1996,34.31193534527744,19.393567604768688,1.7534556543422584,7.656820504177036,1.0682235789658092,3.213831932174562,0.7948024045908331,2.444851111886056,2.444851111886056
anomaly,1997,11.29065487112258,21.589586319113362,2.4959051983079776,2.883708529421665,2.0126462072196887,1.1712115383953754,-0.2973907002980254,-1.0246834003088159,-1.0246834003088159
anomaly,1998,32.9175021466077,45.94729122936183,2.9739445354163716,3.7341801862581967,2.0581626180494204,1.6100080144198023,2.5466163251970513,-0.3459930759810711,-0.3459930759810711
anomaly,1999,10.505139517582483,25.278153558077605,5.182149476333553,3.485348820371944,2.0835768090977096,0.7854573084295456,-0.08600876611687841,-1.1072220396634935,-1.1072220396634935
anomaly,2000,26.302838404934096,21.02594870854274,3.474263727955753,6.342845656060269,2.4206540413651663,2.0616248266984445,0.47458114188697487,1.012963637278193,1.012963637278193
anomaly,2001,9.64999825097605,7.332244813639819,2.24252149167623,4.939789192702087,0.8189162834382432,1.2363036611330034,-1.3670232731719851,-0.1886693727360511,-0.1886693727360511
anomaly,2002,34.42131792008543,25.61856867724743,3.3274168366064867,2.9999451281745406,1.7446679780487124,1.2211351215986892,1.2290428577812116,-0.9400457723358379,-0.9400457723358379
anomaly,2003,46.62152555910089,15.007995291527632,2.6113389738276793,4.291142076219327,1.0527155714237455,1.0353958495914366,1.15783508902512,-0.5981940539589093,-0.5981940539589093
