mode,predictor,target,n_years,pearson_r,spearman_r,bootstrap_ci_low,bootstrap_ci_high,permutation_p
anomaly,H_package_strength,joint45_strength_proxy,45,-0.16505571752805015,-0.29538866930171276,-0.4383851524303124,0.0893979870416575,0.2554890219560878
anomaly,H_package_strength,P_P45_strength,45,-0.16913298788222403,-0.25652173913043474,-0.38654626219510213,0.07620843923972591,0.27345309381237526
anomaly,H_package_strength,V_V45_strength,45,-0.1371661251219936,-0.21646903820816862,-0.4316198876924617,0.10664949437573151,0.35728542914171657
anomaly,H_package_strength,M_combined_strength,45,-0.16505571752805015,-0.29538866930171276,-0.4495323460965373,0.054787126503354815,0.2754491017964072
local_background_removed,H_package_strength,joint45_strength_proxy,45,0.01973050989050617,-0.10065876152832673,-0.2510642939568354,0.2570036515844543,0.9101796407185628
local_background_removed,H_package_strength,P_P45_strength,45,0.042969372452438655,-0.048089591567852426,-0.22634124441699427,0.25840018831843875,0.8043912175648703
local_background_removed,H_package_strength,V_V45_strength,45,-0.006749027543447757,-0.09710144927536231,-0.31698258796898937,0.27463483685369544,0.9520958083832335
local_background_removed,H_package_strength,M_combined_strength,45,0.01973050989050617,-0.10065876152832673,-0.2548610394250259,0.2475535533150856,0.874251497005988
raw,H_package_strength,joint45_strength_proxy,45,0.09860226732098126,0.10632411067193674,-0.18609623464392733,0.34531326557772607,0.5349301397205589
raw,H_package_strength,P_P45_strength,45,-0.09202999653192696,-0.060210803689064556,-0.339086653026042,0.1936943954004808,0.5449101796407185
raw,H_package_strength,V_V45_strength,45,0.2677426020457907,0.2812911725955204,0.024112239606264144,0.5015645255384027,0.06786427145708583
raw,H_package_strength,M_combined_strength,45,0.09860226732098126,0.10632411067193674,-0.18247076377824534,0.38705660373207834,0.5469061876247505
