window,source_family,target_family,n_total_pairs,n_main_yes,n_audit_stable_yes,n_tier1,n_tier2,n_tier3,n_ambiguous,n_reverse,n_same_day_only,tier1_fraction,audit_stable_fraction_among_main_yes,same_day_coupling_fraction,high_persistence_risk_fraction
S1,V,P,165,77,72,72,0,5,40,3,2,0.43636363636363634,0.935064935064935,0.6060606060606061,0.13333333333333333
S2,V,P,165,82,82,82,0,0,31,1,4,0.49696969696969695,1.0,0.6666666666666666,0.13333333333333333
S3,V,P,165,63,61,61,0,2,31,5,5,0.3696969696969697,0.9682539682539683,0.5151515151515151,0.18181818181818182
S4,V,P,165,42,28,28,9,5,28,8,7,0.1696969696969697,0.6666666666666666,0.38181818181818183,0.18181818181818182
S5,V,P,165,69,63,63,0,6,30,6,6,0.38181818181818183,0.9130434782608695,0.46060606060606063,0.0
T1,V,P,165,56,56,56,0,0,36,2,10,0.3393939393939394,1.0,0.5454545454545454,0.13333333333333333
T2,V,P,165,63,60,60,1,2,20,0,4,0.36363636363636365,0.9523809523809523,0.4484848484848485,0.0
T3,V,P,165,14,5,5,8,1,32,2,8,0.030303030303030304,0.35714285714285715,0.17575757575757575,0.18181818181818182
T4,V,P,165,46,43,43,3,0,35,0,7,0.2606060606060606,0.9347826086956522,0.42424242424242425,0.18181818181818182
