scope_type,scope_id,warning_type,warning_level,warning_message,affected_pairs,suggested_action
project,all,high_phi_clipping,high,2 window-variable AR(1) parameter rows have severe phi clipping.,22,Do not freeze strict pool without reporting high-persistence risk; inspect severe variables/windows.
project,all,audit_null_more_conservative,medium,Audit null is more conservative for 109 pairs.,109,Prefer Tier1/Tier2 split instead of treating all main yes equally.
project,all,many_yes_with_same_day_coupling,medium,431/512 main yes pairs include same-day coupling.,431,Do not interpret main yes as pure one-way lag propagation.
