window_id,mode,object,explained_variance_ratio,object_eof_energy_fraction
W160,1,P,0.10408197583759721,0.07251106442089761
W160,1,V,0.10408197583759721,0.20896612377324045
W160,1,H,0.10408197583759721,0.4269551039037297
W160,1,Je,0.10408197583759721,0.12210025885877988
W160,1,Jw,0.10408197583759721,0.1694674490433524
W160,2,P,0.08416348295773787,0.15711605844927218
W160,2,V,0.08416348295773787,0.07233473030252728
W160,2,H,0.08416348295773787,0.19408036368431672
W160,2,Je,0.08416348295773787,0.2979419461271631
W160,2,Jw,0.08416348295773787,0.2785269014367207
W160,3,P,0.06460383896762568,0.14276658811487355
W160,3,V,0.06460383896762568,0.15754169284466657
W160,3,H,0.06460383896762568,0.21531579417285315
W160,3,Je,0.06460383896762568,0.23657900530037704
W160,3,Jw,0.06460383896762568,0.24779691956722974
W160,4,P,0.05936227276187664,0.17420438293604645
W160,4,V,0.05936227276187664,0.20293842308855342
W160,4,H,0.05936227276187664,0.23577196324519048
W160,4,Je,0.05936227276187664,0.15876033072244894
W160,4,Jw,0.05936227276187664,0.2283249000077607
