window_id,year,mode,pc_score
W160,1979,1,-0.5413262935992864
W160,1980,1,0.49037048472969413
W160,1981,1,-0.7438372740807176
W160,1982,1,-0.5643299961655045
W160,1983,1,-0.20327303932524382
W160,1984,1,-1.244397813612522
W160,1985,1,-0.6824674282115718
W160,1986,1,-1.4823993243594975
W160,1987,1,0.532268839780345
W160,1988,1,-0.4323486978650474
W160,1989,1,-0.6368251125784439
W160,1990,1,-0.5311720445174769
W160,1991,1,-0.48443864175704593
W160,1992,1,-0.4718836451772585
W160,1993,1,0.7027248402673908
W160,1994,1,-0.2700974245592199
W160,1995,1,0.4421023183410665
W160,1996,1,-0.2731735196694445
W160,1997,1,-0.5444621862715403
W160,1998,1,1.500083062484232
W160,1999,1,0.031455981470718784
W160,2000,1,-0.7014095412016152
W160,2001,1,-0.5397491107711897
W160,2002,1,-0.03913568578532601
W160,2003,1,1.0069607596083068
W160,2004,1,-0.38764982031507805
W160,2005,1,0.5130872879289868
W160,2006,1,-0.4463221920735531
W160,2007,1,-0.03374469755194869
W160,2008,1,0.1939165542863884
W160,2009,1,0.6608143331257886
W160,2010,1,0.9943938188359132
W160,2011,1,0.05286434065789346
W160,2012,1,-0.6515126577372127
W160,2013,1,0.17473242183906798
W160,2014,1,0.8072262682555926
W160,2015,1,-0.10358481757275581
W160,2016,1,-0.6202635940040275
W160,2017,1,1.0752745141306939
W160,2018,1,-0.48179395576763206
W160,2019,1,-0.02151681546632017
W160,2020,1,0.99651162988477
W160,2021,1,1.5070219855433007
W160,2022,1,1.0495846775446278
W160,2023,1,0.4017212112817335
W160,1979,2,0.3843780666304494
W160,1980,2,-1.5566754276482202
W160,1981,2,-0.24231992240486536
W160,1982,2,-0.7256474725964694
W160,1983,2,0.27770224768986507
W160,1984,2,0.2267414510304224
W160,1985,2,0.7516962834963306
W160,1986,2,-0.1406174892624638
W160,1987,2,-1.1466122298181431
W160,1988,2,-0.5332316110570268
W160,1989,2,-0.41781601608422475
W160,1990,2,0.23936898332288714
W160,1991,2,-0.3431465990287188
W160,1992,2,0.10084540717893437
W160,1993,2,-0.9018760440631786
W160,1994,2,0.10916071805146248
W160,1995,2,-0.07707115237196291
W160,1996,2,-0.36410645900224603
W160,1997,2,-0.20484026355121082
W160,1998,2,-0.47721968459788705
W160,1999,2,-0.1631948122892796
W160,2000,2,-0.6412810256000291
W160,2001,2,-0.2210897238543696
W160,2002,2,-0.3293249241163856
W160,2003,2,0.5109813741298453
W160,2004,2,0.18818834434082726
W160,2005,2,0.20009757786468382
W160,2006,2,0.48918137478072493
W160,2007,2,0.71800437665421
W160,2008,2,-0.30733738625019735
W160,2009,2,-0.44558903570213154
W160,2010,2,1.5924895116541284
W160,2011,2,-0.056144801853262156
W160,2012,2,0.3821752129902908
W160,2013,2,0.7001328786608942
W160,2014,2,-0.8243923816115696
W160,2015,2,-0.8223835373168066
W160,2016,2,0.6594936460249947
W160,2017,2,-0.16725274029656828
W160,2018,2,0.787822523579118
W160,2019,2,0.4972861533075292
W160,2020,2,0.41297522290946986
W160,2021,2,-0.2032602885349829
W160,2022,2,1.524896837954865
W160,2023,2,0.5588128366602716
W160,1979,3,-0.4553547183871232
W160,1980,3,-0.2450710772807572
W160,1981,3,0.05140488960283857
W160,1982,3,0.05946067130484719
W160,1983,3,-0.6751874694032745
W160,1984,3,0.11623100862343112
