window_id,mode,target,target_type,influence_group,years,n_years,pc_score_mean,pc_score_min,pc_score_max,pc_phase_concentration,overlap_status
W160,1,H,object_peak,push_early_peak,1982;1983;1985;1987;1989;1991;1992;1993;1997;2005;2009;2012;2015;2017;2018;2020,16,-0.021493127215389644,-0.6824674282115718,1.0752745141306939,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W160,1,H,object_peak,push_late_peak,1980;1981;1994;1998;1999;2002;2007;2013;2019;2022;2023,11,0.23087417653695833,-0.7438372740807176,1.500083062484232,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,1,Je,object_peak,push_early_peak,1986;1988;1990;1991;1994;1995;1996;1997;1998;2000;2003;2004;2009;2010;2012;2016;2017,17,-0.04113521445477679,-1.4823993243594975,1.500083062484232,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W160,1,Je,object_peak,push_late_peak,1980;1985;1989;1993;1999;2001;2002;2007;2008;2014;2018;2019;2020;2022;2023,15,0.14921858943923227,-0.6824674282115718,1.0495846775446278,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,1,Jw,object_peak,push_early_peak,1979;1983;1986;1987;1996;1998;2001;2003;2004;2010;2013;2015;2022,13,0.13283597342153824,-1.4823993243594975,1.500083062484232,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,1,Jw,object_peak,push_late_peak,1981;1993;1995;1999;2000;2002;2006;2008;2012;2014;2018;2019;2021;2023,14,0.07147435980955816,-0.7438372740807176,1.5070219855433007,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,1,P,object_peak,push_early_peak,1980;1986;1989;1993;1999;2000;2003;2005;2007;2008;2009;2014;2018;2020,14,0.14763539343560714,-1.4823993243594975,1.0069607596083068,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,1,P,object_peak,push_late_peak,1981;1983;1988;1990;1998;2004;2010;2013;2015;2016;2017;2019;2023,13,0.08481222503269023,-0.7438372740807176,1.500083062484232,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,1,V,object_peak,push_early_peak,1980;1987;1989;1996;2003;2004;2005;2008;2009;2018;2020;2021;2022,13,0.3977764726232008,-0.6368251125784439,1.5070219855433007,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,1,V,object_peak,push_late_peak,1979;1983;1984;1985;1986;1990;1991;1992;1995;1997;1998;2000;2002;2006;2010;2015;2019;2023,18,-0.23108272544378158,-1.4823993243594975,1.500083062484232,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W160,2,H,object_peak,push_early_peak,1982;1983;1985;1987;1989;1991;1992;1993;1997;2005;2009;2012;2015;2017;2018;2020,16,-0.14136559142179744,-1.1466122298181431,0.787822523579118,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W160,2,H,object_peak,push_late_peak,1980;1981;1994;1998;1999;2002;2007;2013;2019;2022;2023,11,0.12177809365750866,-1.5566754276482202,1.524896837954865,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,2,Je,object_peak,push_early_peak,1986;1988;1990;1991;1994;1995;1996;1997;1998;2000;2003;2004;2009;2010;2012;2016;2017,17,0.01691186647318771,-0.6412810256000291,1.5924895116541284,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,2,Je,object_peak,push_late_peak,1980;1985;1989;1993;1999;2001;2002;2007;2008;2014;2018;2019;2020;2022;2023,15,0.03531916790962459,-1.5566754276482202,1.524896837954865,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,2,Jw,object_peak,push_early_peak,1979;1983;1986;1987;1996;1998;2001;2003;2004;2010;2013;2015;2022,13,0.15436462593915065,-1.1466122298181431,1.5924895116541284,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,2,Jw,object_peak,push_late_peak,1981;1993;1995;1999;2000;2002;2006;2008;2012;2014;2018;2019;2021;2023,14,-0.06962713113746545,-0.9018760440631786,0.787822523579118,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W160,2,P,object_peak,push_early_peak,1980;1986;1989;1993;1999;2000;2003;2005;2007;2008;2009;2014;2018;2020,14,-0.19777846738385482,-1.5566754276482202,0.787822523579118,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W160,2,P,object_peak,push_late_peak,1981;1983;1988;1990;1998;2004;2010;2013;2015;2016;2017;2019;2023,13,0.19008208507601873,-0.8223835373168066,1.5924895116541284,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,2,V,object_peak,push_early_peak,1980;1987;1989;1996;2003;2004;2005;2008;2009;2018;2020;2021;2022,13,-0.0628026894047182,-1.5566754276482202,1.524896837954865,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W160,2,V,object_peak,push_late_peak,1979;1983;1984;1985;1986;1990;1991;1992;1995;1997;1998;2000;2002;2006;2010;2015;2019;2023,18,0.11570097999478213,-0.8223835373168066,1.5924895116541284,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,3,H,object_peak,push_early_peak,1982;1983;1985;1987;1989;1991;1992;1993;1997;2005;2009;2012;2015;2017;2018;2020,16,0.03336508508068062,-0.860433292185639,1.12368179907228,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,3,H,object_peak,push_late_peak,1980;1981;1994;1998;1999;2002;2007;2013;2019;2022;2023,11,0.03135088043667395,-0.7848982132543044,0.9612222518787057,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,3,Je,object_peak,push_early_peak,1986;1988;1990;1991;1994;1995;1996;1997;1998;2000;2003;2004;2009;2010;2012;2016;2017,17,0.2593672566278837,-0.93181480172809,1.530512437586427,candidate_concentrated_positive,high_influence_years_mapped_to_pc_phase_candidate
W160,3,Je,object_peak,push_late_peak,1980;1985;1989;1993;1999;2001;2002;2007;2008;2014;2018;2019;2020;2022;2023,15,-0.22636962942278915,-0.9333508725010332,0.7830019190076439,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
W160,3,Jw,object_peak,push_early_peak,1979;1983;1986;1987;1996;1998;2001;2003;2004;2010;2013;2015;2022,13,-0.03702491121441903,-0.6751874694032745,0.5697396777915986,candidate_concentrated_negative,high_influence_years_mapped_to_pc_phase_candidate
