method_family,scope,object,score_name,day,month_day,detector_score,score_z,score_minmax
main_method_ruptures_window,joint_all,joint_all,detector_score,14,04-15,2.719444947270216,-0.8705786966178155,0.17845550339435062
main_method_ruptures_window,joint_all,joint_all,detector_score,15,04-16,2.853714640818626,-0.8085836212461123,0.1943074934315128
main_method_ruptures_window,joint_all,joint_all,detector_score,16,04-17,2.945362100875002,-0.7662681065259441,0.20512746765913772
main_method_ruptures_window,joint_all,joint_all,detector_score,17,04-18,2.989877213227798,-0.7457145648252146,0.21038295829794862
main_method_ruptures_window,joint_all,joint_all,detector_score,18,04-19,3.021425291663116,-0.7311481690232848,0.21410755028763664
main_method_ruptures_window,joint_all,joint_all,detector_score,19,04-20,3.0048275835008926,-0.7388116717938753,0.21214801126230604
main_method_ruptures_window,joint_all,joint_all,detector_score,20,04-21,2.8837507068777226,-0.7947153526145777,0.19785357600116343
main_method_ruptures_window,joint_all,joint_all,detector_score,21,04-22,2.694271762136638,-0.88220167324388,0.17548353653127557
main_method_ruptures_window,joint_all,joint_all,detector_score,22,04-23,2.52216472326346,-0.9616670281200823,0.1551644385022073
main_method_ruptures_window,joint_all,joint_all,detector_score,23,04-24,2.37943382448635,-1.0275688157365677,0.13831351164286956
main_method_ruptures_window,joint_all,joint_all,detector_score,24,04-25,2.2741441053641447,-1.0761832416754573,0.1258829211318468
main_method_ruptures_window,joint_all,joint_all,detector_score,25,04-26,2.231316523889324,-1.0959576157084328,0.12082666177120532
main_method_ruptures_window,joint_all,joint_all,detector_score,26,04-27,2.2522386783845523,-1.0862974272430257,0.12329674847394102
main_method_ruptures_window,joint_all,joint_all,detector_score,27,04-28,2.312460740606363,-1.058491664171596,0.13040661448412386
main_method_ruptures_window,joint_all,joint_all,detector_score,28,04-29,2.3983446824768286,-1.0188372841788478,0.14054614303225435
main_method_ruptures_window,joint_all,joint_all,detector_score,29,04-30,2.519489329910296,-0.9629023121830383,0.1548485793707902
main_method_ruptures_window,joint_all,joint_all,detector_score,30,05-01,2.6917898167140315,-0.8833476384239335,0.1751905160210459
main_method_ruptures_window,joint_all,joint_all,detector_score,31,05-02,2.8784121778990777,-0.7971802610958486,0.19722330489570306
main_method_ruptures_window,joint_all,joint_all,detector_score,32,05-03,3.046419020382448,-0.7196080511096603,0.21705833037940422
main_method_ruptures_window,joint_all,joint_all,detector_score,33,05-04,3.1975777503260083,-0.649814960738427,0.2349042538917826
main_method_ruptures_window,joint_all,joint_all,detector_score,34,05-05,3.2980092718154865,-0.6034436644325321,0.24676128160961416
main_method_ruptures_window,joint_all,joint_all,detector_score,35,05-06,3.335103032401124,-0.5863167132751035,0.25114060137794597
main_method_ruptures_window,joint_all,joint_all,detector_score,36,05-07,3.3931509699866567,-0.5595147882041303,0.25799378845215276
main_method_ruptures_window,joint_all,joint_all,detector_score,37,05-08,3.5237476342607974,-0.49921562589130875,0.2734121376436171
main_method_ruptures_window,joint_all,joint_all,detector_score,38,05-09,3.7132988032995504,-0.41169595782030705,0.29579070397326623
main_method_ruptures_window,joint_all,joint_all,detector_score,39,05-10,3.999815973788716,-0.27940509522621937,0.3296171558853845
main_method_ruptures_window,joint_all,joint_all,detector_score,40,05-11,4.363523310458847,-0.11147394744284642,0.3725567420642939
main_method_ruptures_window,joint_all,joint_all,detector_score,41,05-12,4.727993905750284,0.05680961252309342,0.4155864391814275
main_method_ruptures_window,joint_all,joint_all,detector_score,42,05-13,5.077872230628938,0.21835562151846666,0.4568933608971291
main_method_ruptures_window,joint_all,joint_all,detector_score,43,05-14,5.42780171360188,0.379925251256745,0.4982063223793598
main_method_ruptures_window,joint_all,joint_all,detector_score,44,05-15,5.7399317023308,0.5240420781119547,0.5350566445992914
main_method_ruptures_window,joint_all,joint_all,detector_score,45,05-16,5.878578493131532,0.5880581491893578,0.551425398324534
main_method_ruptures_window,joint_all,joint_all,detector_score,46,05-17,5.662208625691477,0.4881557372182202,0.5258805944871345
main_method_ruptures_window,joint_all,joint_all,detector_score,47,05-18,5.098127034238413,0.2277076803727284,0.45928465960748405
main_method_ruptures_window,joint_all,joint_all,detector_score,48,05-19,4.380634547549259,-0.1035733378183766,0.37457690873565774
main_method_ruptures_window,joint_all,joint_all,detector_score,49,05-20,3.646711707014274,-0.4424405878547848,0.28792937682621955
main_method_ruptures_window,joint_all,joint_all,detector_score,50,05-21,2.9956935073950817,-0.7430290623431913,0.21106963475304713
main_method_ruptures_window,joint_all,joint_all,detector_score,51,05-22,2.4480865827338416,-0.9958704271460399,0.14641871253372113
main_method_ruptures_window,joint_all,joint_all,detector_score,52,05-23,1.957490427579746,-1.2223887486828375,0.08849852847544089
main_method_ruptures_window,joint_all,joint_all,detector_score,53,05-24,1.5565972492416584,-1.4074893633506642,0.04116875136017245
main_method_ruptures_window,joint_all,joint_all,detector_score,54,05-25,1.3034741142014357,-1.5243615138742121,0.01128482663529635
main_method_ruptures_window,joint_all,joint_all,detector_score,55,05-26,1.2078892563686945,-1.5684950060207317,0.0
main_method_ruptures_window,joint_all,joint_all,detector_score,56,05-27,1.2303529363163226,-1.5581230635914676,0.0026520804607289366
main_method_ruptures_window,joint_all,joint_all,detector_score,57,05-28,1.2859800958787817,-1.532438861455823,0.0092194684980138
main_method_ruptures_window,joint_all,joint_all,detector_score,58,05-29,1.334610470262608,-1.5099852187490832,0.014960810344138913
main_method_ruptures_window,joint_all,joint_all,detector_score,59,05-30,1.4028758192129784,-1.4784657049883105,0.023020273375939995
main_method_ruptures_window,joint_all,joint_all,detector_score,60,05-31,1.5781264410199511,-1.3975488933032971,0.043710505381936146
main_method_ruptures_window,joint_all,joint_all,detector_score,61,06-01,1.9058579948835224,-1.2462285033738145,0.08240276116515141
main_method_ruptures_window,joint_all,joint_all,detector_score,62,06-02,2.3484472994885826,-1.041875930782236,0.13465521711213999
