method_family,scope,object,score_name,k,day,month_day,profile_energy_score,score_z,score_minmax
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,0,04-01,,,
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,1,04-02,,,
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,2,04-03,,,
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,3,04-04,,,
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,4,04-05,,,
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,5,04-06,,,
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,6,04-07,,,
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,7,04-08,0.12087103661986867,-1.4404018810011627,0.025495268925773164
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,8,04-09,0.11158696932839539,-1.4911424940638014,0.01259986060246333
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,9,04-10,0.10251568203266839,-1.540720191445988,0.0
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,10,04-11,0.1045409896147618,-1.5296511906374508,0.0028131170780479444
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,11,04-12,0.12674598639968174,-1.408293264790064,0.03365547219780335
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,12,04-13,0.15855599008365096,-1.2344406808119408,0.07783901518520864
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,13,04-14,0.2049441560192403,-0.9809134384377945,0.14227137250539662
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,14,04-15,0.24477241809245273,-0.7632383213401075,0.19759213722169436
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,15,04-16,0.2753540622941719,-0.5960991433761692,0.24006951020902095
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,16,04-17,0.2941446776033985,-0.4934019837498019,0.2661693487228219
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,17,04-18,0.2938139081963458,-0.4952097520445918,0.26570991575762554
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,18,04-19,0.2697096804539378,-0.6269476266908198,0.23222956180307358
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,19,04-20,0.2265479988469339,-0.8628410252194154,0.17227873521285805
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,20,04-21,0.17755759219929307,-1.1305904059000471,0.1042319107110002
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,21,04-22,0.14865794820232986,-1.2885368756595559,0.06409080681342265
detector_external_profile_energy,P_only,P,profile_prepost_energy_k7,7,22,04-23,0.15422727018353902,-1.2580986202271203,0.07182649837800632
