method_family,scope,object,score_name,parameter_name,parameter_value,day,month_day,raw_score,score_z,score_minmax
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,14,04-15,2.719444947270216,-0.8705786966178155,0.17845550339435062
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,15,04-16,2.853714640818626,-0.8085836212461123,0.1943074934315128
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,16,04-17,2.945362100875002,-0.7662681065259441,0.20512746765913772
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,17,04-18,2.989877213227798,-0.7457145648252146,0.21038295829794862
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,18,04-19,3.021425291663116,-0.7311481690232848,0.21410755028763664
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,19,04-20,3.0048275835008926,-0.7388116717938753,0.21214801126230604
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,20,04-21,2.8837507068777226,-0.7947153526145777,0.19785357600116343
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,21,04-22,2.694271762136638,-0.88220167324388,0.17548353653127557
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,22,04-23,2.52216472326346,-0.9616670281200823,0.1551644385022073
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,23,04-24,2.37943382448635,-1.0275688157365677,0.13831351164286956
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,24,04-25,2.2741441053641447,-1.0761832416754573,0.1258829211318468
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,25,04-26,2.231316523889324,-1.0959576157084328,0.12082666177120532
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,26,04-27,2.2522386783845523,-1.0862974272430257,0.12329674847394102
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,27,04-28,2.312460740606363,-1.058491664171596,0.13040661448412386
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,28,04-29,2.3983446824768286,-1.0188372841788478,0.14054614303225435
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,29,04-30,2.519489329910296,-0.9629023121830383,0.1548485793707902
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,30,05-01,2.6917898167140315,-0.8833476384239335,0.1751905160210459
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,31,05-02,2.8784121778990777,-0.7971802610958486,0.19722330489570306
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,32,05-03,3.046419020382448,-0.7196080511096603,0.21705833037940422
main_method_ruptures_window,joint_all,joint_all,detector_score,detector_width,baseline,33,05-04,3.1975777503260083,-0.649814960738427,0.2349042538917826
