year,mode,cluster_id,vector_kind,object,metric,feature,value_raw,value_z,value_robust_z
1979,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.6871225767983254,-0.5573289104084442,-0.35902447141510063
1980,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.13761119878809946,-0.1116172020397491,-0.020747206710793636
1981,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.4195594671680259,-0.3403069970104254,-0.1943135655385857
1982,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.5108169483630336,-0.41432644314479466,-0.25049134885261465
1983,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,2.0385603737028273,1.653487558466722,1.318896332127454
1984,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.775892682014678,-0.6293308321726794,-0.4136710348563083
1985,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-2.1231538917378523,-1.7221018273410746,-1.2430402801622535
1986,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,1.1059563711016056,0.8970473101573625,0.7447885999189341
1987,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,0.5414902962078724,0.4392057646955399,0.39730527659841997
1988,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-1.0280931842855796,-0.8338920500416107,-0.568924773867451
1989,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,0.9083066434843868,0.7367325263691396,0.6231161252378731
1990,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.10390859048695678,-0.08428083063143273,0.0
1991,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,1.4191212724286733,1.1510570882205997,0.9375718078042915
1992,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.7828311138066928,-0.6349586324533881,-0.41794230897703544
1993,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-0.055129447699623725,-0.04471579897871572,0.030028268125164792
1994,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,1.9424398691953686,1.575523687311932,1.2597248888271917
1995,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,2.8731364476838075,2.330416813407061,1.8326584174844776
1996,anomaly,E1,state,P,P_centroid_lat,P.P_centroid_lat,-1.7109837460135067,-1.3877883496937502,-0.9893097932826668
