mode,mapping_type,source_cluster,target_cluster,source_object,source_metric,source_feature,target_object,target_metric,target_feature,spearman_r,pearson_r,bootstrap_ci_low,bootstrap_ci_high,permutation_p,support_class,pairwise_bootstrap_policy
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,H,H_north_edge_lat,H.H_north_edge_lat,0.15825537098782827,0.1753164896625236,,,0.29774045190961806,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,H,H_zonal_width,H.H_zonal_width,-0.13026661639625375,-0.0896560338365718,,,0.39472105578884226,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,Je,Je_meridional_width,Je.Je_meridional_width,0.1434935491922585,0.04845075484539845,,,0.3479304139172166,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,H,H_strength,H.H_strength,-0.07391304347826087,-0.01778757403739063,,,0.620875824835033,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,H,H_west_extent_lon,H.H_west_extent_lon,0.06806571060517722,-0.012468564783518567,,,0.6474705058988203,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,H,H_south_edge_lat,H.H_south_edge_lat,0.29649390970553563,0.14487155490289874,-0.02876318358193488,0.5631215677789707,0.05558888222355529,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,H,H_centroid_lat,H.H_centroid_lat,0.2176548089591568,0.3322869563640652,-0.0870685495299196,0.47652400318190385,0.15376924615076984,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,Je,Je_axis_lat,Je.Je_axis_lat,0.34865409591907137,0.2784973104452653,0.10509417650206228,0.5477348098653221,0.01919616076784643,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,Jw,Jw_strength,Jw.Jw_strength,-0.18998682476943346,-0.11636516007964776,,,0.20475904819036192,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,Jw,Jw_meridional_width,Jw.Jw_meridional_width,0.030537540624763194,-0.05990540818864291,,,0.8372325534893021,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,P,P_centroid_lat,P.P_centroid_lat,0.14980237154150197,0.17937145750425842,,,0.3271345730853829,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,Jw,Jw_axis_lat,Jw.Jw_axis_lat,0.25865533611167213,0.13549824728154228,-0.028358730886339962,0.494872371503937,0.09078184363127374,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,Je,Je_strength,Je.Je_strength,-0.20039525691699606,-0.2560641479771759,-0.45593977139301134,0.08121378934717317,0.1853629274145171,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,P,P_main_minus_south,P.P_main_minus_south,0.10065876152832674,0.11611418556257382,,,0.5086982603479304,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,P,P_main_band_share,P.P_main_band_share,0.09077733860342556,0.12104256832495604,,,0.5546890621875625,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,P,P_south_band_share_18_24,P.P_south_band_share_18_24,-0.07931488801054018,-0.10299904446698728,,,0.6102779444111178,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,P,P_spread_lat,P.P_spread_lat,0.12239789196310935,0.07617678330328614,,,0.4277144571085783,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,P,P_total_strength,P.P_total_strength,0.017918313570487482,-0.023247191099497206,,,0.9084183163367326,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,V,V_NS_diff,V.V_NS_diff,-0.021212121212121213,0.13500057252584052,,,0.8904219156168767,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,V,V_pos_centroid_lat,V.V_pos_centroid_lat,0.07259552042160738,0.20004297375046573,,,0.6350729854029195,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_centroid_lat,H.H_centroid_lat,V,V_strength,V.V_strength,-0.008695652173913044,0.023272757602109215,,,0.9486102779444111,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,H,H_north_edge_lat,H.H_north_edge_lat,0.1554859970427082,0.15361630847158192,,,0.3069386122775445,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,H,H_centroid_lat,H.H_centroid_lat,-0.02596033522417295,0.0869995434503951,,,0.8680263947210558,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,H,H_south_edge_lat,H.H_south_edge_lat,0.22384805655066842,-0.0014920607375990202,-0.02373266422973284,0.4442248559156818,0.1367726454709058,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,H,H_strength,H.H_strength,0.04039006470156857,0.06731298412791248,,,0.7928414317136573,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,H,H_west_extent_lon,H.H_west_extent_lon,0.06223805441279968,-0.003972261857293359,,,0.6932613477304539,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,H,H_zonal_width,H.H_zonal_width,-0.02465798006542918,0.0026342297305632072,,,0.8620275944811038,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,Je,Je_axis_lat,Je.Je_axis_lat,0.09995056895113301,0.12387707371381013,,,0.506498700259948,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,Je,Je_meridional_width,Je.Je_meridional_width,0.02940423533987239,-0.08279665862688695,,,0.8494301139772046,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,Jw,Jw_axis_lat,Jw.Jw_axis_lat,0.18717670019939406,0.1406108858236857,,,0.21775644871025795,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,Je,Je_strength,Je.Je_strength,-0.24346050419624124,-0.22598717454471814,-0.5039512545704273,0.062268025617351286,0.10217956408718257,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,Jw,Jw_meridional_width,Jw.Jw_meridional_width,-0.1812228421546257,-0.13390537919800258,,,0.23955208958208357,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,Jw,Jw_strength,Jw.Jw_strength,-0.04328918843218687,0.022084848431906258,,,0.7650469906018796,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,P,P_main_minus_south,P.P_main_minus_south,0.1922646146805499,0.1752628347898247,,,0.20895820835832835,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,P,P_main_band_share,P.P_main_band_share,0.16828095472725307,0.20333501277223226,,,0.26914617076584685,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,P,P_centroid_lat,P.P_centroid_lat,0.2027409936161933,0.22475222923690572,-0.08397801087314054,0.47938224331124524,0.1837632473505299,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,P,P_south_band_share_18_24,P.P_south_band_share_18_24,-0.16623839028068108,-0.1259943248133371,,,0.275744851029794,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,P,P_spread_lat,P.P_spread_lat,-0.10113988469316111,-0.15099475830278325,,,0.506498700259948,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,P,P_total_strength,P.P_total_strength,-0.13487514264944678,-0.1068956452800822,,,0.375124975004999,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,V,V_NS_diff,V.V_NS_diff,0.02444488418316793,0.04405251733476924,,,0.8654269146170765,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,V,V_pos_centroid_lat,V.V_pos_centroid_lat,0.12927456271529777,0.12849328351916267,,,0.40451909618076387,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,H,H_north_edge_lat,H.H_north_edge_lat,0.16152083126634742,0.1484272001730205,,,0.2979404119176165,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_north_edge_lat,H.H_north_edge_lat,V,V_strength,V.V_strength,-0.040785399755743794,0.023974583985303378,,,0.7860427914417116,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,H,H_strength,H.H_strength,0.14008399354766204,0.11431601693984697,,,0.35372925414917017,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,H,H_south_edge_lat,H.H_south_edge_lat,0.3639920992745164,0.6413520056827889,0.010477177058862,0.6688614357493304,0.020195960807838434,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,H,H_centroid_lat,H.H_centroid_lat,0.2645024855544414,0.28546452331272376,-0.10007706805381053,0.5554012506429267,0.08138372325534893,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,H,H_west_extent_lon,H.H_west_extent_lon,-0.18260227928445794,-0.07383480155373477,,,0.22115576884623075,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,H,H_zonal_width,H.H_zonal_width,0.0735220904822909,-0.04716871162003122,,,0.633873225354929,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,Je,Je_meridional_width,Je.Je_meridional_width,0.1932956028800655,0.07069050274478682,,,0.2829434113177364,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,Je,Je_axis_lat,Je.Je_axis_lat,0.3184753683030771,0.27089377377222845,-0.013162024159973156,0.5614938195111175,0.035992801439712056,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,Jw,Jw_meridional_width,Jw.Jw_meridional_width,0.14485260003096884,0.004868250291542476,,,0.34173165366926617,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,Jw,Jw_strength,Jw.Jw_strength,-0.025897881160071974,-0.0012464393891263776,,,0.8632273545290942,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,Je,Je_strength,Je.Je_strength,-0.3422866810666855,-0.292760206650634,-0.5871523098069956,-0.04050451391051666,0.02399520095980804,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,Jw,Jw_axis_lat,Jw.Jw_axis_lat,0.20869778113842022,0.22963278506514098,-0.11582837120329802,0.4930866601804588,0.17096580683863227,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,P,P_centroid_lat,P.P_centroid_lat,0.054874531409103554,0.17379020496062522,,,0.7150569886022795,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,P,P_main_band_share,P.P_main_band_share,0.017838750309560066,0.11635270875151736,,,0.9134173165366927,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,P,P_main_minus_south,P.P_main_minus_south,0.02526401693587441,0.14914541616462434,,,0.8740251949610078,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,P,P_south_band_share_18_24,P.P_south_band_share_18_24,-0.08303621336988112,-0.18818267198818234,,,0.5866826634673066,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,P,P_spread_lat,P.P_spread_lat,0.09399300924529619,0.029415135482052563,,,0.5414917016596681,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,V,V_NS_diff,V.V_NS_diff,0.19830895014180988,0.1962794494467801,,,0.1881623675264947,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,P,P_total_strength,P.P_total_strength,0.11780819366871902,0.055222703953103865,,,0.4303139372125575,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,V,V_strength,V.V_strength,0.06854788824536534,0.18221231901535115,,,0.6512697460507898,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_south_edge_lat,H.H_south_edge_lat,V,V_pos_centroid_lat,V.V_pos_centroid_lat,0.2418644775473855,0.24128410472347536,-0.054743488907447915,0.4952794389855937,0.10597880423915217,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,H,H_centroid_lat,H.H_centroid_lat,0.21054018445322792,0.3406123931062054,-0.07906534348584973,0.5109570212165762,0.16196760647870426,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,H,H_south_edge_lat,H.H_south_edge_lat,0.11773360811883388,0.10076357547398501,,,0.4521095780843831,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,H,H_north_edge_lat,H.H_north_edge_lat,0.18658584955767266,0.22132707610893834,,,0.21655668866226754,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,H,H_west_extent_lon,H.H_west_extent_lon,0.028595653567855515,-0.035622492131683794,,,0.8494301139772046,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,H,H_zonal_width,H.H_zonal_width,-0.10159867025097528,-0.08716655280689489,,,0.5108978204359128,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,H,H_strength,H.H_strength,0.4740447957839262,0.5164575847680645,0.20890723297740285,0.677916848909593,0.0015996800639872025,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,Je,Je_axis_lat,Je.Je_axis_lat,0.3653257054952432,0.3589216656582582,0.05179189483811464,0.6288367568489153,0.013797240551889621,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,Je,Je_strength,Je.Je_strength,-0.33372859025032936,-0.4176647327401517,-0.5916110813116195,-0.0204073812003038,0.029394121175764846,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,Je,Je_meridional_width,Je.Je_meridional_width,0.2191044149966218,0.2540951522698113,-0.1363312291374745,0.5267625052725886,0.15056988602279545,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,Jw,Jw_axis_lat,Jw.Jw_axis_lat,-0.01673419647793294,0.04243857699451511,,,0.9162167566486703,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,Jw,Jw_strength,Jw.Jw_strength,0.027009222661396576,0.012478330116861669,,,0.8622275544891022,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,Jw,Jw_meridional_width,Jw.Jw_meridional_width,0.23750625858276012,0.17816671593198188,-0.04960835989818033,0.4841509818830753,0.12157568486302739,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,P,P_centroid_lat,P.P_centroid_lat,0.43017127799736493,0.4220624143550911,0.15797667150160372,0.6318148784196339,0.002999400119976005,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,P,P_main_band_share,P.P_main_band_share,0.35533596837944664,0.34291157248613235,0.09093007492727423,0.5763741413357022,0.019596080783843232,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,P,P_south_band_share_18_24,P.P_south_band_share_18_24,-0.19683794466403162,-0.22068753853721848,,,0.1983603279344131,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,P,P_spread_lat,P.P_spread_lat,-0.19604743083003953,-0.13454978193177702,,,0.1939612077584483,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,P,P_main_minus_south,P.P_main_minus_south,0.3007905138339921,0.29902327549032637,-0.010877332593520216,0.5386120322178571,0.04499100179964007,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,P,P_total_strength,P.P_total_strength,-0.06403162055335969,-0.11285964744439402,,,0.6786642671465707,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,V,V_NS_diff,V.V_NS_diff,0.26100131752305666,0.312155091802995,-0.0317070894982763,0.520988864117542,0.08218356328734253,weak_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,V,V_strength,V.V_strength,0.19749670619235837,0.23696955843875628,,,0.1941611677664467,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_strength,H.H_strength,V,V_pos_centroid_lat,V.V_pos_centroid_lat,0.3465085638998682,0.39066271912050077,0.061787221139992195,0.5868414866232277,0.020195960807838434,clear_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_west_extent_lon,H.H_west_extent_lon,H,H_centroid_lat,H.H_centroid_lat,-0.16784376594902695,-0.12553666037203112,,,0.27394521095780844,no_structure_mapping_support,candidate
anomaly,E2_state_to_M_state,E2,M,H,H_west_extent_lon,H.H_west_extent_lon,H,H_north_edge_lat,H.H_north_edge_lat,0.17032181046294811,0.15014981694215138,,,0.25934813037392523,no_structure_mapping_support,candidate
