window,source,target,source_family,target_family,lead_lag_label,lead_lag_group,direction_label,same_day_coupling_flag,p_pos_surrogate,q_pos_within_window,q_pos_global,p_pos_audit_surrogate,q_pos_audit_within_window,q_pos_audit_global,audit_support_shift,positive_peak_lag,positive_peak_signed_r,positive_peak_abs_r,negative_peak_lag,negative_peak_signed_r,negative_peak_abs_r,lag0_signed_r,lag0_abs_r,D_pos_neg,D_pos_neg_CI90_low,D_pos_neg_CI90_high,D_pos_neg_CI95_low,D_pos_neg_CI95_high,P_D_pos_neg_gt_0,D_pos_0,D_pos_0_CI90_low,D_pos_0_CI90_high,D_pos_0_CI95_low,D_pos_0_CI95_high,P_D_pos_0_gt_0,source_raw_phi,target_raw_phi,source_phi_after_clip,target_phi_after_clip,source_phi_clip_severity,target_phi_clip_severity,pair_phi_risk,source_phi_clip_amount,target_phi_clip_amount,evidence_tier,evidence_tier_reason,recommended_usage,failure_reason,risk_note,suggested_reverse_direction
T3_back17,V_lowlat_20_30_mean,P_north_band_share_35_45,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.16683316683316685,0.26987718164188756,0.26987718164188756,0.21078921078921078,0.36572802197802196,0.36572802197802196,same_p_support_flag,5,0.16269321916364646,0.16269321916364646,-5,-0.06366561969738263,0.06366561969738263,0.041606344659285026,0.041606344659285026,0.09885624904221052,-0.07717326442437712,0.19341440470904875,-0.10456590389180513,0.22032455202088752,0.79,0.10995764323062698,-0.01669771499464067,0.20342787591155528,-0.028717963696269843,0.22013025128984648,0.905,0.9691855170387156,0.9223838668163357,0.95,0.9223838668163357,moderate,none,moderate,0.019185517038715627,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_lowlat_20_30_mean,P_north_minus_main_35_45,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.7652347652347652,0.79913757128947,0.79913757128947,0.7952047952047953,0.8241758241758242,0.8241758241758242,same_p_support_flag,5,0.04894782367687627,0.04894782367687627,-5,-0.03895237870158049,0.03895237870158049,-0.037518008230226545,0.037518008230226545,0.001983622061081519,-0.10984011357932011,0.1090103066247835,-0.12882605249975845,0.14136567667308372,0.545,-0.008212775376655268,-0.03833927319136549,0.1219616812279512,-0.044447242237439205,0.1500256769000899,0.617,0.9691855170387156,0.9264410501550391,0.95,0.9264410501550391,moderate,none,moderate,0.019185517038715627,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_lowlat_20_30_mean,P_total_centroid_lat_10_50,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.2547452547452547,0.3532182103610675,0.3532182103610675,0.29270729270729273,0.43110735418427726,0.43110735418427726,same_p_support_flag,3,0.14822031130007166,0.14822031130007166,-4,-0.07103854961358733,0.07103854961358733,0.0451222665961523,0.0451222665961523,0.0873246061882158,-0.10530601558022491,0.19422885143811858,-0.1345705876793286,0.21892419020795864,0.746,0.09239159256128104,-0.027515079282776272,0.1783512721237708,-0.04520465071320424,0.20942553704759834,0.909,0.9691855170387156,0.9424824575659914,0.95,0.9424824575659914,moderate,none,moderate,0.019185517038715627,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_lowlat_20_30_mean,P_main_28_35_mean,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.016983016983016984,0.06312836100070143,0.06312836100070143,0.0989010989010989,0.23312401883830453,0.23312401883830453,audit_more_conservative,2,0.2825644979800371,0.2825644979800371,-1,0.1847349652099534,0.1847349652099534,0.2428249469223638,0.2428249469223638,0.11105706225703355,0.026697517357760915,0.2131713018973682,0.006841831849081793,0.23153981861668793,0.98,0.03191113338407364,-0.00827494355123667,0.1115809220528802,-0.01522416744945902,0.13159739777944027,0.889,0.9691855170387156,0.9304560080221362,0.95,0.9304560080221362,moderate,none,moderate,0.019185517038715627,0.0,Tier3_surrogate_or_persistence_sensitive_yes,main yes but audit p fails and/or severe phi persistence risk,do not use as strict pathway entry; retain in risk pool,,same_day_coupling_present,
T3_back17,V_lowlat_20_30_mean,P_south_10_25_mean,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.33166833166833165,0.4260355029585799,0.4260355029585799,0.34265734265734266,0.44871794871794873,0.44871794871794873,same_p_support_flag,4,-0.12776751763011646,0.12776751763011646,-3,0.12106387769620537,0.12106387769620537,0.016287949358547504,0.016287949358547504,0.0025669690201858136,-0.18042759863133437,0.1815108445486635,-0.199766552658032,0.20577730323172314,0.499,0.09564089155063954,-0.07468952326069957,0.19031481923232388,-0.08315679174150095,0.2068411950182912,0.742,0.9691855170387156,0.9583714601047685,0.95,0.95,moderate,minor,moderate,0.019185517038715627,0.008371460104768524,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_lowlat_20_30_mean,P_scs_10_20_mean,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.5804195804195804,0.6470893970893972,0.6470893970893972,0.5984015984015985,0.6626594881628439,0.6626594881628439,same_p_support_flag,4,-0.07945760428218777,0.07945760428218777,-4,0.13714240225380062,0.13714240225380062,0.030088765508535863,0.030088765508535863,-0.06931666828043284,-0.20916243611482027,0.11611693656889518,-0.23389422197371806,0.14177591102888082,0.307,0.026875039011488522,-0.07884810920739048,0.1446721414632206,-0.08740199582389162,0.16707340550014818,0.581,0.9691855170387156,0.9537051055515694,0.95,0.95,moderate,minor,moderate,0.019185517038715627,0.003705105551569443,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_lowlat_20_30_mean,P_highlat_40_60_mean,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.1008991008991009,0.1891858141858142,0.1891858141858142,0.11288711288711288,0.24190095618667046,0.24190095618667046,same_p_support_flag,1,0.1955285622297796,0.1955285622297796,-1,0.1392304042275386,0.1392304042275386,0.17551479314001514,0.17551479314001514,0.05288558318466707,-0.01805539216127507,0.12054065488331618,-0.03536597121336511,0.1335258742084744,0.894,0.00021199807096233814,-0.029357188749235038,0.05760225537314406,-0.03456979713422929,0.07142102478868959,0.529,0.9691855170387156,0.9180812680242554,0.95,0.9180812680242554,moderate,none,moderate,0.019185517038715627,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_lowlat_20_30_mean,P_highlat_35_60_mean,V,P,lead_lag_yes_with_same_day_coupling,lead_lag_yes,X_leads_Y_with_same_day_component,True,0.001998001998001998,0.0253592561284869,0.0253592561284869,0.002997002997002997,0.061813186813186816,0.061813186813186816,same_p_support_flag,1,0.3498680398644224,0.3498680398644224,-1,0.29144948614077637,0.29144948614077637,0.33247766334971135,0.33247766334971135,0.061321047902079096,0.012441406099758147,0.12126385319660468,0.0024441333625855014,0.134406874158236,0.977,0.00755679225639741,-0.01903806337344799,0.0455103998062323,-0.023542514405208367,0.05575523342543049,0.676,0.9691855170387156,0.9314341110880292,0.95,0.9314341110880292,moderate,none,moderate,0.019185517038715627,0.0,Tier1b_audit_stable_with_same_day,main yes; audit-FDR pass; same-day coupling present; no severe phi risk,"usable strict temporal candidate, but must retain same-day coupling warning",,same_day_coupling_present,
T3_back17,V_lowlat_20_30_mean,P_highlat_minus_main,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.12287712287712288,0.21688837478311165,0.21688837478311165,0.28471528471528473,0.43110735418427726,0.43110735418427726,same_p_support_flag,2,-0.18826964724403755,0.18826964724403755,-1,-0.11927955465327746,0.11927955465327746,-0.15917075683740475,0.15917075683740475,0.06195818898849713,-0.04707832061332885,0.1595714057578722,-0.07806148610224194,0.18653656663780885,0.828,0.00730903728019916,-0.032727278490317695,0.09571891880225658,-0.041371362882937864,0.11250452795144902,0.586,0.9691855170387156,0.9320334605755766,0.95,0.9320334605755766,moderate,none,moderate,0.019185517038715627,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_lowlat_20_30_mean,P_south_minus_main,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.0959040959040959,0.18838304552590268,0.18838304552590268,0.22777222777222778,0.37747252747252746,0.37747252747252746,same_p_support_flag,3,-0.20585255986159526,0.20585255986159526,-1,-0.04452903645262832,0.04452903645262832,-0.10947675536386126,0.10947675536386126,0.1584040003699789,-0.1079457076270059,0.21750373014948743,-0.1502056380909127,0.2420140179379895,0.825,0.08514065633369891,0.004060931459517533,0.17952557102876832,-0.01118105192630054,0.20574029345079534,0.96,0.9691855170387156,0.9492374499639178,0.95,0.9492374499639178,moderate,none,moderate,0.019185517038715627,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_lowlat_20_30_mean,P_south_plus_highlat_minus_main,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.21078921078921078,0.3105376766091052,0.3105376766091052,0.3336663336663337,0.4466501240694789,0.4466501240694789,same_p_support_flag,3,-0.16619273815745272,0.16619273815745272,-3,0.04844551761450612,0.04844551761450612,-0.07429346097296546,0.07429346097296546,0.10949664026984651,-0.13412495320503037,0.1883215378337317,-0.17871209268557844,0.2117000918211968,0.741,0.07510270269122454,-0.03018926999531493,0.16545518473554086,-0.061095232863961166,0.18899097582228677,0.892,0.9691855170387156,0.9502552866535717,0.95,0.95,moderate,minor,moderate,0.019185517038715627,0.0002552866535717735,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_high_minus_low_35_55_minus_20_30,P_main_band_share,V,P,lead_lag_ambiguous_marginal_statistical_support,lead_lag_ambiguous,direction_not_assessed_as_strict_due_to_marginal_stat_support,False,0.04195804195804196,0.10650887573964497,0.10650887573964497,0.0919080919080919,0.22880104969657208,0.22880104969657208,audit_more_conservative,3,-0.24992974703434442,0.24992974703434442,-4,0.12660386223708467,0.12660386223708467,-0.1415649420074842,0.1415649420074842,0.12794737879708135,-0.1029789294791962,0.23783329103499104,-0.13501358339898634,0.2653572305979603,0.826,0.10444887015900103,0.04039315566712956,0.19506055451705098,0.030547775726492008,0.21163683037965098,0.997,0.9559370215735191,0.9411063465393363,0.95,0.9411063465393363,minor,none,minor,0.005937021573519163,0.0,Tier4d_ambiguous_marginal_statistical_support,ambiguous because statistical support is marginal,expanded temporal risk pool only; useful for feedback/same-day/transition audit,marginal_statistical_support,marginal,
T3_back17,V_high_minus_low_35_55_minus_20_30,P_south_band_share_18_24,V,P,lead_lag_yes_clear,lead_lag_yes,clear_X_leads_Y_moderate,False,0.013986013986013986,0.05628517823639775,0.05628517823639775,0.027972027972027972,0.13986013986013984,0.13986013986013984,same_p_support_flag,4,0.3209944184152087,0.3209944184152087,-5,-0.11980379921530053,0.11980379921530053,0.15668150543734413,0.15668150543734413,0.2117230883074127,0.006311302215514103,0.2999814073131702,-0.027725428141678148,0.31477418424319437,0.957,0.16248599176158654,0.06002147536505299,0.28853437235867896,0.04470841666033305,0.3106032278326507,1.0,0.9559370215735191,0.9402990378699781,0.95,0.9402990378699781,minor,none,minor,0.005937021573519163,0.0,Tier2_main_supported_audit_moderate,main yes; audit p pass but audit-FDR or phi-risk prevents Tier1,usable candidate with audit/moderate-risk flag; not a core-only claim,,,
T3_back17,V_high_minus_low_35_55_minus_20_30,P_main_minus_south,V,P,lead_lag_ambiguous_direction_uncertain,lead_lag_ambiguous,direction_uncertain,False,0.008991008991008992,0.04455004455004455,0.04455004455004455,0.03596403596403597,0.1521555367709214,0.1521555367709214,same_p_support_flag,3,-0.3090257119305173,0.3090257119305173,-5,0.13536200654957117,0.13536200654957117,-0.1662016846049234,0.1662016846049234,0.17799654518756455,-0.04427251737059586,0.2793792921131633,-0.0945134465623191,0.29975357666531527,0.896,0.13004916439090206,0.04989290249912142,0.2345569898718477,0.03655682832536532,0.26034360664982076,0.998,0.9559370215735191,0.9428372918109434,0.95,0.9428372918109434,minor,none,minor,0.005937021573519163,0.0,Tier4c_ambiguous_direction_uncertain,ambiguous because direction is uncertain or year-sensitive,expanded temporal risk pool only; useful for feedback/same-day/transition audit,direction_difference_not_stable,direction_uncertain,
T3_back17,V_high_minus_low_35_55_minus_20_30,P_spread_lat,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.1008991008991009,0.1891858141858142,0.1891858141858142,0.09490509490509491,0.23028442146089206,0.23028442146089206,same_p_support_flag,5,-0.1979091409887506,0.1979091409887506,-5,0.0912304833427812,0.0912304833427812,-0.030894016702622134,0.030894016702622134,0.1134870152753927,-0.0701577891209454,0.23461388175963138,-0.11943163779368617,0.25023294461749135,0.836,0.15910945147011676,0.005380456205510452,0.2530787145980127,-0.012254927179831227,0.2753472853557476,0.956,0.9559370215735191,0.9301833769799221,0.95,0.9301833769799221,minor,none,minor,0.005937021573519163,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_high_minus_low_35_55_minus_20_30,P_north_band_share_35_45,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.7322677322677322,0.769580737733604,0.769580737733604,0.6993006993006993,0.7349338559529641,0.7349338559529641,same_p_support_flag,5,-0.0541016587009084,0.0541016587009084,-5,0.11112752184162318,0.11112752184162318,0.04806434434735035,0.04806434434735035,-0.06471171739954339,-0.14980035439153186,0.08290896737166617,-0.16935288298339568,0.10191241574886413,0.308,-0.00887387291874192,-0.038022810107997525,0.12730815235653362,-0.04424140032556664,0.15337661263353822,0.538,0.9559370215735191,0.9223838668163357,0.95,0.9223838668163357,minor,none,minor,0.005937021573519163,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_high_minus_low_35_55_minus_20_30,P_north_minus_main_35_45,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.06293706293706294,0.14626218851570966,0.14626218851570966,0.12287712287712288,0.2534340659340659,0.2534340659340659,same_p_support_flag,2,0.22062379535152365,0.22062379535152365,-1,0.07738562531082777,0.07738562531082777,0.14734078521679037,0.14734078521679037,0.14085993752836015,-0.03504465395481345,0.1994198731136031,-0.07397863976950875,0.21713057105595132,0.908,0.05784366103095931,0.005314051440080503,0.131669020506082,-0.0016643669004504404,0.14734679416188323,0.966,0.9559370215735191,0.9264410501550391,0.95,0.9264410501550391,minor,none,minor,0.005937021573519163,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_high_minus_low_35_55_minus_20_30,P_total_centroid_lat_10_50,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.44555444555444557,0.5251177394034537,0.5251177394034537,0.43156843156843155,0.5286935286935287,0.5286935286935287,same_p_support_flag,4,-0.1034305930748988,0.1034305930748988,-5,0.16821819839998134,0.16821819839998134,-0.013178171314862552,0.013178171314862552,-0.07532440168511342,-0.2203857837006415,0.09385046937505792,-0.2364411439209388,0.10993633438650052,0.257,0.07193758076114318,-0.04843477007577158,0.16135811412906,-0.05504530846294657,0.18067848513852877,0.793,0.9559370215735191,0.9424824575659914,0.95,0.9424824575659914,minor,none,minor,0.005937021573519163,0.0,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
T3_back17,V_high_minus_low_35_55_minus_20_30,P_main_28_35_mean,V,P,lead_lag_ambiguous_coupled_or_feedback_like,lead_lag_ambiguous,same_day_short_lag_mixed,True,0.004995004995004995,0.03803888419273035,0.03803888419273035,0.060939060939060936,0.17955259026687598,0.17955259026687598,audit_more_conservative,2,-0.31324303984580504,0.31324303984580504,-1,-0.1225152623344984,0.1225152623344984,-0.22066137443318043,0.22066137443318043,0.18735983576515153,-0.007753578817916268,0.2439232183022673,-0.048771562910542604,0.2628450499859857,0.939,0.08039477333667774,0.0199945679532955,0.17359046086431892,0.014022660085448243,0.1951501977371192,0.994,0.9559370215735191,0.9304560080221362,0.95,0.9304560080221362,minor,none,minor,0.005937021573519163,0.0,Tier4b_ambiguous_same_day_dominant,ambiguous because same-day coupling is dominant or mixed,expanded temporal risk pool only; useful for feedback/same-day/transition audit,positive_support_with_same_day_or_uncertain_direction,same_day_short_lag_mixed,
T3_back17,V_high_minus_low_35_55_minus_20_30,P_south_10_25_mean,V,P,lead_lag_no_not_supported,lead_lag_no,no_directional_signal,False,0.07692307692307693,0.16483516483516486,0.16483516483516486,0.0919080919080919,0.22880104969657208,0.22880104969657208,same_p_support_flag,4,0.2059064321908693,0.2059064321908693,-5,-0.19560313662044074,0.19560313662044074,0.0787352714998584,0.0787352714998584,0.01332002207611066,-0.20591089657743256,0.19659564793809908,-0.2399242828445594,0.2168290905604126,0.524,0.11776511108298496,0.016551752768889774,0.20418697795750038,-0.02728818691367699,0.2261577114809033,0.961,0.9559370215735191,0.9583714601047685,0.95,0.95,minor,minor,minor,0.005937021573519163,0.008371460104768524,Tier5a_no_not_supported,positive-lag statistical support not established,exclude from strict and expanded lead-lag candidate pools unless needed as negative evidence,positive_lag_not_supported,,
