pc_phase,mode,window_id,object,selected_candidate_id,selected_peak_day,selected_window_start,selected_window_end,selected_role,support_class,selection_reason,excluded_candidates,early_secondary_candidates,late_secondary_candidates,n_years_in_group,years_in_group,peak_source,detector_status
high,1,W113,P,CP001,113,103,123,within_system_window,unstable_window,system_relevant_first,CP002@138:unstable_window;CP003@130:unstable_window,,CP002@138:unstable_window;CP003@130:unstable_window,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
high,1,W113,V,CP001,108,98,118,within_system_window,unstable_window,system_relevant_first,CP002@135:unstable_window;CP003@121:unstable_window,,CP002@135:unstable_window,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
high,1,W113,H,CP002,114,104,124,within_system_window,unstable_window,system_relevant_first,CP001@131:unstable_window,,CP001@131:unstable_window,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
high,1,W113,Je,CP003,111,101,121,within_system_window,unstable_window,system_relevant_first,CP001@132:unstable_window;CP002@107:unstable_window,,CP001@132:unstable_window,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
high,1,W113,Jw,CP001,108,98,118,within_system_window,unstable_window,system_relevant_first,CP002@123:unstable_window,,,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020,v7_detector_zero_bootstrap,ok
low,1,W113,P,CP002,113,103,123,within_system_window,unstable_window,system_relevant_first,CP001@106:unstable_window;CP003@124:unstable_window,,CP003@124:unstable_window,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
low,1,W113,V,CP001,114,104,124,within_system_window,unstable_window,system_relevant_first,,,,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
low,1,W113,H,CP001,116,106,126,within_system_window,unstable_window,system_relevant_first,CP002@127:unstable_window;CP003@135:unstable_window,,CP002@127:unstable_window;CP003@135:unstable_window,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
low,1,W113,Je,CP001,109,99,119,within_system_window,unstable_window,system_relevant_first,CP002@129:unstable_window,,CP002@129:unstable_window,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
low,1,W113,Jw,CP001,103,98,113,front_or_early,unstable_window,system_relevant_first,CP002@137:unstable_window;CP003@130:unstable_window,,CP002@137:unstable_window;CP003@130:unstable_window,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997,v7_detector_zero_bootstrap,ok
high,2,W113,P,CP001,104,98,114,front_or_early,unstable_window,system_relevant_first,CP002@137:unstable_window;CP003@123:unstable_window,,CP002@137:unstable_window,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
high,2,W113,V,CP001,101,98,111,front_or_early,unstable_window,system_relevant_first,CP002@120:unstable_window,,,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
high,2,W113,H,CP002,109,99,119,within_system_window,unstable_window,system_relevant_first,CP001@101:unstable_window;CP003@127:unstable_window;CP004@138:unstable_window,,CP003@127:unstable_window;CP004@138:unstable_window,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
high,2,W113,Je,CP003,118,118,118,within_system_window,unstable_window,system_relevant_first,CP001@106:unstable_window;CP002@131:unstable_window,,CP002@131:unstable_window,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
high,2,W113,Jw,CP002,101,98,111,front_or_early,unstable_window,system_relevant_first,CP001@130:unstable_window,,CP001@130:unstable_window,15,2011;2006;2005;2012;1998;2023;2016;1981;2017;2013;2021;2010;2018;1994;2022,v7_detector_zero_bootstrap,ok
