window_id,mode,object_A,object_B,peak_A_high,peak_B_high,delta_high,order_high,peak_A_low,peak_B_low,delta_low,order_low,delta_shift_high_minus_low,order_changed_flag,order_contrast_type
W113,1,H,Je,114.0,111.0,-3.0,same_day_or_near,116.0,109.0,-7.0,B_earlier,4.0,True,synchrony_or_order_shift
W113,1,H,Jw,114.0,108.0,-6.0,B_earlier,116.0,103.0,-13.0,B_earlier,7.0,False,lead_lag_strengthened_in_low
W113,1,Je,Jw,111.0,108.0,-3.0,same_day_or_near,109.0,103.0,-6.0,B_earlier,3.0,True,synchrony_or_order_shift
W113,1,P,H,113.0,114.0,1.0,same_day_or_near,113.0,116.0,3.0,same_day_or_near,-2.0,False,lead_lag_strengthened_in_low
W113,1,P,Je,113.0,111.0,-2.0,same_day_or_near,113.0,109.0,-4.0,B_earlier,2.0,True,synchrony_or_order_shift
W113,1,P,Jw,113.0,108.0,-5.0,B_earlier,113.0,103.0,-10.0,B_earlier,5.0,False,lead_lag_strengthened_in_low
W113,1,P,V,113.0,108.0,-5.0,B_earlier,113.0,114.0,1.0,same_day_or_near,-6.0,True,synchrony_or_order_shift
W113,1,V,H,108.0,114.0,6.0,A_earlier,114.0,116.0,2.0,same_day_or_near,4.0,True,synchrony_or_order_shift
W113,1,V,Je,108.0,111.0,3.0,same_day_or_near,114.0,109.0,-5.0,B_earlier,8.0,True,synchrony_or_order_shift
W113,1,V,Jw,108.0,108.0,0.0,same_day_or_near,114.0,103.0,-11.0,B_earlier,11.0,True,synchrony_or_order_shift
W113,2,H,Je,109.0,118.0,9.0,A_earlier,118.0,113.0,-5.0,B_earlier,14.0,True,reversal_like
W113,2,H,Jw,109.0,101.0,-8.0,B_earlier,118.0,113.0,-5.0,B_earlier,-3.0,False,lead_lag_strengthened_in_high
W113,2,Je,Jw,118.0,101.0,-17.0,B_earlier,113.0,113.0,0.0,same_day_or_near,-17.0,True,synchrony_or_order_shift
W113,2,P,H,104.0,109.0,5.0,A_earlier,112.0,118.0,6.0,A_earlier,-1.0,False,no_clear_order_change
W113,2,P,Je,104.0,118.0,14.0,A_earlier,112.0,113.0,1.0,same_day_or_near,13.0,True,synchrony_or_order_shift
W113,2,P,Jw,104.0,101.0,-3.0,same_day_or_near,112.0,113.0,1.0,same_day_or_near,-4.0,False,lead_lag_strengthened_in_high
W113,2,P,V,104.0,101.0,-3.0,same_day_or_near,112.0,105.0,-7.0,B_earlier,4.0,True,synchrony_or_order_shift
W113,2,V,H,101.0,109.0,8.0,A_earlier,105.0,118.0,13.0,A_earlier,-5.0,False,lead_lag_strengthened_in_low
W113,2,V,Je,101.0,118.0,17.0,A_earlier,105.0,113.0,8.0,A_earlier,9.0,False,lead_lag_strengthened_in_high
W113,2,V,Jw,101.0,101.0,0.0,same_day_or_near,105.0,113.0,8.0,A_earlier,-8.0,True,synchrony_or_order_shift
W113,3,H,Je,109.0,104.0,-5.0,B_earlier,117.0,115.0,-2.0,same_day_or_near,-3.0,True,synchrony_or_order_shift
W113,3,H,Jw,109.0,104.0,-5.0,B_earlier,117.0,113.0,-4.0,B_earlier,-1.0,False,no_clear_order_change
W113,3,Je,Jw,104.0,104.0,0.0,same_day_or_near,115.0,113.0,-2.0,same_day_or_near,2.0,False,lead_lag_strengthened_in_low
W113,3,P,H,118.0,109.0,-9.0,B_earlier,116.0,117.0,1.0,same_day_or_near,-10.0,True,synchrony_or_order_shift
W113,3,P,Je,118.0,104.0,-14.0,B_earlier,116.0,115.0,-1.0,same_day_or_near,-13.0,True,synchrony_or_order_shift
W113,3,P,Jw,118.0,104.0,-14.0,B_earlier,116.0,113.0,-3.0,same_day_or_near,-11.0,True,synchrony_or_order_shift
W113,3,P,V,118.0,110.0,-8.0,B_earlier,116.0,114.0,-2.0,same_day_or_near,-6.0,True,synchrony_or_order_shift
W113,3,V,H,110.0,109.0,-1.0,same_day_or_near,114.0,117.0,3.0,same_day_or_near,-4.0,False,lead_lag_strengthened_in_low
W113,3,V,Je,110.0,104.0,-6.0,B_earlier,114.0,115.0,1.0,same_day_or_near,-7.0,True,synchrony_or_order_shift
W113,3,V,Jw,110.0,104.0,-6.0,B_earlier,114.0,113.0,-1.0,same_day_or_near,-5.0,True,synchrony_or_order_shift
