window_id,mode,pc_phase,object_A,object_B,peak_A,peak_B,delta_B_minus_A,tau_sync_primary_used,order_label,n_years_in_group,years_in_group
W113,1,high,P,V,113.0,108.0,-5.0,3.0,B_earlier,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,high,P,H,113.0,114.0,1.0,3.0,same_day_or_near,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,high,P,Je,113.0,111.0,-2.0,3.0,same_day_or_near,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,high,P,Jw,113.0,108.0,-5.0,3.0,B_earlier,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,high,V,H,108.0,114.0,6.0,3.0,A_earlier,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,high,V,Je,108.0,111.0,3.0,3.0,same_day_or_near,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,high,V,Jw,108.0,108.0,0.0,3.0,same_day_or_near,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,high,H,Je,114.0,111.0,-3.0,3.0,same_day_or_near,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,high,H,Jw,114.0,108.0,-6.0,3.0,B_earlier,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,high,Je,Jw,111.0,108.0,-3.0,3.0,same_day_or_near,15,2023;2009;1980;2014;2010;2021;1983;1995;2017;2022;1993;1987;2003;1998;2020
W113,1,low,P,V,113.0,114.0,1.0,3.0,same_day_or_near,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
W113,1,low,P,H,113.0,116.0,3.0,3.0,same_day_or_near,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
W113,1,low,P,Je,113.0,109.0,-4.0,3.0,B_earlier,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
W113,1,low,P,Jw,113.0,103.0,-10.0,3.0,B_earlier,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
W113,1,low,V,H,114.0,116.0,2.0,3.0,same_day_or_near,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
W113,1,low,V,Je,114.0,109.0,-5.0,3.0,B_earlier,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
W113,1,low,V,Jw,114.0,103.0,-11.0,3.0,B_earlier,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
W113,1,low,H,Je,116.0,109.0,-7.0,3.0,B_earlier,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
W113,1,low,H,Jw,116.0,103.0,-13.0,3.0,B_earlier,15,2000;2018;1984;1994;1986;2001;1985;1981;1999;2012;2002;2004;2011;1989;1997
