cluster_id,joint_all,joint_all_tier,P,P_tier,V,V_tier,H,H_tier,Je,Je_tier,Jw,Jw_tier,marker_supported_active_objects,curve_only_ramp_or_shoulder_objects,weak_curve_signal_objects,absent_or_missing_objects,event_semantics_core_objects,interpretation_note
E1_early_precluster,candidate_inside_cluster,marker_supported_active,candidate_inside_cluster,marker_supported_active,candidate_inside_cluster,marker_supported_active,candidate_inside_cluster,marker_supported_active,weak_curve_signal,weak_curve_signal,weak_curve_signal,weak_curve_signal,joint_all;P;V;H,,Je;Jw,,joint_all;P;V;H,marker_supported_active is the event-semantics core. curve_only_ramp_or_shoulder indicates curve elevation without an in-cluster candidate marker and should not be treated as equal active participation.
E2_second_precluster,curve_peak_without_marker,curve_only_ramp_or_shoulder,candidate_inside_cluster,marker_supported_active,candidate_inside_cluster,marker_supported_active,candidate_inside_cluster,marker_supported_active,candidate_inside_cluster,marker_supported_active,curve_peak_without_marker,curve_only_ramp_or_shoulder,P;V;H;Je,joint_all;Jw,,,P;V;H;Je,marker_supported_active is the event-semantics core. curve_only_ramp_or_shoulder indicates curve elevation without an in-cluster candidate marker and should not be treated as equal active participation.
M_w045_main_cluster,candidate_inside_cluster,marker_supported_active,candidate_inside_cluster,marker_supported_active,candidate_inside_cluster,marker_supported_active,no_signal,absent_or_missing,candidate_inside_cluster,marker_supported_active,candidate_inside_cluster,marker_supported_active,joint_all;P;V;Je;Jw,,,H,joint_all;P;V;Je;Jw,marker_supported_active is the event-semantics core. curve_only_ramp_or_shoulder indicates curve elevation without an in-cluster candidate marker and should not be treated as equal active participation.
H_post_reference,weak_curve_signal,weak_curve_signal,weak_curve_signal,weak_curve_signal,weak_curve_signal,weak_curve_signal,candidate_inside_cluster,marker_supported_active,weak_curve_signal,weak_curve_signal,weak_curve_signal,weak_curve_signal,H,,joint_all;P;V;Je;Jw,,H,marker_supported_active is the event-semantics core. curve_only_ramp_or_shoulder indicates curve elevation without an in-cluster candidate marker and should not be treated as equal active participation.
