object,left_cluster,right_cluster,left_peak_day,right_peak_day,left_peak_score,right_peak_score,valley_day,valley_score,absolute_valley_depth,relative_valley_depth,peak_separation_days,left_candidate_inside,right_candidate_inside,morphology_class
joint_all,E1_early_precluster,E2_second_precluster,18.0,38.0,3.021425291663116,3.7132988032995504,25.0,2.231316523889324,0.7901087677737921,0.26150200369140486,20.0,True,False,left_peak_only
joint_all,E2_second_precluster,M_w045_main_cluster,38.0,45.0,3.7132988032995504,5.878578493131532,39.0,3.999815973788716,-0.28651717048916536,-0.07715974007655213,7.0,False,True,right_peak_only
joint_all,M_w045_main_cluster,H_post_reference,45.0,62.0,5.878578493131532,2.3484472994885826,51.0,2.4480865827338416,-0.09963928324525906,-0.04242772800009493,17.0,True,False,left_peak_only
P,E1_early_precluster,E2_second_precluster,18.0,38.0,4.698734265329099,15.011627201822623,24.0,2.9757658785910523,1.7229683867380468,0.3666877693959929,20.0,True,True,separated_double_peak
P,E2_second_precluster,M_w045_main_cluster,38.0,45.0,15.011627201822623,26.56346583877,39.0,17.080891456966242,-2.0692642551436187,-0.13784410093080254,7.0,True,True,broad_continuous_adjustment
P,M_w045_main_cluster,H_post_reference,45.0,62.0,26.56346583877,11.043894375736285,51.0,4.783355078776255,6.2605392969600295,0.5668778678936475,17.0,True,False,left_peak_only
V,E1_early_precluster,E2_second_precluster,16.0,38.0,5.335538519795408,8.126451448039939,24.0,3.942859910022266,1.3926786097731423,0.2610193150337418,22.0,True,True,partially_separated_or_unclear
V,E2_second_precluster,M_w045_main_cluster,38.0,45.0,8.126451448039939,19.23500775537361,39.0,9.79089190044655,-1.6644404524066108,-0.20481762095656966,7.0,True,True,broad_continuous_adjustment
V,M_w045_main_cluster,H_post_reference,45.0,62.0,19.23500775537361,7.830137499468828,51.0,8.69287070272132,-0.8627332032524926,-0.11018110516079925,17.0,True,False,left_peak_only
H,E1_early_precluster,E2_second_precluster,19.0,35.0,18.08402735192542,10.10918859242761,26.0,8.643750231614934,1.4654383608126764,0.14496102703142544,16.0,True,True,broad_continuous_adjustment
H,E2_second_precluster,M_w045_main_cluster,35.0,40.0,10.10918859242761,4.76587438338236,39.0,6.339217246253232,-1.5733428628708719,-0.33012680073079564,5.0,True,False,left_peak_only
H,M_w045_main_cluster,H_post_reference,40.0,57.0,4.76587438338236,3.066305324426809,49.0,0.8484935139938596,2.2178118104329494,0.7232847273118602,17.0,False,True,right_peak_only
Je,E1_early_precluster,E2_second_precluster,23.0,27.0,5.270180460892664,5.923800405139695,24.0,5.652687245532948,-0.38250678464028365,-0.07257944722740947,4.0,False,True,right_peak_only
Je,E2_second_precluster,M_w045_main_cluster,27.0,46.0,5.923800405139695,12.201986759874025,39.0,2.726614186275543,3.197186218864152,0.5397187616399368,19.0,True,True,separated_double_peak
Je,M_w045_main_cluster,H_post_reference,46.0,52.0,12.201986759874025,5.687902402331844,51.0,6.622660341222669,-0.9347579388908249,-0.16434141670708105,6.0,True,False,left_peak_only
Jw,E1_early_precluster,E2_second_precluster,14.0,38.0,4.883965322489396,9.394767120960315,25.0,1.6723469288360135,3.2116183936533824,0.657584192677354,24.0,False,False,weak_or_unclear
Jw,E2_second_precluster,M_w045_main_cluster,38.0,41.0,9.394767120960315,11.770966007882706,39.0,10.68819037665218,-1.2934232556918648,-0.13767486080694394,3.0,False,True,right_peak_only
Jw,M_w045_main_cluster,H_post_reference,41.0,52.0,11.770966007882706,5.219347563769221,51.0,6.05162818329436,-0.8322806195251395,-0.15946066234456652,11.0,True,False,left_peak_only
