window_id,bootstrap_id,object,selected_peak_day,peak_score,selected_candidate_id
W160,0,P,157.0,,
W160,0,V,148.0,,
W160,0,H,159.0,,
W160,0,Je,162.0,,
W160,0,Jw,157.0,,
W160,1,P,159.0,,
W160,1,V,160.0,,
W160,1,H,155.0,,
W160,1,Je,161.0,,
W160,1,Jw,163.0,,
W160,2,P,158.0,,
W160,2,V,161.0,,
W160,2,H,156.0,,
W160,2,Je,161.0,,
W160,2,Jw,149.0,,
W160,3,P,158.0,,
W160,3,V,162.0,,
W160,3,H,142.0,,
W160,3,Je,161.0,,
W160,3,Jw,151.0,,
W160,4,P,157.0,,
W160,4,V,161.0,,
W160,4,H,165.0,,
W160,4,Je,162.0,,
W160,4,Jw,152.0,,
W160,5,P,157.0,,
W160,5,V,155.0,,
W160,5,H,157.0,,
W160,5,Je,162.0,,
W160,5,Jw,165.0,,
W160,6,P,156.0,,
W160,6,V,154.0,,
W160,6,H,159.0,,
W160,6,Je,164.0,,
W160,6,Jw,142.0,,
W160,7,P,157.0,,
W160,7,V,167.0,,
W160,7,H,158.0,,
W160,7,Je,162.0,,
W160,7,Jw,154.0,,
W160,8,P,160.0,,
W160,8,V,155.0,,
W160,8,H,155.0,,
W160,8,Je,161.0,,
W160,8,Jw,150.0,,
W160,9,P,159.0,,
W160,9,V,161.0,,
W160,9,H,156.0,,
W160,9,Je,165.0,,
W160,9,Jw,151.0,,
W160,10,P,156.0,,
W160,10,V,161.0,,
W160,10,H,155.0,,
W160,10,Je,164.0,,
W160,10,Jw,164.0,,
W160,11,P,156.0,,
W160,11,V,161.0,,
W160,11,H,154.0,,
W160,11,Je,161.0,,
W160,11,Jw,152.0,,
W160,12,P,158.0,,
W160,12,V,161.0,,
W160,12,H,155.0,,
W160,12,Je,163.0,,
W160,12,Jw,165.0,,
W160,13,P,159.0,,
W160,13,V,161.0,,
W160,13,H,156.0,,
W160,13,Je,164.0,,
W160,13,Jw,151.0,,
W160,14,P,157.0,,
W160,14,V,160.0,,
W160,14,H,163.0,,
W160,14,Je,160.0,,
W160,14,Jw,152.0,,
W160,15,P,165.0,,
W160,15,V,161.0,,
W160,15,H,154.0,,
W160,15,Je,160.0,,
W160,15,Jw,150.0,,
W160,16,P,156.0,,
W160,16,V,163.0,,
W160,16,H,163.0,,
W160,16,Je,161.0,,
W160,16,Jw,157.0,,
W160,17,P,159.0,,
W160,17,V,163.0,,
W160,17,H,155.0,,
W160,17,Je,159.0,,
W160,17,Jw,150.0,,
W160,18,P,158.0,,
W160,18,V,160.0,,
W160,18,H,154.0,,
W160,18,Je,159.0,,
W160,18,Jw,145.0,,
W160,19,P,158.0,,
W160,19,V,161.0,,
W160,19,H,165.0,,
W160,19,Je,158.0,,
W160,19,Jw,166.0,,
W160,20,P,158.0,,
W160,20,V,163.0,,
