peak_id,peak_day,peak_score,peak_prominence,selection_frequency_raw,selection_frequency_smooth
LP005,113,9.678099825113602,7.556092339736476,0.194,0.19666666666666668
LP003,81,9.238311473412097,4.2285212740596405,0.116,0.11333333333333336
LP008,160,7.120567750300529,2.684733245250058,0.167,0.1506666666666667
LP004,96,6.44414632933013,1.1935943825533588,0.116,0.13000000000000003
LP002,45,5.878578493131532,3.6472619692422086,0.398,0.2753333333333334
LP007,135,3.7666081070788318,1.4709574724059107,0.109,0.10233333333333335
LP006,132,3.7541518352022365,0.00977477683365846,0.111,0.09700000000000003
LP001,18,3.021425291663116,0.3019803443929008,0.142,0.131
