replicate_id,status,n_valid_days,n_detected_local_peaks
396,success,175,7
397,success,175,9
398,success,175,9
399,success,175,8
400,success,175,12
401,success,175,9
402,success,175,8
403,success,175,8
404,success,175,8
405,success,175,9
406,success,175,10
407,success,175,9
408,success,175,8
409,success,175,9
410,success,175,11
411,success,175,8
412,success,175,10
413,success,175,8
414,success,175,10
415,success,175,7
416,success,175,10
417,success,175,8
418,success,175,8
419,success,175,10
420,success,175,11
421,success,175,9
422,success,175,8
423,success,175,11
424,success,175,8
425,success,175,8
426,success,175,8
427,success,175,8
428,success,175,10
429,success,175,8
430,success,175,8
431,success,175,7
432,success,175,11
433,success,175,9
434,success,175,9
435,success,175,9
436,success,175,7
437,success,175,7
438,success,175,7
439,success,175,9
440,success,175,7
441,success,175,7
442,success,175,8
443,success,175,8
444,success,175,10
445,success,175,7
446,success,175,7
447,success,175,10
448,success,175,12
449,success,175,8
450,success,175,8
451,success,175,10
452,success,175,8
453,success,175,9
454,success,175,10
455,success,175,9
456,success,175,8
457,success,175,7
458,success,175,9
459,success,175,9
460,success,175,9
461,success,175,9
462,success,175,9
463,success,175,11
464,success,175,8
465,success,175,9
466,success,175,10
467,success,175,7
468,success,175,10
469,success,175,9
470,success,175,8
471,success,175,9
472,success,175,10
473,success,175,8
474,success,175,8
475,success,175,8
476,success,175,9
477,success,175,8
478,success,175,8
479,success,175,10
480,success,175,8
481,success,175,11
482,success,175,8
483,success,175,10
484,success,175,6
485,success,175,9
486,success,175,8
487,success,175,8
488,success,175,9
489,success,175,9
490,success,175,8
491,success,175,11
492,success,175,10
493,success,175,7
494,success,175,11
495,success,175,9
496,success,175,11
497,success,175,8
498,success,175,8
499,success,175,9
500,success,175,11
501,success,175,8
502,success,175,11
503,success,175,7
504,success,175,10
505,success,175,9
506,success,175,9
507,success,175,10
508,success,175,8
509,success,175,8
510,success,175,7
511,success,175,8
512,success,175,10
513,success,175,10
514,success,175,8
515,success,175,8
516,success,175,9
517,success,175,9
518,success,175,8
519,success,175,10
520,success,175,6
521,success,175,10
522,success,175,8
523,success,175,6
524,success,175,7
525,success,175,9
526,success,175,9
