day,month_day,n_selected_replicates,selection_frequency_raw,selection_frequency_smooth
0,04-01,0,0.0,0.0
1,04-02,0,0.0,0.0
2,04-03,0,0.0,0.0
3,04-04,0,0.0,0.0
4,04-05,0,0.0,0.0
5,04-06,0,0.0,0.0
6,04-07,0,0.0,0.0
7,04-08,0,0.0,0.0
8,04-09,0,0.0,0.0
9,04-10,0,0.0,0.0
10,04-11,0,0.0,0.0
11,04-12,0,0.0,0.0
12,04-13,0,0.0,0.0
13,04-14,0,0.0,0.0
14,04-15,0,0.0,0.030333333333333334
15,04-16,91,0.091,0.056999999999999995
16,04-17,80,0.08,0.07866666666666666
17,04-18,65,0.065,0.09566666666666668
18,04-19,142,0.142,0.131
19,04-20,186,0.186,0.14733333333333334
20,04-21,114,0.114,0.11133333333333334
21,04-22,34,0.034,0.062000000000000006
22,04-23,38,0.038,0.03433333333333335
23,04-24,31,0.031,0.02600000000000001
24,04-25,9,0.009,0.017666666666666674
25,04-26,13,0.013,0.015666666666666676
26,04-27,25,0.025,0.02366666666666668
27,04-28,33,0.033,0.026666666666666675
28,04-29,22,0.022,0.02800000000000001
29,04-30,29,0.029,0.03000000000000001
30,05-01,39,0.039,0.05133333333333334
31,05-02,86,0.086,0.069
32,05-03,82,0.082,0.08700000000000001
33,05-04,93,0.093,0.10066666666666668
34,05-05,127,0.127,0.08800000000000001
35,05-06,44,0.044,0.06366666666666668
36,05-07,20,0.02,0.025333333333333343
37,05-08,12,0.012,0.013333333333333343
38,05-09,8,0.008,0.009333333333333343
39,05-10,8,0.008,0.012666666666666675
40,05-11,22,0.022,0.02200000000000001
41,05-12,36,0.036,0.03200000000000001
42,05-13,38,0.038,0.04100000000000001
43,05-14,49,0.049,0.09666666666666668
44,05-15,203,0.203,0.2166666666666667
45,05-16,398,0.398,0.2753333333333334
46,05-17,225,0.225,0.21633333333333338
47,05-18,26,0.026,0.08666666666666668
48,05-19,9,0.009,0.012666666666666685
49,05-20,3,0.003,0.005666666666666685
50,05-21,5,0.005,0.004000000000000018
51,05-22,4,0.004,0.004666666666666686
52,05-23,5,0.005,0.004000000000000018
53,05-24,3,0.003,0.004000000000000018
54,05-25,4,0.004,0.00833333333333335
55,05-26,18,0.018,0.027666666666666683
56,05-27,61,0.061,0.05266666666666669
57,05-28,79,0.079,0.057333333333333354
58,05-29,32,0.032,0.03800000000000003
59,05-30,3,0.003,0.01200000000000002
60,05-31,1,0.001,0.0020000000000000187
61,06-01,2,0.002,0.0023333333333333517
62,06-02,4,0.004,0.010000000000000018
63,06-03,24,0.024,0.03166666666666668
64,06-04,67,0.067,0.10033333333333334
65,06-05,210,0.21,0.12366666666666666
66,06-06,94,0.094,0.11400000000000003
67,06-07,38,0.038,0.06300000000000001
68,06-08,57,0.057,0.05266666666666669
69,06-09,63,0.063,0.04933333333333335
70,06-10,28,0.028,0.03833333333333335
71,06-11,24,0.024,0.019666666666666686
72,06-12,7,0.007,0.017666666666666685
73,06-13,22,0.022,0.01733333333333335
74,06-14,23,0.023,0.027000000000000014
75,06-15,36,0.036,0.04300000000000002
76,06-16,70,0.07,0.06566666666666669
77,06-17,91,0.091,0.08633333333333336
78,06-18,98,0.098,0.09933333333333334
79,06-19,109,0.109,0.10166666666666668
80,06-20,98,0.098,0.10766666666666669
81,06-21,116,0.116,0.11333333333333336
82,06-22,126,0.126,0.12233333333333335
83,06-23,125,0.125,0.11300000000000003
84,06-24,88,0.088,0.08900000000000002
85,06-25,54,0.054,0.054666666666666676
86,06-26,22,0.022,0.03433333333333335
87,06-27,27,0.027,0.019666666666666683
88,06-28,10,0.01,0.015000000000000019
89,06-29,8,0.008,0.009000000000000018
90,06-30,9,0.009,0.007666666666666685
91,07-01,6,0.006,0.013666666666666686
92,07-02,26,0.026,0.023333333333333355
93,07-03,38,0.038,0.05233333333333335
94,07-04,93,0.093,0.10433333333333335
95,07-05,182,0.182,0.13033333333333336
96,07-06,116,0.116,0.13000000000000003
97,07-07,92,0.092,0.09233333333333336
98,07-08,69,0.069,0.07966666666666669
99,07-09,78,0.078,0.06900000000000002
100,07-10,60,0.06,0.06733333333333336
101,07-11,64,0.064,0.049000000000000016
102,07-12,23,0.023,0.033333333333333354
103,07-13,13,0.013,0.013000000000000018
104,07-14,3,0.003,0.006000000000000018
105,07-15,2,0.002,0.0016666666666666852
106,07-16,0,0.0,0.0030000000000000187
107,07-17,7,0.007,0.0070000000000000175
108,07-18,14,0.014,0.02200000000000002
109,07-19,45,0.045,0.047000000000000014
110,07-20,82,0.082,0.07700000000000001
111,07-21,104,0.104,0.12266666666666669
112,07-22,182,0.182,0.16
113,07-23,194,0.194,0.19666666666666668
114,07-24,214,0.214,0.17600000000000002
115,07-25,120,0.12,0.12100000000000001
116,07-26,29,0.029,0.05266666666666669
117,07-27,9,0.009,0.012666666666666685
118,07-28,0,0.0,0.0030000000000000183
119,07-29,0,0.0,0.00033333333333335186
120,07-30,1,0.001,0.0006666666666666852
121,07-31,1,0.001,0.001
122,08-01,1,0.001,0.0020000000000000187
123,08-02,4,0.004,0.00800000000000002
124,08-03,19,0.019,0.023666666666666687
125,08-04,48,0.048,0.039000000000000014
126,08-05,50,0.05,0.04800000000000002
127,08-06,46,0.046,0.047666666666666684
128,08-07,47,0.047,0.05966666666666668
129,08-08,86,0.086,0.08133333333333335
130,08-09,111,0.111,0.10400000000000002
131,08-10,115,0.115,0.11233333333333335
132,08-11,111,0.111,0.09700000000000003
133,08-12,65,0.065,0.08100000000000002
134,08-13,67,0.067,0.08033333333333335
135,08-14,109,0.109,0.10233333333333335
136,08-15,131,0.131,0.11833333333333335
137,08-16,115,0.115,0.09900000000000002
138,08-17,51,0.051,0.06200000000000002
139,08-18,20,0.02,0.03300000000000002
140,08-19,28,0.028,0.025666666666666685
141,08-20,29,0.029,0.03433333333333335
142,08-21,46,0.046,0.039000000000000014
143,08-22,42,0.042,0.03166666666666668
144,08-23,7,0.007,0.020000000000000018
145,08-24,11,0.011,0.012000000000000018
146,08-25,18,0.018,0.017666666666666685
147,08-26,24,0.024,0.018666666666666682
148,08-27,14,0.014,0.016000000000000018
149,08-28,10,0.01,0.010666666666666685
150,08-29,8,0.008,0.008333333333333352
151,08-30,7,0.007,0.006333333333333351
152,08-31,4,0.004,0.006666666666666685
153,09-01,9,0.009,0.01433333333333335
154,09-02,30,0.03,0.03600000000000002
155,09-03,69,0.069,0.05033333333333335
156,09-04,52,0.052,0.07000000000000002
157,09-05,89,0.089,0.08866666666666667
158,09-06,125,0.125,0.10033333333333334
159,09-07,87,0.087,0.12633333333333335
160,09-08,167,0.167,0.1506666666666667
161,09-09,198,0.198,0.1646666666666667
162,09-10,129,0.129,0.12700000000000003
163,09-11,54,0.054,0.07033333333333334
164,09-12,28,0.028,0.03766666666666669
165,09-13,31,0.031,0.02533333333333335
166,09-14,17,0.017,0.01866666666666669
167,09-15,8,0.008,0.008333333333333352
168,09-16,0,0.0,0.0026666666666666852
169,09-17,0,0.0,0.0
170,09-18,0,0.0,0.0
