mode,source_object_E2,target_object_M,base_spearman,source_leave_day_median_abs_delta,source_leave_day_max_abs_delta,source_leave_day_sign_stability,target_leave_day_median_abs_delta,target_leave_day_max_abs_delta,target_leave_day_sign_stability,all_leave_day_sign_stability,leave_day_reliability_class
anomaly,P,P,-0.10909090909090909,0.016930171277997362,0.05296442687747037,1.0,0.0073781291172595465,0.039262187088274045,1.0,1.0,stable
anomaly,P,V,-0.14137022397891963,0.014624505928853754,0.03544137022397892,1.0,0.008827404479578388,0.020158102766798414,1.0,1.0,stable
anomaly,P,H,-0.1509881422924901,0.01831357048748354,0.03109354413702238,1.0,0.01330698287220028,0.03899868247694334,1.0,1.0,stable
anomaly,P,Je,-0.05085638998682477,0.01021080368906456,0.020289855072463774,1.0,0.013306982872200265,0.044400527009222666,1.0,1.0,stable
anomaly,P,Jw,-0.12608695652173912,0.010869565217391297,0.025691699604743073,1.0,0.013833992094861663,0.04743083003952568,1.0,1.0,stable
anomaly,V,P,-0.26047430830039525,0.010474308300395238,0.026218708827404458,1.0,0.014492753623188415,0.02832674571805005,1.0,1.0,stable
anomaly,V,V,-0.19525691699604744,0.011594202898550732,0.038998682476943325,1.0,0.013043478260869545,0.0383399209486166,1.0,1.0,stable
anomaly,V,H,-0.04084321475625823,0.0046113306982872235,0.01818181818181818,1.0,0.012779973649538864,0.022397891963109352,1.0,1.0,stable
anomaly,V,Je,-0.27523056653491434,0.008498023715414998,0.037285902503293805,1.0,0.007509881422924858,0.05322793148880106,1.0,1.0,stable
anomaly,V,Jw,-0.18247694334650857,0.005006587615283248,0.02516469038208169,1.0,0.015546772068511211,0.02990777338603426,1.0,1.0,stable
anomaly,H,P,-0.07009222661396575,0.020223978919631094,0.03662714097496706,1.0,0.005138339920948615,0.01093544137022398,1.0,1.0,stable
anomaly,H,V,-0.20210803689064558,0.009617918313570492,0.02108036890645587,1.0,0.006982872200263501,0.01805006587615282,1.0,1.0,stable
anomaly,H,H,0.26442687747035576,0.013570487483530957,0.025164690382081717,1.0,0.020948616600790504,0.025428194993412367,1.0,1.0,stable
anomaly,H,Je,-0.23386034255599472,0.0058629776021080215,0.013965744400527003,1.0,0.006851119894598162,0.0163372859025033,1.0,1.0,stable
anomaly,H,Jw,-0.1318840579710145,0.011330698287220026,0.018181818181818188,1.0,0.010013175230566537,0.02476943346508563,1.0,1.0,stable
anomaly,Je,P,0.147167325428195,0.016732542819499346,0.03201581027667985,1.0,0.01027667984189723,0.03399209486166008,1.0,1.0,stable
anomaly,Je,V,0.1608695652173913,0.011594202898550704,0.035046113306982846,1.0,0.011857707509881438,0.042951251646903804,1.0,1.0,stable
anomaly,Je,H,-0.0383399209486166,0.01758893280632411,0.028853754940711462,1.0,0.005665349143610013,0.03293807641633728,1.0,1.0,stable
anomaly,Je,Je,0.10632411067193676,0.014163372859025039,0.029644268774703553,1.0,0.011594202898550718,0.018972332015810278,1.0,1.0,stable
anomaly,Je,Jw,0.21436100131752306,0.017720685111989473,0.03122529644268776,1.0,0.01488801054018446,0.02753623188405796,1.0,1.0,stable
anomaly,Jw,P,0.13636363636363635,0.008893280632411085,0.03675889328063241,1.0,0.009617918313570478,0.023188405797101436,1.0,1.0,stable
anomaly,Jw,V,0.09104084321475626,0.005533596837944667,0.018972332015810278,1.0,0.013306982872200265,0.0220026350461133,1.0,1.0,stable
anomaly,Jw,H,0.04466403162055336,0.012450592885375495,0.024505928853754938,1.0,0.02134387351778656,0.038735177865612654,1.0,1.0,stable
anomaly,Jw,Je,0.30632411067193677,0.005731225296442682,0.02213438735177864,1.0,0.01725955204216073,0.03992094861660078,1.0,1.0,stable
anomaly,Jw,Jw,0.11936758893280633,0.009025032938076417,0.053623188405797106,1.0,0.014361001317523062,0.02345191040843214,1.0,1.0,stable
local_background_removed,P,P,0.4538866930171278,0.015480895915678528,0.04084321475625824,1.0,0.0035573122529644063,0.012121212121212088,1.0,1.0,stable
local_background_removed,P,V,0.2758893280632411,0.008695652173913049,0.021475625823451916,1.0,0.011594202898550732,0.023188405797101408,1.0,1.0,stable
local_background_removed,P,H,0.024374176548089592,0.008036890645586298,0.026877470355731226,0.9166666666666666,0.01172595520421607,0.03069828722002635,1.0,0.9523809523809523,stable
local_background_removed,P,Je,0.11884057971014493,0.006587615283267456,0.023583662714097495,1.0,0.007114624505928854,0.027536231884057974,1.0,1.0,stable
local_background_removed,P,Jw,-0.08985507246376812,0.009090909090909094,0.02516469038208169,1.0,0.007905138339920945,0.01093544137022398,1.0,1.0,stable
local_background_removed,V,P,0.042292490118577074,0.0075098814229248995,0.030171277997364958,1.0,0.008036890645586298,0.013570487483530961,1.0,1.0,stable
local_background_removed,V,V,0.3808959156785244,0.005204216073781298,0.014229249011857736,1.0,0.01027667984189723,0.020685111989459826,1.0,1.0,stable
local_background_removed,V,H,0.32582345191040846,0.00790513833992093,0.028985507246376774,1.0,0.00803689064558627,0.024374176548089543,1.0,1.0,stable
local_background_removed,V,Je,0.07167325428194993,0.0062582345191040875,0.026482213438735178,1.0,0.00816864295125165,0.0238471673254282,1.0,1.0,stable
local_background_removed,V,Jw,-0.09670619235836628,0.016403162055335978,0.06508563899868249,1.0,0.01304347826086956,0.024505928853754938,1.0,1.0,stable
local_background_removed,H,P,-0.07127799736495388,0.01212121212121212,0.02648221343873517,1.0,0.010803689064558628,0.019762845849802382,1.0,1.0,stable
local_background_removed,H,V,0.08168642951251646,0.01554677206851119,0.058102766798418984,1.0,0.01409749670619237,0.035177865612648226,1.0,1.0,stable
local_background_removed,H,H,0.2802371541501976,0.010671936758893302,0.0187088274044796,1.0,0.002898550724637683,0.01725955204216073,1.0,1.0,stable
local_background_removed,H,Je,-0.0386034255599473,0.011923583662714097,0.023320158102766796,1.0,0.0038208168642951262,0.018577075098814226,1.0,1.0,stable
local_background_removed,H,Jw,-0.012516469038208168,0.004940711462450594,0.016073781291172595,0.9166666666666666,0.005006587615283269,0.02318840579710145,0.8888888888888888,0.9047619047619048,stable
local_background_removed,Je,P,-0.07760210803689065,0.005599472990777336,0.02015810276679842,1.0,0.01370223978919631,0.03873517786561265,1.0,1.0,stable
local_background_removed,Je,V,0.15783926218708827,0.014558629776021084,0.031884057971014484,1.0,0.025691699604743073,0.041765480895915696,1.0,1.0,stable
local_background_removed,Je,H,0.038866930171278,0.01620553359683794,0.03596837944664032,1.0,0.009617918313570489,0.01989459815546772,1.0,1.0,stable
local_background_removed,Je,Je,-0.32450592885375495,0.01488801054018446,0.046640316205533605,1.0,0.0073781291172595465,0.022397891963109318,1.0,1.0,stable
local_background_removed,Je,Jw,-0.03333333333333333,0.007971014492753623,0.01660079051383399,1.0,0.0044795783926218705,0.014624505928853754,1.0,1.0,stable
local_background_removed,Jw,P,0.16772068511198945,0.007312252964426891,0.016600790513834007,1.0,0.01172595520421607,0.025823451910408413,1.0,1.0,stable
local_background_removed,Jw,V,0.2504611330698287,0.0054677206851119625,0.02134387351778655,1.0,0.006982872200263501,0.014624505928853782,1.0,1.0,stable
local_background_removed,Jw,H,0.2054018445322793,0.01699604743083004,0.02582345191040844,1.0,0.011989459815546777,0.016205533596837962,1.0,1.0,stable
local_background_removed,Jw,Je,0.11106719367588933,0.011330698287220026,0.017918313570487482,1.0,0.020816864295125165,0.049538866930171274,1.0,1.0,stable
local_background_removed,Jw,Jw,-0.12964426877470356,0.012648221343873521,0.03544137022397892,1.0,0.007246376811594207,0.01660079051383398,1.0,1.0,stable
