mode,source_object_E2,target_object_M,e2_shift,m_shift,spearman,base_spearman,abs_delta_from_base
anomaly,P,P,-2,-2,-0.034255599472990776,-0.10909090909090909,0.07483530961791832
anomaly,P,V,-2,-2,-0.08827404479578392,-0.14137022397891963,0.05309617918313571
anomaly,P,H,-2,-2,-0.10105401844532279,-0.1509881422924901,0.04993412384716732
anomaly,P,Je,-2,-2,-0.03965744400527009,-0.05085638998682477,0.01119894598155468
anomaly,P,Jw,-2,-2,-0.0003952569169960474,-0.12608695652173912,0.12569169960474308
anomaly,V,P,-2,-2,-0.05256916996047431,-0.26047430830039525,0.20790513833992094
anomaly,V,V,-2,-2,-0.07536231884057971,-0.19525691699604744,0.11989459815546773
anomaly,V,H,-2,-2,0.030566534914361003,-0.04084321475625823,0.07140974967061924
anomaly,V,Je,-2,-2,-0.2567852437417655,-0.27523056653491434,0.018445322793148866
anomaly,V,Jw,-2,-2,-0.10487483530961791,-0.18247694334650857,0.07760210803689066
anomaly,H,P,-2,-2,-0.0461133069828722,-0.07009222661396575,0.023978919631093547
anomaly,H,V,-2,-2,-0.2956521739130435,-0.20210803689064558,0.09354413702239792
anomaly,H,H,-2,-2,0.2671936758893281,0.26442687747035576,0.002766798418972316
anomaly,H,Je,-2,-2,-0.1841897233201581,-0.23386034255599472,0.04967061923583663
anomaly,H,Jw,-2,-2,-0.07812911725955204,-0.1318840579710145,0.053754940711462446
anomaly,Je,P,-2,-2,0.14558629776021081,0.147167325428195,0.0015810276679841806
anomaly,Je,V,-2,-2,0.21172595520421608,0.1608695652173913,0.05085638998682479
anomaly,Je,H,-2,-2,-0.09525691699604744,-0.0383399209486166,0.056916996047430835
anomaly,Je,Je,-2,-2,0.09723320158102766,0.10632411067193676,0.009090909090909094
anomaly,Je,Jw,-2,-2,0.2455862977602108,0.21436100131752306,0.031225296442687733
anomaly,Jw,P,-2,-2,0.191699604743083,0.13636363636363635,0.055335968379446654
anomaly,Jw,V,-2,-2,0.14071146245059288,0.09104084321475626,0.04967061923583661
anomaly,Jw,H,-2,-2,0.13069828722002635,0.04466403162055336,0.086034255599473
anomaly,Jw,Je,-2,-2,0.3826086956521739,0.30632411067193677,0.07628458498023716
anomaly,Jw,Jw,-2,-2,0.12002635046113307,0.11936758893280633,0.0006587615283267373
anomaly,P,P,-2,-1,-0.1150197628458498,-0.10909090909090909,0.005928853754940719
anomaly,P,V,-2,-1,-0.17417654808959157,-0.14137022397891963,0.03280632411067194
anomaly,P,H,-2,-1,-0.14940711462450593,-0.1509881422924901,0.0015810276679841806
anomaly,P,Je,-2,-1,-0.06903820816864295,-0.05085638998682477,0.01818181818181818
anomaly,P,Jw,-2,-1,-0.03241106719367589,-0.12608695652173912,0.09367588932806323
anomaly,V,P,-2,-1,-0.14321475625823452,-0.26047430830039525,0.11725955204216074
anomaly,V,V,-2,-1,-0.19051383399209487,-0.19525691699604744,0.0047430830039525695
anomaly,V,H,-2,-1,-0.0071146245059288534,-0.04084321475625823,0.03372859025032938
anomaly,V,Je,-2,-1,-0.28221343873517785,-0.27523056653491434,0.006982872200263501
anomaly,V,Jw,-2,-1,-0.1378129117259552,-0.18247694334650857,0.04466403162055338
anomaly,H,P,-2,-1,-0.0230566534914361,-0.07009222661396575,0.04703557312252965
anomaly,H,V,-2,-1,-0.2808959156785244,-0.20210803689064558,0.07878787878787882
anomaly,H,H,-2,-1,0.2316205533596838,0.26442687747035576,0.03280632411067197
anomaly,H,Je,-2,-1,-0.20790513833992094,-0.23386034255599472,0.02595520421607378
anomaly,H,Jw,-2,-1,-0.0911725955204216,-0.1318840579710145,0.040711462450592886
anomaly,Je,P,-2,-1,0.16337285902503293,0.147167325428195,0.016205533596837934
anomaly,Je,V,-2,-1,0.18089591567852437,0.1608695652173913,0.020026350461133074
anomaly,Je,H,-2,-1,-0.0686429512516469,-0.0383399209486166,0.030303030303030304
anomaly,Je,Je,-2,-1,0.08919631093544136,0.10632411067193676,0.01712779973649539
anomaly,Je,Jw,-2,-1,0.20579710144927535,0.21436100131752306,0.00856389986824771
anomaly,Jw,P,-2,-1,0.18142292490118578,0.13636363636363635,0.045059288537549425
anomaly,Jw,V,-2,-1,0.09433465085638999,0.09104084321475626,0.003293807641633728
anomaly,Jw,H,-2,-1,0.09749670619235837,0.04466403162055336,0.05283267457180501
anomaly,Jw,Je,-2,-1,0.36152832674571805,0.30632411067193677,0.05520421607378129
anomaly,Jw,Jw,-2,-1,0.08036890645586298,0.11936758893280633,0.03899868247694335
anomaly,P,P,-2,0,-0.1627140974967062,-0.10909090909090909,0.05362318840579712
anomaly,P,V,-2,0,-0.20606060606060606,-0.14137022397891963,0.06469038208168643
anomaly,P,H,-2,0,-0.2002635046113307,-0.1509881422924901,0.04927536231884058
anomaly,P,Je,-2,0,-0.08392621870882741,-0.05085638998682477,0.03306982872200264
anomaly,P,Jw,-2,0,-0.07918313570487484,-0.12608695652173912,0.04690382081686428
anomaly,V,P,-2,0,-0.21923583662714097,-0.26047430830039525,0.041238471673254284
anomaly,V,V,-2,0,-0.24769433465085638,-0.19525691699604744,0.05243741765480894
anomaly,V,H,-2,0,-0.037022397891963106,-0.04084321475625823,0.0038208168642951262
anomaly,V,Je,-2,0,-0.3021080368906456,-0.27523056653491434,0.026877470355731237
