year,mode,cluster_id,object,window_day_min,window_day_max,n_window_days,window_mean,window_std,window_cv,peak_day,peak_value,peak_to_mean_ratio
1979,anomaly,E1,P,12,23,12,3.6005510962001073,0.43281561263215157,0.12020815732591865,21,4.185741666378222,1.1625280559952451
1980,anomaly,E1,P,12,23,12,4.117563141380922,1.0478270310116067,0.2544774651980051,22,5.752125830277031,1.3969733147423022
1981,anomaly,E1,P,12,23,12,2.7363410564625466,0.3147559777644874,0.11502805069601912,13,3.3944269482298854,1.2404984898398779
1982,anomaly,E1,P,12,23,12,3.124271422151431,0.626779586856622,0.2006162404496884,23,4.707122058807809,1.5066303220111688
1983,anomaly,E1,P,12,23,12,4.255923519829314,1.2544254764761114,0.29474812473277856,12,6.149927794548763,1.4450277985244349
1984,anomaly,E1,P,12,23,12,2.863687659145354,0.34156300749538937,0.11927383435287317,23,3.516112722440714,1.2278268934849004
1985,anomaly,E1,P,12,23,12,3.8286384900983834,0.4756143234668914,0.12422544585935703,19,4.6051763576051945,1.2028235022747351
1986,anomaly,E1,P,12,23,12,3.3508493680285167,0.5044860832979764,0.15055468864440238,12,3.9228150037072718,1.170692732754532
1987,anomaly,E1,P,12,23,12,2.867320873984411,0.35471356642690494,0.12370905874021469,20,3.404669362065165,1.1874043791035045
1988,anomaly,E1,P,12,23,12,3.0974128564521357,0.36194621163571544,0.11685436472623865,21,3.4963857876041113,1.1288084442213628
1989,anomaly,E1,P,12,23,12,2.998478854508575,0.42555538980120794,0.14192375882897826,16,3.5926823278678914,1.1981683053941372
1990,anomaly,E1,P,12,23,12,4.550411551041557,0.7565252757868753,0.1662542535550539,12,5.362609331343828,1.1784888622030651
1991,anomaly,E1,P,12,23,12,3.2229554963268785,0.4944377789616302,0.15341129578890403,12,4.357326746860351,1.3519661539927978
1992,anomaly,E1,P,12,23,12,3.0456640418085925,0.6260599984959186,0.2055577995148614,13,3.915253553554295,1.2855172139170126
1993,anomaly,E1,P,12,23,12,2.577635858568794,0.3340738858748099,0.12960476351387018,20,3.087344863351801,1.1977428282150062
1994,anomaly,E1,P,12,23,12,3.7046788863704827,0.545953735610264,0.14736870653450718,20,4.542133576810021,1.2260532467521836
1995,anomaly,E1,P,12,23,12,3.8776964284597835,0.3977851849867989,0.1025828587475828,16,4.455156131667855,1.1489182337659911
