mode,source_object_E2,target_object_M,base_spearman,shift_spearman_median,shift_spearman_min,shift_spearman_max,shift_abs_delta_median,shift_abs_delta_max,shift_sign_stability,window_shift_reliability_class
anomaly,H,H,0.26442687747035576,0.2671936758893281,0.17444005270092228,0.5046113306982872,0.049802371541501966,0.24018445322793147,1.0,stable
anomaly,H,Je,-0.23386034255599472,-0.22424242424242424,-0.27575757575757576,-0.1233201581027668,0.02595520421607378,0.11054018445322793,1.0,stable
anomaly,H,Jw,-0.1318840579710145,-0.10447957839262187,-0.17088274044795784,-0.06297760210803689,0.0313570487483531,0.0689064558629776,1.0,stable
anomaly,H,P,-0.07009222661396575,-0.0461133069828722,-0.07812911725955204,0.019235836627140974,0.023978919631093547,0.08932806324110672,0.92,stable
anomaly,H,V,-0.20210803689064558,-0.1592885375494071,-0.2956521739130435,-0.03557312252964427,0.062187088274044816,0.16653491436100132,1.0,stable
anomaly,Je,H,-0.0383399209486166,-0.0613965744400527,-0.09736495388669301,-0.01541501976284585,0.023056653491436097,0.05902503293807641,1.0,stable
anomaly,Je,Je,0.10632411067193676,0.1067193675889328,-0.00935441370223979,0.3953886693017128,0.069433465085639,0.28906455862977604,0.92,stable
anomaly,Je,Jw,0.21436100131752306,0.21212121212121213,0.13926218708827404,0.32042160737812914,0.031225296442687733,0.10606060606060608,1.0,stable
anomaly,Je,P,0.147167325428195,0.14334650856389985,0.10184453227931489,0.22424242424242424,0.01488801054018446,0.07707509881422925,1.0,stable
anomaly,Je,V,0.1608695652173913,0.1608695652173913,0.032542819499341236,0.3292490118577075,0.061528326745718065,0.1683794466403162,1.0,stable
anomaly,Jw,H,0.04466403162055336,0.03570487483530962,-0.020948616600790514,0.13069828722002635,0.02292490118577075,0.086034255599473,0.84,stable
anomaly,Jw,Je,0.30632411067193677,0.3115942028985507,0.18985507246376812,0.3898550724637681,0.05862977602108038,0.11646903820816865,1.0,stable
anomaly,Jw,Jw,0.11936758893280633,0.12002635046113307,-0.05836627140974967,0.38432147562582347,0.07364953886693015,0.2649538866930171,0.88,stable
anomaly,Jw,P,0.13636363636363635,0.12753623188405797,0.0047430830039525695,0.21225296442687747,0.044400527009222646,0.13162055335968378,1.0,stable
anomaly,Jw,V,0.09104084321475626,0.08023715415019762,0.060210803689064556,0.14071146245059288,0.014229249011857709,0.04967061923583661,1.0,stable
anomaly,P,H,-0.1509881422924901,-0.13978919631093545,-0.272068511198946,-0.016337285902503294,0.04993412384716732,0.1346508563899868,1.0,stable
anomaly,P,Je,-0.05085638998682477,-0.05085638998682477,-0.21383399209486165,0.019367588932806323,0.03978919631093544,0.16297760210803688,0.84,stable
anomaly,P,Jw,-0.12608695652173912,-0.11976284584980237,-0.24519104084321475,-0.0003952569169960474,0.040052700922266135,0.12569169960474308,1.0,stable
anomaly,P,P,-0.10909090909090909,-0.10909090909090909,-0.22160737812911727,0.264163372859025,0.07483530961791832,0.3732542819499341,0.72,stable
anomaly,P,V,-0.14137022397891963,-0.14137022397891963,-0.23438735177865613,0.0932806324110672,0.05401844532279315,0.23465085638998684,0.88,stable
anomaly,V,H,-0.04084321475625823,-0.03333333333333333,-0.07193675889328063,0.030566534914361003,0.014756258234519103,0.07140974967061924,0.84,stable
anomaly,V,Je,-0.27523056653491434,-0.2818181818181818,-0.4088274044795784,-0.10408432147562582,0.048353096179183125,0.17114624505928852,1.0,stable
anomaly,V,Jw,-0.18247694334650857,-0.1725955204216074,-0.26389986824769435,-0.10276679841897234,0.035704874835309625,0.08142292490118577,1.0,stable
anomaly,V,P,-0.26047430830039525,-0.25770750988142294,-0.3484848484848485,0.005797101449275362,0.0710144927536232,0.2662714097496706,0.96,stable
anomaly,V,V,-0.19525691699604744,-0.19051383399209487,-0.28893280632411067,0.20527009222661396,0.06640316205533595,0.4005270092226614,0.84,stable
local_background_removed,H,H,0.2802371541501976,0.2978919631093544,0.19749670619235837,0.3876152832674572,0.04624505928853756,0.10737812911725958,1.0,stable
local_background_removed,H,Je,-0.0386034255599473,-0.02345191040843215,-0.08102766798418973,0.016205533596837945,0.022529644268774705,0.05480895915678524,0.84,stable
local_background_removed,H,Jw,-0.012516469038208168,-0.04084321475625823,-0.08563899868247694,0.008695652173913044,0.028326745718050064,0.07312252964426877,0.92,stable
local_background_removed,H,P,-0.07127799736495388,-0.08642951251646903,-0.20632411067193676,0.07984189723320158,0.06785243741765482,0.15111989459815545,0.8,stable
local_background_removed,H,V,0.08168642951251646,0.08761528326745718,-0.0022397891963109352,0.18945981554677208,0.04940711462450592,0.10777338603425561,0.96,stable
local_background_removed,Je,H,0.038866930171278,0.008300395256916997,-0.069433465085639,0.05849802371541502,0.030566534914361003,0.108300395256917,0.64,unstable_or_shift_sensitive
local_background_removed,Je,Je,-0.32450592885375495,-0.26956521739130435,-0.3948616600790514,-0.06640316205533597,0.07035573122529643,0.258102766798419,1.0,stable
local_background_removed,Je,Jw,-0.03333333333333333,0.000922266139657444,-0.1696969696969697,0.13372859025032938,0.08656126482213439,0.1670619235836627,0.48,unstable_or_shift_sensitive
local_background_removed,Je,P,-0.07760210803689065,-0.04901185770750988,-0.16798418972332016,0.06350461133069829,0.05362318840579709,0.14110671936758895,0.72,stable
local_background_removed,Je,V,0.15783926218708827,0.13965744400527008,0.04756258234519104,0.2888010540184453,0.07918313570487484,0.13096179183135703,1.0,stable
local_background_removed,Jw,H,0.2054018445322793,0.2054018445322793,0.002503293807641634,0.3495388669301713,0.07114624505928854,0.20289855072463767,1.0,stable
local_background_removed,Jw,Je,0.11106719367588933,0.13359683794466404,-0.037022397891963106,0.22582345191040842,0.052042160737812926,0.14808959156785242,0.96,stable
local_background_removed,Jw,Jw,-0.12964426877470356,-0.12964426877470356,-0.2706192358366271,0.04901185770750988,0.09657444005270091,0.17865612648221343,0.88,stable
local_background_removed,Jw,P,0.16772068511198945,0.14953886693017127,0.09657444005270092,0.23069828722002636,0.025428194993412367,0.07114624505928853,1.0,stable
local_background_removed,Jw,V,0.2504611330698287,0.2504611330698287,0.11212121212121212,0.3173913043478261,0.028458498023715417,0.13833992094861658,1.0,stable
local_background_removed,P,H,0.024374176548089592,0.008300395256916997,-0.07549407114624505,0.08959156785243742,0.024110671936758893,0.09986824769433464,0.68,unstable_or_shift_sensitive
local_background_removed,P,Je,0.11884057971014493,0.1372859025032938,0.07918313570487484,0.18735177865612648,0.023978919631093554,0.06851119894598155,1.0,stable
local_background_removed,P,Jw,-0.08985507246376812,-0.11001317523056653,-0.16376811594202897,-0.06258234519104085,0.022134387351778653,0.07391304347826086,1.0,stable
local_background_removed,P,P,0.4538866930171278,0.4479578392621871,0.3326745718050066,0.5501976284584981,0.053623188405797106,0.12121212121212122,1.0,stable
